"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","225","-3.5","-1.53","50,104","10/08","18,260","25,093","-6,833","90","364","-274","657","1,900","-1,243","19,007","27,358","-8,351","－－－"
="2330","台積電","1415","-20","-1.39","27,709","10/08","9,865","19,775","-9,910","293","267","+26","1,924","317","+1,607","12,083","20,360","-8,277","－＋＋"
="2308","台達電","981","-6","-0.61","12,278","10/08","4,351","7,121","-2,771","30","72","-42","270","310","-40","4,651","7,503","-2,852","－－－"
="2454","聯發科","1335","+10","+0.75","5,299","10/08","2,606","2,579","+27","49","38","+11","155","61","+94","2,810","2,678","+132","＋＋＋"
="3231","緯創","150.5","-5.5","-3.53","80,193","10/08","17,849","17,715","+134","197","1,471","-1,274","922","2,299","-1,377","18,968","21,484","-2,516","＋－－"
="3491","昇達科","465","+14","+3.1","2,615","10/08","824","437","+387","15","0","+15","311","98","+213","1,150","535","+615","＋＋＋"
="3008","大立光","2485","-30","-1.19","815","10/08","306","418","-112","2","0","+2","24","44","-20","333","462","-130","－＋－"
="3443","創意","1485","+100","+7.22","8,365","10/08","2,956","1,759","+1,197","9","8","+1","548","240","+308","3,513","2,007","+1,505","＋＋＋"
="3661","世芯-KY","3445","-15","-0.43","1,729","10/08","762","854","-92","3","15","-12","40","44","-4","805","913","-108","－－－"
="2301","光寶科","172","-1","-0.58","21,334","10/08","6,072","8,395","-2,323","84","594","-510","826","513","+312","6,982","9,502","-2,520","－－＋"
="4967","十銓","108.5","+9.8","+9.93","29,887","10/08","4,930","5,297","-367","0","0","0","172","29","+142","5,102","5,326","-225","－・＋"
="2344","華邦電","41.25","-1.4","-3.28","467,416","10/08","86,745","156,816","-70,071","3,024","20","+3,004","11,714","9,485","+2,229","101,483","166,320","-64,838","－＋＋"
="2882","國泰金","65.3","+0.1","+0.15","13,338","10/08","9,760","8,085","+1,675","135","2,083","-1,948","439","257","+182","10,334","10,426","-91","＋－＋"
="2891","中信金","42.5","+0.25","+0.59","18,717","10/08","15,700","8,370","+7,329","279","3,233","-2,954","482","355","+126","16,460","11,959","+4,501","＋－＋"
="2884","玉山金","32.8","+0.1","+0.31","27,282","10/08","17,634","16,750","+884","0","321","-321","361","114","+247","17,996","17,185","+810","＋－＋"
="2880","華南金","29.2","+0.2","+0.69","6,565","10/08","5,453","2,934","+2,519","213","158","+55","258","123","+135","5,924","3,214","+2,709","＋＋＋"
="0050","元大台灣50","61.15","-0.55","-0.89","119,706","10/08","2,804","51,471","-48,667","150","0","+150","8,084","30,462","-22,378","11,038","81,933","-70,895","－＋－"
="00878","國泰永續高股息","21.49","+0.02","+0.09","43,383","10/08","5,175","684","+4,490","0","0","0","21,529","1,387","+20,142","26,704","2,071","+24,632","＋・＋"
="006208","富邦台50","142.4","-1.65","-1.15","4,230","10/08","111","547","-436","155","0","+155","417","1,308","-892","683","1,855","-1,172","－＋－"
