"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/08","","225","-3.5","-1.53","50,104","11,216","228.5","225","225.5","222","1.53","17.2","2.14","","","","",""
="2330","台積電","市","10/08","","1415","-20","-1.39","27,709","39,152","1435","1410","1420","1405","1.05","25.1","8.01","","","","",""
="2308","台達電","市","10/08","","981","-6","-0.61","12,278","11,995","987","963","985","962","2.33","58.3","12.01","","","","",""
="2454","聯發科","市","10/08","","1335","+10","+0.75","5,299","7,079","1325","1330","1350","1325","1.89","20","5.65","","","","",""
="3231","緯創","市","10/08","","150.5","-5.5","-3.53","80,193","12,007","156","152.5","152.5","147.5","3.21","22.2","3.16","","","","",""
="3491","昇達科","櫃","10/08","","465","+14","+3.1","2,615","1,208","451","453","470","447","5.1","61","12.42","","","","",""
="3008","大立光","市","10/08","","2485","-30","-1.19","815","2,020","2515","2515","2515","2445","2.78","14.6","1.87","","","","",""
="3443","創意","市","10/08","","1485","+100","+7.22","8,365","12,041","1385","1410","1495","1390","7.58","54.9","18.42","","","","",""
="3661","世芯-KY","市","10/08","","3445","-15","-0.43","1,729","5,988","3460","3465","3530","3410","3.47","43.5","7.94","","","","",""
="2301","光寶科","市","10/08","","172","-1","-0.58","21,334","3,656","173","170.5","174","168","3.47","29.9","4.85","","","","",""
="4967","十銓","市","10/08","","108.5","+9.8","+9.93","29,887","3,103","98.7","96.6","108.5","96.1","12.6","45.2","2.41","","","","",""
="2344","華邦電","市","10/08","","41.25","-1.4","-3.28","467,416","19,001","42.65","41.95","42.15","39.35","6.57","","2.12","","","","",""
="2882","國泰金","市","10/08","","65.3","+0.1","+0.15","13,338","874","65.2","65.4","65.9","65.3","0.92","12.5","1.38","","","","",""
="2891","中信金","市","10/08","","42.5","+0.25","+0.59","18,717","798","42.25","42.6","42.85","42.5","0.83","12.1","1.93","","","","",""
="2884","玉山金","市","10/08","","32.8","+0.1","+0.31","27,282","896","32.7","32.75","33.05","32.7","1.07","17.4","2.11","","","","",""
="2880","華南金","市","10/08","","29.2","+0.2","+0.69","6,565","192","29","29.1","29.35","29.05","1.03","17.1","1.87","","","","",""
="0050","元大台灣50","市","10/08","","61.15","-0.55","-0.89","119,706","7,283","61.7","61","61.15","60.6","0.89","0","1.0051","","","","",""
="00878","國泰永續高股息","市","10/08","","21.49","+0.02","+0.09","43,383","931","21.47","21.46","21.52","21.4","0.56","0","0.9944","","","","",""
="006208","富邦台50","市","10/08","","142.4","-1.65","-1.15","4,230","601","144.05","141.8","142.55","141.5","0.73","0","0.9979","","","","",""
