"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/27","241.1↗","228↗","227.2↗","225.8↗","215↗","210.2↗","190.6↗","184.4↗","176.3↗","180.1↗"
="2330","台積電","1480","+30","+2.07","36,024","10/27","1470↗","1459↗","1443↗","1412↗","1287↗","1265↗","1191↗","1153↗","1093↗","1086↗"
="2308","台達電","1070","+60","+5.94","14,666","10/27","1027↗","1020↗","999.9↗","967.4↗","834.9↗","796.9↗","656.9↗","609.1↗","518.2↗","498.7↗"
="2454","聯發科","1335","+40","+3.09","5,937","10/27","1328↗","1324↘","1323↗","1321↘","1380↘","1375↘","1355↗","1347↗","1382↘","1372↗"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/27","143.5↗","141.5↘","145↗","141.8↗","126.3↗","125.8↗","122.8↗","120.9↗","114.3↗","114.3↗"
="3491","昇達科","446.5","+1","+0.22","1,361","10/27","455↗","448.4↘","451.2↘","451.1↘","420.3↗","406.6↗","379.1↗","373.6↗","386.7↗","374↗"
="3008","大立光","2250","-20","-0.88","558","10/27","2259↗","2253↘","2316↘","2323↘","2346↘","2352↘","2342→","2324↗","2402↘","2408↘"
="3443","創意","1600","-15","-0.93","4,873","10/27","1616↗","1546↗","1507↗","1458↗","1360↗","1340↗","1280↗","1256↗","1236↗","1241↗"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/27","3205↘","3173↘","3250↘","3283↘","3659↘","3688↘","3490↗","3356↗","3160↘","3062↗"
="2301","光寶科","182","+11.5","+6.74","63,266","10/27","170↗","167.4↗","168.8↗","169.2↘","152.8↗","149.2↗","134.4↗","128.9↗","117.8↗","115.4↗"
="4967","十銓","137","+9","+7.03","7,062","10/27","130↗","128↗","118.5↗","110.7↗","90.31↗","87.46↗","81.88↗","80.5↗","80.7↗","81.65↗"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/27","46.72↗","44.52↗","43.16↗","40.76↗","30.14↗","28.02↗","24.3↗","23.12↗","20.54↗","19.93↗"
="2882","國泰金","65.7","0","0","17,331","10/27","65.62↗","65.63↘","65.55↗","65.54↘","64.78↗","64.41↗","64.4↗","63.71↗","63.72↘","64.47↘"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/27","42.28↗","42.36↗","42.42↘","42.52↘","42.53↘","42.52↗","42.74↘","42.49↗","41.16↗","40.65↗"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/27","32.07↘","32.35↘","32.51↘","32.68↘","33.33↘","33.23↘","33.06↘","32.52↗","30.87↗","30.28↗"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/27","29.75→","29.67↗","29.51↗","29.48↗","29↗","29.05↗","28.46↗","28.29↗","27.9↗","27.6↗"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/27","63.03↗","62.37↗","61.83↗","60.86↗","56.72↗","55.89↗","66.38↘","84.73↘","125.2↘","136.6↘"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/27","21.54↗","21.41↗","21.41↗","21.38↗","21↗","21.03↗","21↗","20.94↗","21.19↘","21.39↘"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/27","147.4↗","145.8↗","144.5↗","142.1↗","132.5↗","130.6↗","123.8↗","120.7↗","115.6↗","115.1↗"
