代號,名稱,市場,成交,漲跌價,漲跌幅,成交張數,昨收,最高,最低,PER,PBR,K值(日),D值(日),J值(日),KD近期交叉時間(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),+DI(日),-DI(日),ADX(日),5日均線,20日均線,60日均線,外資買賣超,投信買賣超,自營商買賣超,三大法人買賣超,外資5日累計,外資1月累計,投信5日累計,投信1月累計,技術評分,評分原因,關鍵訊號,趨勢強度,漲跌幅數值
2317,鴻海,市,242.5,3.5,1.46,"71,610",239.0,243.0,236.5,18.5,2.31,80.1↗,66.3↗,108↗,,77.3↗,69↗,6.14↗,4.56↗,3.16↗,40↘,18.2↗,26.3↗,233.9↗,223.3↗,207.9↗,"+12,146","+1,563",+601,"+14,310","+127,576","+202,772","-3,109","+13,062",9.3,KD多頭 | RSI超買 | MACD多頭 | DMI強勢多頭 | 均線多排 | 法人大買,⚠️ RSI超買 / 完美均線多排 / 🔥 法人大舉買超,極強,1.46
2880,華南金,市,29.8,0.15,0.51,"12,662",29.65,30.0,29.65,17.5,1.91,80.5↗,77.5↗,86.5↗,,69.5↗,64.3↗,0.19↗,0.16↗,0.05↗,24.3↗,19.6↘,16↘,29.74↗,29.42↗,29.01↗,"+5,438","-1,341","+1,615","+5,712","+13,900","+20,659","-1,794","+13,533",9.0,KD多頭 | RSI強勢 | MACD多頭 | DMI轉多 | 均線多排 | 法人大買,完美均線多排 / 🔥 法人大舉買超,極強,0.51
00878,國泰永續高股息,市,21.52,0.02,0.09,"25,405",21.5,21.55,21.45,,0.9945,63.4↗,55↗,80.1↗,2日前,69.1↗,64.4↗,0.12↗,0.12↘,-0.01↗,38.1↘,22.9↗,22.8↗,21.44↗,21.36↗,21.02↗,+705,0,"+8,263","+8,968","+37,038","+107,654",0,0,8.0,KD多頭 | RSI強勢 | DMI多頭 | 均線多排 | 法人大買,完美均線多排 / 🔥 法人大舉買超,極強,0.09
3443,創意,市,1665.0,-10.0,-0.6,"6,210",1675.0,1710.0,1635.0,61.6,20.66,81.8↗,76.4↗,92.6↘,2日前,83.5↘,76.8↘,73.6↗,50.7↗,45.8↗,41.8↗,9.29↘,33.7↗,1566↗,1428↗,1327↗,+662,-42,-24,+596,"+1,982","+6,125",+171,+557,7.5,KD多頭 | RSI超買 | MACD多頭 | DMI強勢多頭 | 均線多排 | 法人小買,⚠️ RSI超買 / 完美均線多排,強勢,-0.6
3231,緯創,市,143.5,1.0,0.7,"30,789",142.5,144.0,140.5,19.6,3.02,35.1↗,34.8↗,35.6↗,今日,57.7↗,60↗,5.03↘,6.04↘,-2.03↗,32.9↘,18.5↗,37.1↘,140.8↗,139.6↗,125↗,"-1,030",+860,+344,+174,"-72,081","+33,511","+8,950","+51,581",6.0,KD黃金交叉 | RSI強勢 | DMI強勢多頭 | 均線多排 | 法人小買,完美均線多排,強勢,0.7
3491,昇達科,櫃,458.0,-7.0,-1.51,"1,410",465.0,469.5,457.0,59.3,12.23,58.4↗,52↗,71.2↘,2日前,54.6↘,55.5↘,9.65↗,11.4↘,-3.42↗,21.2↘,12.9↘,33.7↘,456.2↗,452.6↗,402.5↗,-285,-5,-56,-346,+863,"+2,752",-68,-544,6.0,KD多頭 | RSI強勢 | DMI強勢多頭 | 均線多排,完美均線多排,強勢,-1.51
2308,台達電,市,1020.0,0.0,0.0,"5,842",1020.0,1020.0,1000.0,60.6,12.49,63.2↘,69.5↘,50.6↘,,66.1→,69.6→,61↘,63.6↘,-5.28↘,38↘,8.07↘,58.9↗,1016↗,953.4↗,779.7↗,+221,-273,+183,+131,"+1,088","-15,481","-1,948","-4,523",5.5,RSI強勢 | DMI強勢多頭 | 均線多排 | 法人小買,完美均線多排,偏多,0.0
2912,統一超,市,247.5,2.5,1.02,"1,040",245.0,248.0,245.5,23.0,7.29,58.5↗,35↗,105↗,,65.9↗,53.1↗,-2.14↗,-2.37↗,0.47↗,18.6↗,19.1↘,32.9↘,243.4↗,246.2↘,252↘,+339,-97,-36,+207,"+2,797",-490,"-2,755","-3,655",5.5,KD轉多 | RSI強勢 | MACD轉多 | 站穩月線 | 法人小買,KD黃金交叉 / MACD黃金交叉,偏多,1.02
2330,台積電,市,1460.0,-20.0,-1.35,"30,679",1480.0,1470.0,1455.0,25.9,8.26,76.1↘,80.9↘,66.7↘,,58.6↘,65.2↘,60.5↘,58.9↗,3.18↘,45↘,19.2↗,48.5↘,1471↘,1397↗,1255↗,"-14,952",+732,"+1,573","-12,647","-29,094","-68,391","+5,654","+6,303",5.2,RSI強勢 | MACD多頭 | DMI強勢多頭 | 站穩月線,⚠️ 法人大賣,偏多,-1.35
0050,元大台灣50,市,62.7,-0.5,-0.79,"124,303",63.2,62.85,62.25,,1.0043,84.9↘,86.8↘,81.1↘,今日,63.4↘,68.5↘,1.83↘,1.69↗,0.27↘,45.2↘,22.2↗,37.8↘,62.81↗,60.34↗,55.48↗,"-61,013",0,"-34,770","-95,783","-260,237","-712,241","+8,276","+17,941",5.2,RSI強勢 | MACD多頭 | DMI強勢多頭 | 站穩月線,⚠️ 法人大賣,偏多,-0.79
