股票,股價,漲跌幅,技術評分,操作建議,說明
鴻海(2317),242.5,1.46%,9.3/10,🟡 減碼/等回檔,⚠️ RSI超買(77.3)，建議獲利了結
華南金(2880),29.8,0.51%,9.0/10,🟢 積極買進,技術面極強，可積極布局
國泰永續高股息(878),21.52,0.09%,8.0/10,🟢 積極買進,技術面極強，可積極布局
創意(3443),1665.0,-0.6%,7.5/10,🟡 減碼/等回檔,⚠️ RSI超買(83.5)，建議獲利了結
緯創(3231),143.5,0.7%,6.0/10,🟢 買進,技術面強勢，可分批進場
昇達科(3491),458.0,-1.51%,6.0/10,🟢 買進,技術面強勢，可分批進場
台達電(2308),1020.0,0.0%,5.5/10,🟡 觀望偏多,技術面偏多，等回檔承接
統一超(2912),247.5,1.02%,5.5/10,🟡 觀望偏多,技術面偏多，等回檔承接
台積電(2330),1460.0,-1.35%,5.2/10,🟡 觀望,⚠️ 法人大賣，建議觀望
元大台灣50(50),62.7,-0.79%,5.2/10,🟡 觀望偏多,技術面偏多，等回檔承接
富邦台50(6208),146.85,-0.51%,5.2/10,🟡 觀望偏多,技術面偏多，等回檔承接
儒鴻(1476),438.5,1.98%,3.7/10,🟡 觀望,技術面中性，靜待時機
玉山金(2884),32.6,0.31%,3.6/10,🟡 觀望,技術面中性，靜待時機
聯發科(2454),1330.0,-0.75%,3.4/10,🟡 觀望,技術面中性，靜待時機
國泰金(2882),65.7,0.0%,3.2/10,🟡 觀望,技術面中性，靜待時機
大立光(3008),2310.0,2.44%,2.9/10,🟡 觀望,技術面中性，靜待時機
世芯-KY(3661),3220.0,-4.02%,2.6/10,🟡 觀望,技術面中性，靜待時機
大統益(1232),145.5,0.34%,2.6/10,🟡 觀望,技術面中性，靜待時機
中信金(2891),42.05,-0.59%,0.3/10,🔴 減碼/觀望,技術面偏弱，建議減碼
