"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","246.5","+7.5","+3.14","10/27","42.7↗","15.8↘","28.4↗","27.1↗","36.6↘","16.5↘","34.7↗","29.1↘","36.5↗","16.6↘","28.2↗","31↗"
="2330","台積電","1480","+30","+2.07","10/27","47.7↗","20.2↘","46.7↘","44.5↗","38.4↘","8.28↘","36.8↗","28.5↗","45↗","14.4↘","34.4↗","32.6↗"
="2308","台達電","1070","+60","+5.94","10/27","42.5↗","6.76↘","60.3↗","56.3↗","50.8↗","2.91↘","60.4↗","42.2↗","56.2↗","8.37↘","36.2↗","31.6↗"
="2454","聯發科","1335","+40","+3.09","10/27","22↗","26↘","14.8↘","20.3↗","23.5↘","23.6↘","10.5↘","14.8↘","24.2↘","15.7↘","21.5↘","23.9↘"
="3231","緯創","146.5","+3.5","+2.45","10/27","33.2↘","16.1↘","36.8↘","36.9↗","31.1↘","17.7↘","17.4↗","13.1↗","31.7↗","12.9↘","35.5↗","42.8↘"
="3491","昇達科","446.5","+1","+0.22","10/27","18.7↘","17.8↘","29.6↘","40.7↘","27.2↘","13.9↘","26.1↗","23.3↘","29.3↘","11.1↘","37.9↗","37.6↗"
="3008","大立光","2250","-20","-0.88","10/27","22.3↘","24.7↗","14.3↘","11.9↘","18.9↘","23.7↘","15.4↘","20.2↘","15.5↘","25.1↗","17.4↗","17.1↗"
="3443","創意","1600","-15","-0.93","10/27","39.4↗","12.5↘","35.9↗","26.7↗","35.5↘","13.8↘","20.4↗","16.6↗","27.8↗","17.2↘","16.9↗","24.5↘"
="3661","世芯-KY","3065","-85","-2.7","10/27","20↗","30.7↘","23.6↘","21.7↗","17.8↘","23.8↘","20.3↘","18.9↗","29.9↘","19.3↗","30.3↘","35.8↘"
="2301","光寶科","182","+11.5","+6.74","10/27","34.8↗","14.7↘","28.8↗","34.5↗","39.4↗","10↘","41.3↗","28.7↗","39.6↘","11.7↘","35.3↗","37.9↗"
="4967","十銓","137","+9","+7.03","10/27","46.3↗","5.21↘","58.8↗","46↗","45.6↗","6.95↘","32.8↗","26.1↗","41.2↗","12.9↘","34.9↗","39.2↗"
="2344","華邦電","50.9","+4.6","+9.94","10/27","48.8↗","9.9↘","59.9↗","60.9↗","51.3↗","4.18↘","44.1↗","31.8↗","46.8↗","12.2↘","20.8↗","18↗"
="2882","國泰金","65.7","0","0","10/27","24.9↗","14.2↘","23.5↗","23.3↗","18.1↘","15.5↘","10↘","13.4↘","20.6↘","18.3↘","20↘","22.8↘"
="2891","中信金","42.65","+0.65","+1.55","10/27","29.2↗","20.5↘","11.6↗","13.9↘","19↗","21.3↘","12.7↘","15.5↘","27.1↘","13.3↘","36.6↘","33.8↗"
="2884","玉山金","30.3","-2.35","-7.2","10/27","7.64↘","48↗","31↗","23↗","18.4↘","33.4↗","14.5↗","18.1↗","25↘","23.2↗","13.6↘","13.5↘"
="2880","華南金","29.75","-0.1","-0.34","10/27","21↘","20.9↗","14.5↘","21.2↘","26.9↘","17.4↘","16.8↗","16↗","23.4↘","11.9↘","24↗","21.8↗"
="0050","元大台灣50","63.8","+1.45","+2.33","10/27","48↗","21.7↘","37.1↗","35↗","20↘","52.3↘","51.4↘","47.1↗","18.3↗","48.6↘","35.4↗","30.8↗"
="00878","國泰永續高股息","21.73","+0.22","+1.02","10/27","43.6↗","20.2↘","23.8↗","25.2↘","26.8↗","28.1↘","22.3↘","26.8↘","15.5↗","27.9↘","26.9↗","29.6↘"
="006208","富邦台50","149.35","+3.65","+2.51","10/27","49.4↗","19.3↘","45.8↘","44.4↗","43↘","9.86↘","34.5↗","26.9↗","44.2↗","16.9↘","30.5↗","30.2↗"
