"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","246.5","7.5","+3.14","80,709","10/27","94.6↗","86↗","76.3↗","105↗","","",""
="2330","台積電","市","1480","30","+2.07","36,024","10/27","75↗","71↗","74.9↘","63.1↗","73↗","即將交叉",""
="2308","台達電","市","1070","60","+5.94","14,666","10/27","94.4↗","69.7↗","66.9↗","75.3↗","66.5↗","今日",""
="2454","聯發科","市","1335","40","+3.09","5,937","10/27","64.3↗","45↗","44.3↗","46.5↗","44.2↗","今日","是"
="3231","緯創","市","146.5","3.5","+2.45","59,029","10/27","79.3↗","54.3↗","42.8↗","77.2↗","34.8↗","2日前",""
="3491","昇達科","櫃","446.5","1","+0.22","1,361","10/27","49.5↗","52.9↘","52.9↗","53↘","52.9↘","即將交叉",""
="3008","大立光","市","2250","-20","-0.88","558","10/27","39.3↘","35.1↗","29.1↗","47↗","22.7↗","2日前",""
="3443","創意","市","1600","-15","-0.93","4,873","10/27","60↘","70.9↘","74.5↘","63.6↘","76.4↘","1日前",""
="3661","世芯-KY","市","3065","-85","-2.7","2,208","10/27","23.1↘","36↘","38.2↘","31.6↘","38.7↘","今日",""
="2301","光寶科","市","182","11.5","+6.74","63,266","10/27","88.7↗","65.6↗","50.3↗","96.1↗","","",""
="4967","十銓","市","137","9","+7.03","7,062","10/27","100↗","83.7↗","80.7↗","89.7↗","80↗","今日","是"
="2344","華邦電","市","50.9","4.6","+9.94","85,726","10/27","100↗","83.4↗","78.1↗","94.1↗","75.6↗","今日",""
="2882","國泰金","市","65.7","0","0","17,331","10/27","30→","31↘","33.5↘","26↗","","",""
="2891","中信金","市","42.65","0.65","+1.55","52,824","10/27","57.7↗","37↗","36↗","39.1↗","35.9↗","今日",""
="2884","玉山金","市","30.3","-2.35","-7.2","280,910","10/27","12.5↘","30.2↘","33.5↘","23.5↘","34.2↘","今日","是"
="2880","華南金","市","29.75","-0.1","-0.34","11,991","10/27","66.7↘","77.5↘","78.7↘","75.2↘","78.9↘","今日",""
="0050","元大台灣50","市","63.8","1.45","+2.33","104,776","10/27","97↗","85.2↗","84.6↗","86.3↗","84.6↗","今日","是"
="00878","國泰永續高股息","市","21.73","0.22","+1.02","63,083","10/27","89.4↗","76.3↗","65.4↗","98.1↗","","",""
="006208","富邦台50","市","149.35","3.65","+2.51","11,744","10/27","95↗","84.1↗","83.9↗","84.6↗","83.9↗","今日","是"
