"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","246.5","+7.5","+3.14","10/27","7.56↗","5.5↗","4.12↗","18.1↗","13.5↗","9.24↗","19.4↗","16.1↗","6.6↗"
="2330","台積電","1480","+30","+2.07","10/27","56.4↘","58.1↘","-3.38↘","112↗","83.2↗","57.6↘","154↗","126↗","56.1↗"
="2308","台達電","1070","+60","+5.94","10/27","59.5↗","61.9↘","-4.8↗","158↗","124↗","68.1↘","115↗","56.4↗","116↗"
="2454","聯發科","1335","+40","+3.09","10/27","-17.8↗","-20.2↗","4.91↗","-5.07↘","3.03↘","-16.2↗","108↘","125↘","-33.3↘"
="3231","緯創","146.5","+3.5","+2.45","10/27","4.86↘","5.61↘","-1.52↗","8.58↗","5.96↗","5.23↘","13.1↗","12↗","2.28↗"
="3491","昇達科","446.5","+1","+0.22","10/27","7.46↘","10.1↘","-5.33↘","25↗","17.6↗","14.7↘","57.3↗","54.1↗","6.42↗"
="3008","大立光","2250","-20","-0.88","10/27","-29.3↘","-22.1↘","-14.3↗","-25.7↘","-20↘","-11.4↘","-23.5↘","4.48↘","-55.9↘"
="3443","創意","1600","-15","-0.93","10/27","78.4↗","60.4↗","36.1↘","91.9↗","53.5↗","76.9↗","56.3↗","51.2↗","10.4↗"
="3661","世芯-KY","3065","-85","-2.7","10/27","-141↘","-143↗","4.17↘","71.4↘","180↘","-217↘","354↘","333↗","41.1↘"
="2301","光寶科","182","+11.5","+6.74","10/27","4.27↗","4.81↘","-1.07↗","17.9↗","14.3↗","7.27↗","14↗","7.64↗","12.6↗"
="4967","十銓","137","+9","+7.03","10/27","13↗","11.6↗","2.79↘","11.2↗","4↗","14.4↗","4.3↗","4.47↘","-0.34↗"
="2344","華邦電","50.9","+4.6","+9.94","10/27","4.96↗","4.71↗","0.5↗","7.23↗","4.2↗","6.05↗","1.24↗","-1.12↗","4.74↗"
="2882","國泰金","65.7","0","0","10/27","0.26↘","0.33↘","-0.13↗","0.72↗","0.48↗","0.5↘","3.49↗","3.78↘","-0.58↗"
="2891","中信金","42.65","+0.65","+1.55","10/27","-0.07↗","-0.04↘","-0.06↗","0.54↘","0.71↘","-0.35↗","3.83↘","3.75↗","0.15↘"
="2884","玉山金","30.3","-2.35","-7.2","10/27","-0.4↘","-0.27↘","-0.27↘","0.47↘","0.9↘","-0.86↘","1.55↘","1.11↗","0.88↘"
="2880","華南金","29.75","-0.1","-0.34","10/27","0.19↘","0.17↗","0.04↘","0.61↗","0.54↗","0.13↘","1.58↗","1.42↗","0.32↗"
="0050","元大台灣50","63.8","+1.45","+2.33","10/27","1.78↗","1.72↗","0.13↗","-20.4↗","-25.8↗","10.9↗","-19.6↘","-2.87↘","-33.6↗"
="00878","國泰永續高股息","21.73","+0.22","+1.02","10/27","0.14↗","0.13↗","0.02↗","0.07↗","-0.05↗","0.25↗","0.23↗","0.48↘","-0.5↗"
="006208","富邦台50","149.35","+3.65","+2.51","10/27","4.55↗","4.5↗","0.11↗","9.43↗","7.04↗","4.78↗","12.4↗","10↗","4.73↗"
