"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","246.5","+7.5","+3.14","80,709","10/27","36,746","20,997","+15,749","1,310","739","+571","4,119","1,615","+2,504","42,176","23,351","+18,824","＋＋＋"
="2330","台積電","1480","+30","+2.07","36,024","10/27","19,299","18,320","+979","451","752","-301","2,628","283","+2,346","22,378","19,355","+3,023","＋－＋"
="2308","台達電","1070","+60","+5.94","14,666","10/27","8,435","3,238","+5,197","279","328","-49","950","233","+717","9,664","3,799","+5,865","＋－＋"
="2454","聯發科","1335","+40","+3.09","5,937","10/27","3,873","3,101","+772","590","48","+542","226","21","+205","4,689","3,170","+1,519","＋＋＋"
="3231","緯創","146.5","+3.5","+2.45","59,029","10/27","22,727","25,155","-2,428","1,329","583","+746","1,514","225","+1,289","25,570","25,963","-393","－＋＋"
="3491","昇達科","446.5","+1","+0.22","1,361","10/27","367","397","-30","0","299","-299","22","39","-17","389","735","-346","－－－"
="3008","大立光","2250","-20","-0.88","558","10/27","306","447","-142","4","4","0","13","5","+8","323","457","-134","－－＋"
="3443","創意","1600","-15","-0.93","4,873","10/27","1,266","2,039","-773","19","331","-312","281","80","+201","1,567","2,450","-883","－－＋"
="3661","世芯-KY","3065","-85","-2.7","2,208","10/27","749","971","-222","5","47","-42","83","88","-5","837","1,105","-269","－－－"
="2301","光寶科","182","+11.5","+6.74","63,266","10/27","23,881","20,373","+3,508","892","584","+308","2,835","687","+2,148","27,608","21,645","+5,963","＋＋＋"
="4967","十銓","137","+9","+7.03","7,062","10/27","286","376","-90","57","0","+57","180","10","+170","523","386","+137","－＋＋"
="2344","華邦電","50.9","+4.6","+9.94","85,726","10/27","30,369","2,717","+27,651","63","0","+63","4,554","410","+4,145","34,986","3,127","+31,859","＋＋＋"
="2882","國泰金","65.7","0","0","17,331","10/27","9,556","7,768","+1,789","783","1,499","-716","1,616","437","+1,179","11,955","9,703","+2,252","＋－＋"
="2891","中信金","42.65","+0.65","+1.55","52,824","10/27","40,131","26,738","+13,393","195","4,618","-4,423","1,944","1,211","+733","42,270","32,566","+9,704","＋－＋"
="2884","玉山金","30.3","-2.35","-7.2","280,910","10/27","41,273","153,173","-111,900","13","5,093","-5,080","5,570","3,626","+1,944","46,856","161,892","-115,036","－－＋"
="2880","華南金","29.75","-0.1","-0.34","11,991","10/27","10,090","9,013","+1,077","8","934","-926","979","52","+927","11,077","10,000","+1,078","＋－＋"
="0050","元大台灣50","63.8","+1.45","+2.33","104,776","10/27","10,159","15,964","-5,805","4,300","0","+4,300","30,304","19,296","+11,008","44,763","35,260","+9,503","－＋＋"
="00878","國泰永續高股息","21.73","+0.22","+1.02","63,083","10/27","10,716","997","+9,719","0","0","0","28,736","259","+28,477","39,451","1,256","+38,196","＋・＋"
="006208","富邦台50","149.35","+3.65","+2.51","11,744","10/27","488","711","-223","0","150","-150","1,560","6,493","-4,933","2,048","7,354","-5,306","－－－"
