"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/27","","246.5","+7.5","+3.14","80,709","19,851","239","249","249","243","2.51","18.8","2.34","","","","",""
="2330","台積電","市","10/27","","1480","+30","+2.07","36,024","53,691","1450","1500","1500","1480","1.38","26.3","8.38","","","","",""
="2308","台達電","市","10/27","","1070","+60","+5.94","14,666","15,512","1010","1035","1075","1035","3.96","63.6","13.1","","","","",""
="2454","聯發科","市","10/27","","1335","+40","+3.09","5,937","7,868","1295","1320","1340","1310","2.32","20","5.65","","","","",""
="3231","緯創","市","10/27","","146.5","+3.5","+2.45","59,029","8,620","143","146.5","147.5","144","2.45","20","3.08","","","","",""
="3491","昇達科","櫃","10/27","","446.5","+1","+0.22","1,361","604","445.5","453.5","453.5","439","3.25","57.8","11.92","","","","",""
="3008","大立光","市","10/27","","2250","-20","-0.88","558","1,262","2270","2270","2285","2245","1.76","13.2","1.69","","","","",""
="3443","創意","市","10/27","","1600","-15","-0.93","4,873","7,951","1615","1680","1690","1600","5.57","59.1","19.85","","","","",""
="3661","世芯-KY","市","10/27","","3065","-85","-2.7","2,208","6,890","3150","3220","3245","3065","5.71","38.6","7.06","","","","",""
="2301","光寶科","市","10/27","","182","+11.5","+6.74","63,266","11,441","170.5","177.5","185","176.5","4.99","31.9","5.13","","","","",""
="4967","十銓","市","10/27","","137","+9","+7.03","7,062","952","128","135","137","132","3.91","57.3","3.04","","","","",""
="2344","華邦電","市","10/27","","50.9","+4.6","+9.94","85,726","4,348","46.3","50.9","50.9","50.2","1.51","","2.61","","","","",""
="2882","國泰金","市","10/27","","65.7","0","0","17,331","1,141","65.7","66.5","66.5","65.6","1.37","11.4","1.39","","","","",""
="2891","中信金","市","10/27","","42.65","+0.65","+1.55","52,824","2,263","42","43.2","43.2","42.45","1.79","11.8","1.94","","","","",""
="2884","玉山金","市","10/27","","30.3","-2.35","-7.2","280,910","8,533","32.65","31.1","31.45","29.9","4.75","16.2","1.95","","","","",""
="2880","華南金","市","10/27","","29.75","-0.1","-0.34","11,991","357","29.85","29.95","30","29.5","1.68","17.5","1.91","","","","",""
="0050","元大台灣50","市","10/27","","63.8","+1.45","+2.33","104,776","6,670","62.35","63.75","63.9","63.45","0.72","","1.0076","","","","",""
="00878","國泰永續高股息","市","10/27","","21.73","+0.22","+1.02","63,083","1,372","21.51","21.7","21.8","21.69","0.51","","0.995","","","","",""
="006208","富邦台50","市","10/27","","149.35","+3.65","+2.51","11,744","1,753","145.7","149.15","149.75","148.9","0.58","","1.0055","","","","",""
