"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","260","+10","+4","10/29","49.1↗","13.5↘","31.7↗","29.3↗","41.2↗","15.3↘","35.2↗","29.4↘","38.9↗","16↘","28.5↗","31.1↗"
="2330","台積電","1505","+30","+2.03","10/29","47↗","19.6↘","45.6↘","45.7↗","39.4↘","8.14↘","36.9↗","28.5↗","45.6↗","14.3↘","34.5↗","32.6↗"
="2308","台達電","1060","-15","-1.4","10/29","37.4↘","9.67↗","61.1↘","56.7↗","51.3↗","2.88↘","60.4↗","42.2↗","56.5↗","8.31↘","36.2↗","31.6↗"
="2454","聯發科","1300","-15","-1.14","10/29","19.5↘","25.2↗","14.2↘","19.7↘","23.5↘","23.6↘","10.5↘","14.8↘","24.2↘","15.7↘","21.5↘","23.9↘"
="3231","緯創","152.5","+4.5","+3.04","10/29","35.7↗","14↘","37.4↗","39.9↗","33.5↗","17↘","17.7↗","13.3↗","31.7↗","12.9↘","35.5↗","42.8↘"
="3491","昇達科","428.5","-4.5","-1.04","10/29","16↘","19.5↗","26.6↘","38↘","26.5↘","15.9↗","25.6↘","23↘","29.3↘","11.1↘","37.9↗","37.6↗"
="3008","大立光","2220","0","0","10/29","20.8↘","26↘","13.9↘","12.7↗","18.7↘","23.4↘","15.4↘","20.2↘","15.5↘","25.1↗","17.4↗","17.1↗"
="3443","創意","1470","-10","-0.68","10/29","32.3↘","23.6↘","33.1↘","25.7↘","32.6↘","15.9↗","19.7↗","16.2↗","27.8↗","17.2↘","16.9↗","24.5↘"
="3661","世芯-KY","3250","+185","+6.04","10/29","25.4↗","28↘","22.3↘","21↘","17.4↘","23.9↘","20.4↘","18.9↗","29.9↘","19.3↗","30.3↘","35.8↘"
="2301","光寶科","195","+6.5","+3.45","10/29","37.9↘","12↘","31.8↗","35.3↗","43.3↗","9.4↘","41.7↗","28.9↗","40.5↘","11.2↘","35.4↗","37.9↗"
="4967","十銓","126","-4","-3.08","10/29","39.2↘","11.5↗","58.8↘","46.8↗","44.8↗","6.83↘","32.8↗","26.1↗","41.2↗","12.9↘","34.9↗","39.2↗"
="2344","華邦電","54","0","0","10/29","49.9↘","8.36↘","61.5↗","62↗","54.6↗","3.9↘","44.2↗","31.9↗","49.1↗","11.7↘","21↗","18.1↗"
="3711","日月光投控","221","+18","+8.87","10/29","51.2↗","9.46↘","40.8↗","34.9↗","41.8↗","10.2↘","24↗","19.6↗","35.3↗","12↘","32.5↗","34.1↗"
="2882","國泰金","64.8","0","0","10/29","21.4↘","18.7↘","21.2↘","22↘","17.7↘","16.4↗","9.73↘","13.3↘","20.6↘","18.3↘","20↘","22.8↘"
="2891","中信金","42","+0.1","+0.24","10/29","24.7↘","23.4↘","10.4↘","13↘","18.9↗","21.2↘","12.7↘","15.5↘","27.1↘","13.3↘","36.6↘","33.8↗"
="2884","玉山金","30.2","+0.2","+0.67","10/29","6.86↘","43.7↘","36.8↗","27↗","18.4↘","33.4↗","14.5↗","18.1↗","25↘","23.2↗","13.6↘","13.5↘"
="2880","華南金","29.55","+0.1","+0.34","10/29","17.7↘","20.4↗","13.2↘","19.3↘","26.5↘","18↘","16.6↗","15.9↗","23.4↘","11.9↘","24↗","21.8↗"
="0050","元大台灣50","64.4","+1.05","+1.66","10/29","47.7↗","20.8↘","37.1↗","36.3↗","20.6↗","52↘","51.3↘","47↗","18.5↗","48.5↘","35.4↗","30.8↗"
="00878","國泰永續高股息","21.76","+0.1","+0.46","10/29","43↗","19.7↘","25.3↗","25.3↗","27.4↗","27.8↘","22.2↘","26.8↘","15.8↗","27.8↘","26.9↗","29.6↘"
="006208","富邦台50","150.95","+2.5","+1.68","10/29","49.5↗","19.1↘","45.3↘","45.4↗","44.3↘","9.64↘","34.6↗","27↗","44.8↗","16.7↘","30.5↗","30.3↗"
