"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","260","10","+4","125,297","10/29","94.2↘","91.8↗","84.6↗","106↘","","",""
="2330","台積電","市","1505","30","+2.03","32,775","10/29","87.5↗","75.5↗","73.9↗","78.7↗","73.7↗","今日",""
="2308","台達電","市","1060","-15","-1.4","13,037","10/29","74.7↘","76.9↘","72.7↗","85.4↘","75.5↘","即將交叉","是"
="2454","聯發科","市","1300","-15","-1.14","8,509","10/29","14.3↘","32.7↘","39.9↘","18.3↘","44↘","1日前","是"
="3231","緯創","市","152.5","4.5","+3.04","68,152","10/29","97.2↗","75.8↗","58.8↗","110↗","","",""
="3491","昇達科","櫃","428.5","-4.5","-1.04","1,416","10/29","3.53↘","28.7↘","42.3↘","1.59↘","52.9↘","1日前",""
="3008","大立光","市","2220","0","0","286","10/29","18.2↘","26.5↘","28.6↘","22.3↘","29.3↘","今日",""
="3443","創意","市","1470","-10","-0.68","3,583","10/29","9.43↘","38.3↘","57.6↘","-0.34↘","","",""
="3661","世芯-KY","市","3250","185","+6.04","3,238","10/29","66.7↗","43.4↗","38.5↗","53.1↗","37.2↗","今日","是"
="2301","光寶科","市","195","6.5","+3.45","57,330","10/29","94.4↗","79.4↗","64.8↗","109↗","","",""
="4967","十銓","市","126","-4","-3.08","2,588","10/29","21.4↘","58.1↘","72.2↘","30↘","80↘","1日前","是"
="2344","華邦電","市","54","0","0","70,727","10/29","96.3↘","90.7↗","84.5↗","103↗","75.6↗","2日前",""
="3711","日月光投控","市","221","18","+8.87","43,197","10/29","96.5↗","91.6↗","87.1↗","101↗","","",""
="2882","國泰金","市","64.8","0","0","11,905","10/29","8→","18.2↘","26.2↘","2.36↘","","",""
="2891","中信金","市","42","0.1","+0.24","32,465","10/29","7.69↗","19↘","27.8↘","1.42↘","35.5↘","1日前","是"
="2884","玉山金","市","30.2","0.2","+0.67","137,943","10/29","9.68↗","17.3↘","25.4↘","1.3↘","34.2↘","2日前",""
="2880","華南金","市","29.55","0.1","+0.34","10,945","10/29","30.8↗","49.5↘","64.6↘","19.3↘","78.9↘","2日前",""
="0050","元大台灣50","市","64.4","1.05","+1.66","67,414","10/29","98.1↗","89.1↗","86.1↗","95.1↗","84.6↗","今日","是"
="00878","國泰永續高股息","市","21.76","0.1","+0.46","46,363","10/29","83↗","79.1↗","72.6↗","92.1↘","","",""
="006208","富邦台50","市","150.95","2.5","+1.68","4,680","10/29","95.6↗","87.9↗","85.3↗","93.1↗","83.9↗","2日前",""
