"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","260","+10","+4","10/29","9.76↗","6.81↗","5.88↗","18.9↗","13.7↗","10.5↗","20.2↗","16.2↗","7.91↗"
="2330","台積電","1505","+30","+2.03","10/29","55↗","57↘","-3.94↗","113↗","83.4↗","59.3↗","156↗","127↗","58.2↗"
="2308","台達電","1060","-15","-1.4","10/29","59.9↘","61.3↘","-2.9↘","158↗","124↗","67.7↘","114↗","56.3↗","116↗"
="2454","聯發科","1300","-15","-1.14","10/29","-17.7↘","-19.3↗","3.06↘","-6.67↘","2.71↘","-18.8↘","107↘","124↘","-35.6↘"
="3231","緯創","152.5","+4.5","+3.04","10/29","5.22↗","5.42↘","-0.41↗","8.92↗","6.03↗","5.78↗","13.4↗","12↗","2.66↗"
="3491","昇達科","428.5","-4.5","-1.04","10/29","4.06↘","8.23↘","-8.34↘","24.1↘","17.5↗","13.2↘","56.6↗","54↗","5.27↗"
="3008","大立光","2220","0","0","10/29","-33.4↘","-25.9↘","-14.9↗","-27.4↘","-20.3↘","-14.2↘","-24.7↘","4.24↘","-57.8↘"
="3443","創意","1470","-10","-0.68","10/29","59.5↘","61.6↘","-4.22↘","83.7↗","51.8↗","63.8↘","51.2↗","50.1↗","2.05↗"
="3661","世芯-KY","3250","+185","+6.04","10/29","-133↗","-141↗","17.5↗","79.2↘","181↘","-204↘","361↘","335↗","52.9↘"
="2301","光寶科","195","+6.5","+3.45","10/29","6.73↗","5.29↗","2.88↗","18.7↗","14.4↗","8.48↗","14.7↗","7.79↗","13.8↗"
="4967","十銓","126","-4","-3.08","10/29","12↘","11.8↗","0.3↘","10.6↗","3.89↗","13.5↗","3.86↗","4.38↘","-1.04↗"
="2344","華邦電","54","0","0","10/29","5.6↗","4.99↗","1.22↗","7.42↗","4.24↗","6.36↗","1.44↗","-1.09↗","5.05↗"
="3711","日月光投控","221","+18","+8.87","10/29","10.8↗","8.13↗","5.36↗","11.9↗","5.75↗","12.3↗","11.8↗","10.3↗","2.84↗"
="2882","國泰金","64.8","0","0","10/29","0.13↘","0.27↘","-0.28↘","0.67↘","0.46↗","0.41↘","3.45↘","3.77↘","-0.64↗"
="2891","中信金","42","+0.1","+0.24","10/29","-0.12↘","-0.07↘","-0.1↘","0.5↘","0.71↘","-0.41↘","3.8↘","3.75↗","0.11↘"
="2884","玉山金","30.2","+0.2","+0.67","10/29","-0.65↘","-0.39↘","-0.53↘","0.47↘","0.9↘","-0.87↘","1.54↘","1.11↗","0.87↘"
="2880","華南金","29.55","+0.1","+0.34","10/29","0.15↘","0.17↘","-0.03↘","0.6↗","0.54↗","0.11↘","1.57↗","1.41↗","0.31↗"
="0050","元大台灣50","64.4","+1.05","+1.66","10/29","1.8↗","1.74↗","0.11↗","-20.3↗","-25.8↗","10.9↗","-19.6↘","-2.86↘","-33.5↗"
="00878","國泰永續高股息","21.76","+0.1","+0.46","10/29","0.16↗","0.14↗","0.04↗","0.07↗","-0.05↗","0.25↗","0.23↗","0.48↘","-0.5↗"
="006208","富邦台50","150.95","+2.5","+1.68","10/29","4.59↗","4.52↗","0.14↗","9.51↗","7.06↗","4.91↗","12.5↗","10↗","4.88↗"
