"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","260","+10","+4","10/29","84.4↗","75.6↗","90.4↗","83.7↗","84.6↗","75.5↗","78.3↗","73.3↗","87.3↗","71.8↗"
="2330","台積電","1505","+30","+2.03","10/29","70.9↗","69.6↗","95.1↗","86.6↗","88.2↗","81.5↗","85.2↗","81.5↗","91.7↗","89.1↗"
="2308","台達電","1060","-15","-1.4","10/29","67.7↘","70↘","91.8↗","89.4↗","93.8↗","87.8↗","92.2↗","87.8↗","97.4↗","92.4↗"
="2454","聯發科","1300","-15","-1.14","10/29","38.6↘","41↘","36.5↗","43.1↗","47.2↘","54.1↘","59.9↘","61.4↘","66.7↘","64.6↘"
="3231","緯創","152.5","+4.5","+3.04","10/29","77.8↗","69.9↗","70.9↗","68↗","77.2↗","70.1↗","81.9↗","78.7↗","92.3↗","81.9↗"
="3491","昇達科","428.5","-4.5","-1.04","10/29","33↘","43.3↘","51.2↘","56.1↘","63.3↘","63.8↘","78↘","76.6↘","85.1↗","81.5↗"
="3008","大立光","2220","0","0","10/29","36.1→","39.7→","37.8↘","42.1↘","34.9↘","44↘","39.8↘","44.3↘","44.7↘","51.3↘"
="3443","創意","1470","-10","-0.68","10/29","37.8↘","49.4↘","57.2↘","59.1↘","66.8↗","58.5↗","59.5↗","60.2↗","76.5↗","77.2↗"
="3661","世芯-KY","3250","+185","+6.04","10/29","55.1↗","47↗","42↗","47.3↗","51.1↘","54.3↘","61.7↘","64.1↘","92.2↘","91.7"
="2301","光寶科","195","+6.5","+3.45","10/29","86.7↗","74.6↗","84.4↗","80.6↗","91.2↗","81↗","87.6↗","82.3↗","87.1↗","79.1↗"
="4967","十銓","126","-4","-3.08","10/29","52.4↘","64.7↘","87.2↘","81↘","82↗","68.4↗","68↗","64.5↗","83.4↗",""
="2344","華邦電","54","0","0","10/29","85.9→","80.5→","94.9↗","90.4↗","89.8↗","80.1↗","82↗","72.1↗","69.3↗","61.1↗"
="3711","日月光投控","221","+18","+8.87","10/29","87.6↗","80.9↗","93.4↗","83.7↗","84.4↗","74.6↗","82.2↗","75.9↗","88.7↗",""
="2882","國泰金","64.8","0","0","10/29","32→","43.8→","49.2↘","51.4↘","59.1↘","59.4↘","65.5↘","61.7↘","59.7↘","48↘"
="2891","中信金","42","+0.1","+0.24","10/29","40.9↗","43.1↗","42.3→","49.5→","61.5↘","65.5↘","72.5↘","70↘","79.1↗","61.7↗"
="2884","玉山金","30.2","+0.2","+0.67","10/29","19.6↗","25.3↗","20.5↘","36.7↘","47.2↘","54.1↘","55.3↘","57↘","70↗","62.8↗"
="2880","華南金","29.55","+0.1","+0.34","10/29","45.8↗","52.9↗","60.1↘","59.8↘","70.8↘","67.7↘","79.2↘","72↘","71.5↗","42.3↗"
="0050","元大台灣50","64.4","+1.05","+1.66","10/29","71.8↗","71.4↗","60↗","33.5↗","24.7↗","29.2↗","29.8↗","37.5↗","40.1↘","46.2↘"
="00878","國泰永續高股息","21.76","+0.1","+0.46","10/29","75.7↗","69.9↗","73.7↗","61.7↗","58↗","54.7↗","60.2↗","63.6↗","74.2",""
="006208","富邦台50","150.95","+2.5","+1.68","10/29","73.1↗","72↗","96↗","87.9↗","87.2↗","80.4↗","84.7↗","79.8↗","88↗","86↗"
