"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","260","+10","+4","125,297","10/29","40,375","38,604","+1,770","1,169","275","+894","6,465","1,227","+5,239","48,009","40,106","+7,903","＋＋＋"
="2330","台積電","1505","+30","+2.03","32,775","10/29","18,189","11,981","+6,209","271","50","+221","948","391","+557","19,409","12,422","+6,987","＋＋＋"
="2308","台達電","1060","-15","-1.4","13,037","10/29","4,057","7,910","-3,852","215","13","+202","423","330","+93","4,695","8,253","-3,558","－＋＋"
="2454","聯發科","1300","-15","-1.14","8,509","10/29","3,562","5,958","-2,396","205","417","-212","164","95","+68","3,930","6,470","-2,539","－－＋"
="3231","緯創","152.5","+4.5","+3.04","68,152","10/29","24,816","20,228","+4,587","1,910","527","+1,383","1,883","978","+905","28,609","21,733","+6,876","＋＋＋"
="3491","昇達科","428.5","-4.5","-1.04","1,416","10/29","358","355","+3","4","103","-99","44","62","-17","406","520","-113","＋－－"
="3008","大立光","2220","0","0","286","10/29","102","179","-77","1","0","+1","6","3","+3","109","182","-73","－＋＋"
="3443","創意","1470","-10","-0.68","3,583","10/29","1,056","1,082","-26","10","111","-101","230","88","+142","1,296","1,281","+15","－－＋"
="3661","世芯-KY","3250","+185","+6.04","3,238","10/29","1,298","979","+320","35","202","-167","143","76","+67","1,476","1,256","+219","＋－＋"
="2301","光寶科","195","+6.5","+3.45","57,330","10/29","21,827","16,921","+4,905","1,777","1,190","+587","1,891","2,009","-118","25,495","20,120","+5,375","＋＋－"
="4967","十銓","126","-4","-3.08","2,588","10/29","121","179","-58","0","0","0","1","213","-212","122","392","-270","－・－"
="2344","華邦電","54","0","0","70,727","10/29","25,847","15,125","+10,721","16","2,100","-2,084","2,226","2,538","-312","28,088","19,763","+8,325","＋－－"
="3711","日月光投控","221","+18","+8.87","43,197","10/29","21,525","18,216","+3,310","331","723","-392","2,135","723","+1,412","23,991","19,662","+4,329","＋－＋"
="2882","國泰金","64.8","0","0","11,905","10/29","8,330","5,301","+3,029","280","294","-14","383","646","-263","8,993","6,242","+2,752","＋－－"
="2891","中信金","42","+0.1","+0.24","32,465","10/29","20,751","18,940","+1,810","2,800","2,634","+166","567","2,393","-1,826","24,117","23,967","+151","＋＋－"
="2884","玉山金","30.2","+0.2","+0.67","137,943","10/29","56,879","57,510","-630","48","3,505","-3,457","1,323","73","+1,250","58,251","61,088","-2,837","－－＋"
="2880","華南金","29.55","+0.1","+0.34","10,945","10/29","10,214","6,790","+3,424","42","24","+18","107","1,989","-1,882","10,363","8,803","+1,560","＋＋－"
="0050","元大台灣50","64.4","+1.05","+1.66","67,414","10/29","3,169","7,586","-4,417","1,400","0","+1,400","15,316","7,081","+8,235","19,885","14,667","+5,219","－＋＋"
="00878","國泰永續高股息","21.76","+0.1","+0.46","46,363","10/29","13,948","786","+13,162","560","0","+560","13,216","1,102","+12,114","27,724","1,888","+25,836","＋＋＋"
="006208","富邦台50","150.95","+2.5","+1.68","4,680","10/29","645","81","+564","0","0","0","1,384","739","+645","2,029","820","+1,209","＋・＋"
