"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","260","+10","+4","10/29","+1,770","+22,008","+37,758","+46,798","+156,075","+148,768","+895,279","+1,011,300","+81,378","-504,219","-1,564,134","+410,309"
="2330","台積電","1505","+30","+2.03","10/29","+6,209","-2,089","-1,110","-24,553","-38,574","-65,445","-9,305","+330,083","-14,942","+773,591","-781,808","+39,695"
="2308","台達電","1060","-15","-1.4","10/29","-3,852","-4,944","+253","+213","+396","-6,197","-34,538","+32,965","+8,751","+7,776","-109,929","-10,137"
="2454","聯發科","1300","-15","-1.14","10/29","-2,396","-3,642","-2,869","-7,216","-7,055","-21,324","-34,959","-18,495","-23,162","-44,099","+590","-28,251"
="3231","緯創","152.5","+4.5","+3.04","10/29","+4,587","+1,746","-682","-10,549","-90,308","-52,133","+33,496","+103,602","+23,963","-60,156","-43,638","+2,972"
="3491","昇達科","428.5","-4.5","-1.04","10/29","+3","-465","-495","-987","+372","+1,800","+3,240","-106","+953","+5,840","+8,240","+1,177"
="3008","大立光","2220","0","0","10/29","-77","-274","-416","-190","-666","-291","-931","-2,618","-2,304","-4,846","-21,234","-978"
="3443","創意","1470","-10","-0.68","10/29","-26","+91","-681","+246","+1,644","+7,323","+7,036","+5,767","+6,950","-8,789","+28,404","+7,032"
="3661","世芯-KY","3250","+185","+6.04","10/29","+320","+148","-74","-487","-807","-1,394","-4,016","-1,039","+4,905","+820","+4,000","-5,300"
="2301","光寶科","195","+6.5","+3.45","10/29","+4,905","-1,019","+2,489","+6,015","+3,383","-19,126","-45,966","+47,690","+111,382","-342,809","-348,716","+91,667"
="4967","十銓","126","-4","-3.08","10/29","-58","-256","-346","-172","-57","+9,259","+8,312","+9,224","+7,871","+5,323","","+8,687"
="2344","華邦電","54","0","0","10/29","+10,721","+2,954","+30,606","+56,012","+108,234","+70,277","+417,785","+515,641","+394,393","-84,986","+314,839","+421,898"
="3711","日月光投控","221","+18","+8.87","10/29","+3,310","+8,995","+13,493","+24,644","+59,355","+80,477","+78,996","+98,455","+59,299","+160,474","","+50,132"
="2882","國泰金","64.8","0","0","10/29","+3,029","-6,882","-5,093","-2,939","-3,274","+29,722","+67,897","-1,003,116","-1,031,245","-301,540","-981,170","-1,097,328"
="2891","中信金","42","+0.1","+0.24","10/29","+1,810","-23,183","-9,789","-16,277","-25,025","-40,334","-71,797","+43,424","+223,730","-1,397,358","-1,648,242","+10,126"
="2884","玉山金","30.2","+0.2","+0.67","10/29","-630","-72,781","-184,681","-171,167","-167,962","-160,716","-107,675","+289,891","+545,773","+241,369","-2,465,491","+448,853"
="2880","華南金","29.55","+0.1","+0.34","10/29","+3,424","+4,626","+5,703","+14,573","+24,419","+35,308","+55,970","+151,637","-8,636","-10,210","+56,898","+139,890"
="0050","元大台灣50","64.4","+1.05","+1.66","10/29","-4,417","-51,264","-57,069","-223,829","-456,301","-749,692","-1,108,105","-1,623,249","-2,218,852","-2,052,563","-2,474,871","-2,131,719"
="00878","國泰永續高股息","21.76","+0.1","+0.46","10/29","+13,162","+12,479","+22,198","+22,732","+47,321","+119,181","+247,233","+204,656","-513,552","-1,569,740","","-145,877"
="006208","富邦台50","150.95","+2.5","+1.68","10/29","+564","-185","-407","-3,285","-10,714","-8,609","+20,371","+126,823","+6,663","-117,559","-184,957","+70,676"
