"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","260","+10","+4","125,297","10/29","256.7↗","+1.27","228.6↗","+13.7","200.5↘","+29.7","56.3↗","1.06↗","0.25↗"
="2330","台積電","1505","+30","+2.03","32,775","10/29","1546↗","-2.67","1428↗","+5.41","1309↗","+15","237↘","0.83↗","0.17↘"
="2308","台達電","1060","-15","-1.4","13,037","10/29","1119↗","-5.25","985.4↗","+7.58","852↗","+24.4","267↘","0.78↘","0.27↘"
="2454","聯發科","1300","-15","-1.14","8,509","10/29","1354↘","-3.99","1318↘","-1.38","1282↘","+1.37","71.6↘","0.25↘","0.05↘"
="3231","緯創","152.5","+4.5","+3.04","68,152","10/29","157.8↘","-3.33","144.5↗","+5.52","131.3↗","+16.2","26.5↘","0.8↗","0.18↘"
="3491","昇達科","428.5","-4.5","-1.04","1,416","10/29","472.6↗","-9.34","448.8↘","-4.52","425↘","+0.83","47.7↗","0.07↘","0.11↗"
="3008","大立光","2220","0","0","286","10/29","2496↘","-11","2310↘","-3.92","2125↘","+4.47","371↗","0.26↗","0.16↗"
="3443","創意","1470","-10","-0.68","3,583","10/29","1689↘","-13","1474↗","-0.31","1260↗","+16.6","428↘","0.49↘","0.29↘"
="3661","世芯-KY","3250","+185","+6.04","3,238","10/29","3556↘","-8.61","3260↘","-0.3","2963↘","+9.67","593↘","0.48↗","0.18↘"
="2301","光寶科","195","+6.5","+3.45","57,330","10/29","187.9↗","+3.8","171.1↗","+14","154.3↘","+26.4","33.6↗","1.21↘","0.2↗"
="4967","十銓","126","-4","-3.08","2,588","10/29","150.2↗","-16.1","114.7↗","+9.87","79.13↗","+59.2","71.1↘","0.66↘","0.62↘"
="2344","華邦電","54","0","0","70,727","10/29","54.73↗","-1.33","42.73↗","+26.4","30.74↗","+75.7","24↗","0.97↘","0.56↗"
="3711","日月光投控","221","+18","+8.87","43,197","10/29","216.2↗","+2.24","183.4↗","+20.5","150.6↘","+46.7","65.5↗","1.07↗","0.36↗"
="2882","國泰金","64.8","0","0","11,905","10/29","66.31↗","-2.28","65.44↘","-0.98","64.57↘","+0.36","1.74↗","0.13↗","0.03↗"
="2891","中信金","42","+0.1","+0.24","32,465","10/29","43.07↗","-2.47","42.44↘","-1.03","41.8↘","+0.47","1.26↗","0.15↗","0.03↗"
="2884","玉山金","30.2","+0.2","+0.67","137,943","10/29","34.31↗","-12","32.37↘","-6.71","30.44↘","-0.79","3.87↗","-0.06↗","0.12↗"
="2880","華南金","29.55","+0.1","+0.34","10,945","10/29","29.99↗","-1.48","29.5↗","+0.17","29.01↗","+1.88","0.99↘","0.55↗","0.03↘"
="0050","元大台灣50","64.4","+1.05","+1.66","67,414","10/29","65.39↗","-1.51","61.42↗","+4.86","57.44↗","+12.1","7.95↗","0.88↗","0.13↘"
="00878","國泰永續高股息","21.76","+0.1","+0.46","46,363","10/29","21.75↗","+0.03","21.42↗","+1.6","21.08↘","+3.22","0.67↗","1.01↗","0.03↗"
="006208","富邦台50","150.95","+2.5","+1.68","4,680","10/29","153.2↗","-1.46","143.5↗","+5.2","133.8↗","+12.8","19.4↗","0.88↗","0.14↗"
