"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/29","","260","+10","+4","125,297","32,456","250","254","263","253","4","19.8","2.47","","","","",""
="2330","台積電","市","10/29","","1505","+30","+2.03","32,775","49,266","1475","1495","1515","1490","1.69","26.7","8.52","","","","",""
="2308","台達電","市","10/29","","1060","-15","-1.4","13,037","13,797","1075","1075","1085","1035","4.65","63","12.98","","","","",""
="2454","聯發科","市","10/29","","1300","-15","-1.14","8,509","11,154","1315","1305","1330","1300","2.28","19.5","5.5","","","","",""
="3231","緯創","市","10/29","","152.5","+4.5","+3.04","68,152","10,328","148","149","153","148","3.38","20.8","3.21","","","","",""
="3491","昇達科","櫃","10/29","","428.5","-4.5","-1.04","1,416","614","433","436","445","427","4.16","55.5","11.44","","","","",""
="3008","大立光","市","10/29","","2220","0","0","286","637","2220","2245","2245","2220","1.13","13","1.67","","","","",""
="3443","創意","市","10/29","","1470","-10","-0.68","3,583","5,308","1480","1495","1510","1460","3.38","54.3","18.24","","","","",""
="3661","世芯-KY","市","10/29","","3250","+185","+6.04","3,238","10,457","3065","3075","3310","3075","7.67","40.9","7.49","","","","",""
="2301","光寶科","市","10/29","","195","+6.5","+3.45","57,330","11,090","188.5","189","197","188","4.77","34.2","5.5","","","","",""
="4967","十銓","市","10/29","","126","-4","-3.08","2,588","327","130","130","130","125.5","3.46","52.7","2.79","","","","",""
="2344","華邦電","市","10/29","","54","0","0","70,727","3,805","54","54.4","54.5","51.9","4.81","","2.77","","","","",""
="3711","日月光投控","市","10/29","","221","+18","+8.87","43,197","9,307","203","205","222.5","204.5","8.87","28","3.27","","","","",""
="2882","國泰金","市","10/29","","64.8","0","0","11,905","774","64.8","65.2","65.4","64.8","0.93","11.2","1.37","","","","",""
="2891","中信金","市","10/29","","42","+0.1","+0.24","32,465","1,369","41.9","41.95","42.5","41.95","1.31","11.6","1.91","","","","",""
="2884","玉山金","市","10/29","","30.2","+0.2","+0.67","137,943","4,145","30","30.05","30.3","29.95","1.17","16.1","1.95","","","","",""
="2880","華南金","市","10/29","","29.55","+0.1","+0.34","10,945","323","29.45","29.45","29.7","29.35","1.19","17.4","1.89","","","","",""
="0050","元大台灣50","市","10/29","","64.4","+1.05","+1.66","67,414","4,327","63.35","63.7","64.45","63.7","1.18","","1.003","","","","",""
="00878","國泰永續高股息","市","10/29","","21.76","+0.1","+0.46","46,363","1,010","21.66","21.75","21.85","21.74","0.51","","0.995","","","","",""
="006208","富邦台50","市","10/29","","150.95","+2.5","+1.68","4,680","704","148.45","149.7","151.25","149.7","1.04","","1.0022","","","","",""
