"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","260","+10","+4","10/29","+894","+55","+625","+923","-8,467","-7,073","+23,855","+98,776","+1,160","+88,907","+212,681","+97,047"
="2330","台積電","1505","+30","+2.03","10/29","+221","+433","+132","+963","+5,496","+7,199","-2,617","-3,798","+28,164","+63,148","+134,906","+17,186"
="2308","台達電","1060","-15","-1.4","10/29","+203","+692","+643","+466","-1,448","-403","+2,766","+16,254","+9,899","+5,308","+42,910","+11,341"
="2454","聯發科","1300","-15","-1.14","10/29","-212","-352","+190","-289","-1,960","-3,855","-8,221","-62,934","-58,424","+12,016","+42,669","-56,041"
="3231","緯創","152.5","+4.5","+3.04","10/29","+1,383","+3,298","+4,044","+6,618","+14,954","+46,808","-13,570","+32,873","+76,925","+137,375","+108,222","+85,565"
="3491","昇達科","428.5","-4.5","-1.04","10/29","-99","-202","-501","-546","-934","-1,007","-447","-3,060","-852","+3,387","+44","-1,329"
="3008","大立光","2220","0","0","10/29","+1","+1","+1","+28","-5","-87","-478","-711","-1,090","-181","-1,612","-2,393"
="3443","創意","1470","-10","-0.68","10/29","-101","-685","-997","-1,085","-862","-432","-526","-1,869","-291","-9,973","+4,595","-2,775"
="3661","世芯-KY","3250","+185","+6.04","10/29","-167","-173","-215","-255","-631","-1,384","-2,914","-378","+1,848","-4,853","+4,840","+422"
="2301","光寶科","195","+6.5","+3.45","10/29","+32","+1,106","+1,414","-724","-6,722","-12,457","+20,138","+294","-16,696","+50,741","+195,573","+1,855"
="4967","十銓","126","-4","-3.08","10/29","0","0","+57","+169","+422","+422","+422","+422","+422","+341","","+422"
="2344","華邦電","54","0","0","10/29","-2,084","-2,103","-2,040","-1,953","+1,172","+40,275","+172,806","+182,017","+176,856","+182,354","+183,816","+183,045"
="3711","日月光投控","221","+18","+8.87","10/29","-392","-560","-947","+111","+397","-9,179","-6,754","-102,839","-153,546","+161,908","","-112,025"
="2882","國泰金","64.8","0","0","10/29","-14","+1,045","+330","-1,137","-5,273","-20,065","+33,732","+1,463,813","+1,477,851","+1,668,386","+1,744,650","+1,464,510"
="2891","中信金","42","+0.1","+0.24","10/29","+166","-429","-4,852","-17,845","-34,578","-60,580","+25,362","+811,377","+1,074,770","+2,738,410","+2,920,243","+997,871"
="2884","玉山金","30.2","+0.2","+0.67","10/29","-3,457","-4,674","-9,754","-14,358","-22,151","-31,028","-35,957","-19,928","-130,901","+283,907","+326,588","+62,252"
="2880","華南金","29.55","+0.1","+0.34","10/29","+18","-116","-1,042","-3,002","-2,932","+629","+34,104","-114,858","+199,491","+481,087","+518,831","-15,643"
="0050","元大台灣50","64.4","+1.05","+1.66","10/29","+1,400","+4,800","+9,100","+11,600","+21,820","+30,391","-16,038","+4,514","+38,696","+99,061","+139,202","+25,504"
="00878","國泰永續高股息","21.76","+0.1","+0.46","10/29","+560","+560","+560","+560","+560","+560","+7,170","+7,217","+15,060","+25,316","","+11,030"
="006208","富邦台50","150.95","+2.5","+1.68","10/29","0","-30","-180","-180","-180","+9","-464","+4,513","+9,110","+10,021","+10,021","+8,711"
