"代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
="2317","鴻海","260","25Q2","74,229","+3.38","4,599","+3.15","1,821","+5.39","6.2","-0.01","2.74","+0.05","13.12","+0.69","12.1","+1.21","5.01","+0.41","43"
="2330","台積電","1505","25Q2","34,012","+8.29","19,925","+10.5","14,598","+11.5","58.6","+1.17","42.9","+1.22","56.31","+5.79","34.6","+2.92","22.4","+2.2","91"
="2308","台達電","1060","25Q2","4,694","+4.59","1,562","+5.93","437","+10.1","33.3","+0.42","10.4","+0.28","16.82","+1.53","19","+2.68","9.39","+0.64","57"
="2454","聯發科","1300","25Q2","5,735","+4.2","2,790","+4.39","1,063","+2.05","48.7","+0.09","18.7","-0.4","66.79","+1.32","27.6","+0.39","15.9","+0.48","68"
="3231","緯創","152.5","25Q2","14,675","+26.9","983","+4.65","213","+10.9","6.7","-1.42","2.88","-0.2","7.32","+0.64","24.6","+3.67","6.11","-0.09","34"
="3491","昇達科","428.5","25Q2","23.9","-5.32","11.8","-10.4","5.05","-17.5","49.4","-2.79","21.7","-3.77","7.72","-1.79","20.4","-5.41","12.5","-3.53","77"
="3008","大立光","2220","25Q2","634","+1.1","346","+2.81","228","-13.2","54.5","+0.91","36.6","-5.89","170.69","-25.98","13.1","-2","11.2","-1.2","87"
="3443","創意","1470","25Q2","258","-2.33","83.7","-0.23","36.2","-3.35","32.5","+0.69","14.1","-0.15","27.05","-0.91","35.9","+2.76","15.1","-0.14","64"
="3661","世芯-KY","3250","25Q2","475","-8.54","99.7","-6.46","64.2","-3.94","21","+0.47","13.5","+0.64","79.4","-3.34","18.5","+0.67","12.8","+0.46","70"
="2301","光寶科","195","25Q2","1,519","+4.93","336","+4.86","131","+0.31","22.1","-0.01","8.59","-0.4","5.71","+0.03","15.5","+0.53","6.74","+0.13","51"
="4967","十銓","126","25Q2","194","-13.1","17.3","-12.8","2.04","-37.1","8.93","+0.02","1.05","-0.4","2.39","-1.45","5.58","-4.49","1.33","-1.42","32"
="2344","華邦電","54","25Q2","810","-0.57","212","-9.97","-30.6","-11768","26.2","-2.73","-4.14","-4.13","-0.68","-0.67","-3.47","-3.46","-1.85","-1.85","38"
="3711","日月光投控","221","25Q2","6,213","+1.72","1,036","+2.61","341","-0.75","16.7","+0.14","5.68","-0.18","7.88","-0.08","11.1","0","4.88","-0.04","45"
="2882","國泰金","64.8","25Q2","3,005","-13.5","","","845","-18.9","","","28.4","-2.03","5.76","-1.33","10.2","-1.82","0.63","-0.15","71"
="2891","中信金","42","25Q2","2,078","+2.71","","","707","-0.5","","","34.7","-1.13","3.62","-0.02","15.2","+0.98","0.83","0","67"
="2884","玉山金","30.2","25Q2","831","+3.79","","","302","+5.26","","","36.3","+0.51","1.87","+0.08","12.5","+1.18","0.75","+0.02","67"
="2880","華南金","29.55","25Q2","661","-1.53","","","236","+3.32","","","35.7","+1.68","1.7","+0.03","11.2","+0.96","0.56","+0.01","62"
="0050","元大台灣50","64.4","","","","","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.76","","","","","","","","","","","","","","","","","",""
="006208","富邦台50","150.95","","","","","","","","","","","","","","","","","",""
