"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","260","+10","+4","125,297","10/29","247.6↗","237.2↗","231↗","228.6↗","217.2↗","212.9↗","192.6↗","186.2↗","177↗","180.5↗"
="2330","台積電","1505","+30","+2.03","32,775","10/29","1474↗","1473↗","1457↗","1428↗","1299↗","1276↗","1201↗","1163↗","1097↗","1090↗"
="2308","台達電","1060","-15","-1.4","13,037","10/29","1047↗","1031↗","1020↗","985.4↗","850.7↗","814.2↗","670.4↗","620.9↗","524.5↗","504.3↗"
="2454","聯發科","1300","-15","-1.14","8,509","10/29","1315↘","1323↘","1324↘","1318↘","1377↘","1373↘","1356↗","1348↗","1381↘","1372↗"
="3231","緯創","152.5","+4.5","+3.04","68,152","10/29","146.7↗","143.2↗","144.9↘","144.5↗","127.6↗","126.8↗","123.5↗","121.6↗","114.7↗","114.6↗"
="3491","昇達科","428.5","-4.5","-1.04","1,416","10/29","442.3↘","446.8↗","448.7↘","448.8↘","423.6↗","410.2↗","380.9↗","374.7↗","387.7↗","375↗"
="3008","大立光","2220","0","0","286","10/29","2254↘","2241↘","2296↘","2310↘","2338↘","2348↘","2340↘","2326↗","2397↘","2408↘"
="3443","創意","1470","-10","-0.68","3,583","10/29","1566↘","1547↗","1520↗","1474↗","1372↗","1349↗","1286↗","1262↗","1238↗","1243↗"
="3661","世芯-KY","3250","+185","+6.04","3,238","10/29","3150↘","3160↗","3231↘","3260↘","3618↘","3666↘","3498↗","3371↗","3159↗","3071↗"
="2301","光寶科","195","+6.5","+3.45","57,330","10/29","180.7↗","173↗","171.6↗","171.1↗","155.1↗","151.5↗","136.1↗","130.5↗","118.8↗","116.2↗"
="4967","十銓","126","-4","-3.08","2,588","10/29","129.9↘","129↗","123.8↗","114.7↗","92.51↗","89.25↗","82.96↗","81.42↗","81.2↗","81.97↗"
="2344","華邦電","54","0","0","70,727","10/29","50.13↗","46.96↗","45.37↗","42.73↗","31.58↗","29.24↗","25.02↗","23.76↗","20.92↗","20.22↗"
="3711","日月光投控","221","+18","+8.87","43,197","10/29","203.1↗","197.6↗","189.7↗","183.4↗","169↗","165.6↗","158.7↗","155.9↗","155.9↗","156.1↗"
="2882","國泰金","64.8","0","0","11,905","10/29","65.34↘","65.51↘","65.52↘","65.44↘","64.81↗","64.53↗","64.39↘","63.86↗","63.68↘","64.43↘"
="2891","中信金","42","+0.1","+0.24","32,465","10/29","42.12↘","42.3↘","42.32↘","42.44↘","42.48↘","42.53↗","42.74↗","42.52↗","41.18↗","40.7↗"
="2884","玉山金","30.2","+0.2","+0.67","137,943","10/29","31.15↘","31.84↘","32.15↘","32.37↘","33.16↘","33.16↘","33.05↘","32.54↗","30.9↗","30.31↗"
="2880","華南金","29.55","+0.1","+0.34","10,945","10/29","29.68↘","29.7↗","29.54↗","29.5↗","29.06↗","29.08↗","28.52↗","28.32↗","27.93↗","27.63↗"
="0050","元大台灣50","64.4","+1.05","+1.66","67,414","10/29","63.32↗","62.98↗","62.39↗","61.42↗","57.14↗","56.31↗","64.08↘","83.01↘","123.9↘","135.5↘"
="00878","國泰永續高股息","21.76","+0.1","+0.46","46,363","10/29","21.64↗","21.5↗","21.47↗","21.42↗","21.02↗","21.05↗","21.02↗","20.96↗","21.18↘","21.38↘"
="006208","富邦台50","150.95","+2.5","+1.68","4,680","10/29","148.3↗","147.3↗","145.8↗","143.5↗","133.5↗","131.6↗","124.7↗","121.5↗","115.9↗","115.4↗"
