"代號","名稱","成交","漲跌價","漲跌幅","財報季度","營業成本(%)","營業費用(%)","應收帳款週轉率","應收帳款收現日數","應付帳款週轉率","應付帳款付現日數","存貨週轉率","平均售貨日數","固定資產週轉率","總資產週轉率","淨值週轉率","業外損益(%)","業外佔稅前淨利(%)"
="2317","鴻海","260","+10","+4","25Q2","93.8","3.2","7.77","47","5.58","65.4","7.98","45.7","16.8","1.83","4.43","0.44","12.9"
="2330","台積電","1505","+30","+2.03","25Q2","41.4","9.86","15.1","24.2","2.43","150","4.89","74.7","1.05","0.52","0.81","2.94","5.69"
="2308","台達電","1060","-15","-1.4","25Q2","66.7","20.5","5.21","70","2.44","149","4.01","90.9","4.25","0.9","1.83","0.62","4.65"
="2454","聯發科","1300","-15","-1.14","25Q2","51.3","30.4","8.63","42.3","2.14","171","5.4","67.6","10.2","0.85","1.48","3.09","14.5"
="3231","緯創","152.5","+4.5","+3.04","25Q2","93.3","3.34","6.28","58.1","6.23","58.6","5.31","68.7","25.7","2.12","8.53","0.45","11.8"
="3491","昇達科","428.5","-4.5","-1.04","25Q2","50.6","23.9","4.01","90.9","1.46","251","6.58","55.5","1.99","0.57","0.94","1.99","7.24"
="3008","大立光","2220","0","0","25Q2","45.5","11.7","8.33","43.8","1.02","357","4.31","84.7","1.36","0.31","0.36","2.05","4.57"
="3443","創意","1470","-10","-0.68","25Q2","67.5","16.6","14.6","24.9","4.76","76.7","3.36","109","34.6","1.07","2.55","0.58","3.53"
="3661","世芯-KY","3250","+185","+6.04","25Q2","79","7.77","12.1","30.2","6.37","57.3","4.21","86.7","27.7","0.95","1.37","2.95","18.3"
="2301","光寶科","195","+6.5","+3.45","25Q2","77.9","12.3","4.47","81.6","2.19","167","4.62","78.9","7.94","0.78","1.8","1.67","14.6"
="4967","十銓","126","-4","-3.08","25Q2","91.1","8.25","6.32","57.7","2.83","129","2.66","137","53.1","1.27","5.3","0.65","48.7"
="2344","華邦電","54","0","0","25Q2","73.8","29.6","6.46","56.5","3.43","106","2.71","134","0.82","0.45","0.84","-1.28","27.6"
="3711","日月光投控","221","+18","+8.87","25Q2","83.3","9.83","5.51","66.3","3.46","105","8.59","42.5","1.95","0.86","1.95","0.05","0.67"
="2882","國泰金","64.8","0","0","25Q2","","","1.02","359","","","","","2.76","0.02","0.36","",""
="2891","中信金","42","+0.1","+0.24","25Q2","","","0.69","530","","","","","4.15","0.02","0.44","",""
="2884","玉山金","30.2","+0.2","+0.67","25Q2","","","0.49","748","","","","","2.43","0.02","0.34","",""
="2880","華南金","29.55","+0.1","+0.34","25Q2","","","0.79","462","","","","","1.96","0.02","0.31","",""
="0050","元大台灣50","64.4","+1.05","+1.66","","","","","","","","","","","","","",""
="00878","國泰永續高股息","21.76","+0.1","+0.46","","","","","","","","","","","","","",""
="006208","富邦台50","150.95","+2.5","+1.68","","","","","","","","","","","","","",""
