"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價現金殖利率","除權價","除權價股票殖利率","除權息合計殖利率","除息交易日","除權交易日","現金股利發放日"
="2317","鴻海","10/29","260","+10","+4","2025","年","5.8","0","5.8","165.5","3.5","","0","3.5","'25/07/02","","'25/07/31"
="2330","台積電","10/29","1505","+30","+2.03","2025","季","19","0","19","1255","1.62","","0","1.62","'25/09/16","","'25/10/09"
="2308","台達電","10/29","1060","-15","-1.4","2025","年","7","0","7","400.5","1.75","","0","1.75","'25/06/17","","'25/07/23"
="2454","聯發科","10/29","1300","-15","-1.14","2025","半年","54","0","54","1295","3.98","","0","3.98","'25/07/03","","'25/07/31"
="3231","緯創","10/29","152.5","+4.5","+3.04","2025","年","3.799","0","3.799","115","3.3","","0","3.3","'25/06/03","","'25/06/27"
="3491","昇達科","10/29","428.5","-4.5","-1.04","2025","年","6.489","0","6.489","360","1.8","","0","1.8","'25/07/21","","'25/08/12"
="3008","大立光","10/29","2220","0","0","2025","半年","85.5","0","85.5","2420","3.43","","0","3.43","'25/08/14","","'25/09/11"
="3443","創意","10/29","1470","-10","-0.68","2025","年","16","0","16","1095","1.46","","0","1.46","'25/06/03","","'25/06/26"
="3661","世芯-KY","10/29","3250","+185","+6.04","2025","年","36.48","0","36.48","3915","0.93","","0","0.93","'25/09/02","","'25/10/07"
="2301","光寶科","10/29","195","+6.5","+3.45","2025","季","4.507","0","4.507","134","3.87","","0","3.87","'25/08/19","","'25/09/11"
="4967","十銓","10/29","126","-4","-3.08","2025","年","3","0","3","89","3.37","","0","3.37","'25/10/02","","'25/10/31"
="2344","華邦電","10/29","54","0","0","2026","半年","0","0","0","","0","","","0","","",""
="3711","日月光投控","10/29","221","+18","+8.87","2025","年","5.296","0","5.296","145.5","3.64","","0","3.64","'25/07/02","","'25/07/30"
="2882","國泰金","10/29","64.8","0","0","2025","年","3.5","0","3.5","67.9","5.15","","0","5.15","'25/06/30","","'25/07/28"
="2891","中信金","10/29","42","+0.1","+0.24","2025","年","2.3","0","2.3","43.85","5.25","","0","5.25","'25/07/14","","'25/08/08"
="2884","玉山金","10/29","30.2","+0.2","+0.67","2025","年","1.2","0.1","1.3","34.2","3.51","34.2","0.29","3.8","'25/07/22","'25/07/22","'25/08/27"
="2880","華南金","10/29","29.55","+0.1","+0.34","2025","年","1.25","0.1","1.35","29.35","4.26","29.35","0.34","4.6","'25/08/13","'25/08/13","'25/08/29"
="0050","元大台灣50","10/29","64.4","+1.05","+1.66","2025","半年","3.06","0","3.06","51.45","2.06","","0","2.06","'25/07/21","","'25/08/08"
="00878","國泰永續高股息","10/29","21.76","+0.1","+0.46","2025","季","1.37","0","1.37","21.16","6.28","","0","6.28","'25/08/18","","'25/09/11"
="006208","富邦台50","10/29","150.95","+2.5","+1.68","2025","半年","0.989","0","0.989","117","0.85","","0","0.85","'25/07/16","","'25/08/08"
