代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,RSV(日),K值(日),D值(日),J值(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),+DI(日),-DI(日),ADX(日),ADXR(日),布林上軌,布林中軌,布林下軌,布林%b,布林帶寬,5日均線,10日均線,20日均線,60日均線,120日均線,外資_10/29,投信_10/29,自營_10/29,法人_10/29,外資_5日累計,外資_1月累計,外資_3月累計,投信_5日累計,投信_1月累計,投信_3月累計,美股連動,10/30預判,操作建議
2317,鴻海,市,10/29,260.0,10.0,4.0,"125,297","32,456",250.0,254.0,263.0,253.0,4.0,19.8,2.47,94.2↘,91.8↗,84.6↗,106↘,84.4↗,75.6↗,9.76↗,6.81↗,5.88↗,49.1↗,13.5↘,31.7↗,29.3↗,256.7↗,228.6↗,200.5↘,1.06↗,0.25↗,247.6↗,237.2↗,228.6↗,212.9↗,186.2↗,"+1,770",+894,"+5,239","+7,903","+46,798","+148,768","+895,279",+923,"-7,073","+23,855",AAPL/NVDA,⚠️超買-注意回檔,減碼/觀望
2330,台積電,市,10/29,1505.0,30.0,2.03,"32,775","49,266",1475.0,1495.0,1515.0,1490.0,1.69,26.7,8.52,87.5↗,75.5↗,73.9↗,78.7↗,70.9↗,69.6↗,55↗,57↘,-3.94↗,47↗,19.6↘,45.6↘,45.7↗,1546↗,1428↗,1309↗,0.83↗,0.17↘,1474↗,1473↗,1428↗,1276↗,1163↗,"+6,209",+221,+557,"+6,987","-24,553","-65,445","-9,305",+963,"+7,199","-2,617",NVDA/TSM,✅強勢-注意追高,持有-設停利
2308,台達電,市,10/29,1060.0,-15.0,-1.4,"13,037","13,797",1075.0,1075.0,1085.0,1035.0,4.65,63.0,12.98,74.7↘,76.9↘,72.7↗,85.4↘,67.7↘,70↘,59.9↘,61.3↘,-2.9↘,37.4↘,9.67↗,61.1↘,56.7↗,1119↗,985.4↗,852↗,0.78↘,0.27↘,1047↗,1031↗,985.4↗,814.2↗,620.9↗,"-3,852",+202,+93,"-3,558",+213,"-6,197","-34,538",+466,-403,"+2,766",NVDA,➡️中性-觀察,中性觀望
2454,聯發科,市,10/29,1300.0,-15.0,-1.14,"8,509","11,154",1315.0,1305.0,1330.0,1300.0,2.28,19.5,5.5,14.3↘,32.7↘,39.9↘,18.3↘,38.6↘,41↘,-17.7↘,-19.3↗,3.06↘,19.5↘,25.2↗,14.2↘,19.7↘,1354↘,1318↘,1282↘,0.25↘,0.05↘,1315↘,1323↘,1318↘,1373↘,1348↗,"-2,396",-212,+68,"-2,539","-7,216","-21,324","-34,959",-289,"-3,855","-8,221",QCOM,➡️中性-觀察,中性觀望
3231,緯創,市,10/29,152.5,4.5,3.04,"68,152","10,328",148.0,149.0,153.0,148.0,3.38,20.8,3.21,97.2↗,75.8↗,58.8↗,110↗,77.8↗,69.9↗,5.22↗,5.42↘,-0.41↗,35.7↗,14↘,37.4↗,39.9↗,157.8↘,144.5↗,131.3↗,0.8↗,0.18↘,146.7↗,143.2↗,144.5↗,126.8↗,121.6↗,"+4,587","+1,383",+905,"+6,876","-10,549","-52,133","+33,496","+6,618","+46,808","-13,570",-,✅強勢-注意追高,持有-設停利
3491,昇達科,櫃,10/29,428.5,-4.5,-1.04,"1,416",614,433.0,436.0,445.0,427.0,4.16,55.5,11.44,3.53↘,28.7↘,42.3↘,1.59↘,33↘,43.3↘,4.06↘,8.23↘,-8.34↘,16↘,19.5↗,26.6↘,38↘,472.6↗,448.8↘,425↘,0.07↘,0.11↗,442.3↘,446.8↗,448.8↘,410.2↗,374.7↗,+3,-99,-17,-113,-987,"+1,800","+3,240",-546,"-1,007",-447,-,💡超賣-觀察反彈,觀察進場點
3008,大立光,市,10/29,2220.0,0.0,0.0,286,637,2220.0,2245.0,2245.0,2220.0,1.13,13.0,1.67,18.2↘,26.5↘,28.6↘,22.3↘,36.1→,39.7→,-33.4↘,-25.9↘,-14.9↗,20.8↘,26↘,13.9↘,12.7↗,2496↘,2310↘,2125↘,0.26↗,0.16↗,2254↘,2241↘,2310↘,2348↘,2326↗,-77,+1,+3,-73,-190,-291,-931,+28,-87,-478,AAPL,➡️中性-觀察,中性觀望
3443,創意,市,10/29,1470.0,-10.0,-0.68,"3,583","5,308",1480.0,1495.0,1510.0,1460.0,3.38,54.3,18.24,9.43↘,38.3↘,57.6↘,-0.34↘,37.8↘,49.4↘,59.5↘,61.6↘,-4.22↘,32.3↘,23.6↘,33.1↘,25.7↘,1689↘,1474↗,1260↗,0.49↘,0.29↘,1566↘,1547↗,1474↗,1349↗,1262↗,-26,-101,+142,+15,+246,"+7,323","+7,036","-1,085",-432,-526,NVDA/ASIC,➡️中性-觀察,中性觀望
3661,世芯-KY,市,10/29,3250.0,185.0,6.04,"3,238","10,457",3065.0,3075.0,3310.0,3075.0,7.67,40.9,7.49,66.7↗,43.4↗,38.5↗,53.1↗,55.1↗,47↗,-133↗,-141↗,17.5↗,25.4↗,28↘,22.3↘,21↘,3556↘,3260↘,2963↘,0.48↗,0.18↘,3150↘,3160↗,3260↘,3666↘,3371↗,+320,-167,+67,+219,-487,"-1,394","-4,016",-255,"-1,384","-2,914",NVDA/ASIC,➡️中性-觀察,中性觀望
2301,光寶科,市,10/29,195.0,6.5,3.45,"57,330","11,090",188.5,189.0,197.0,188.0,4.77,34.2,5.5,94.4↗,79.4↗,64.8↗,109↗,86.7↗,74.6↗,6.73↗,5.29↗,2.88↗,37.9↘,12↘,31.8↗,35.3↗,187.9↗,171.1↗,154.3↘,1.21↘,0.2↗,180.7↗,173↗,171.1↗,151.5↗,130.5↗,"+4,905",+587,-118,"+5,375","+6,015","-19,126","-45,966",-724,"-12,457","+20,138",NVDA,✅中性偏多,持有/加碼
