代號,名稱,成交,漲跌幅,K值(日),RSI6(日),外資_10/29,外資_5日累計,法人_10/29,美股連動,10/30預判,操作建議
2317,鴻海,260,4,91.8↗,84.4↗,"1,770","46,798","7,903",AAPL/NVDA,⚠️超買-注意回檔,減碼/觀望
2330,台積電,1505,2.03,75.5↗,70.9↗,"6,209","-24,553","6,987",NVDA/TSM,✅強勢-注意追高,持有-設停利
2308,台達電,1060,-1.4,76.9↘,67.7↘,"-3,852",213,"-3,558",NVDA,➡️中性-觀察,中性觀望
2454,聯發科,1300,-1.14,32.7↘,38.6↘,"-2,396","-7,216","-2,539",QCOM,➡️中性-觀察,中性觀望
3231,緯創,152.5,3.04,75.8↗,77.8↗,"4,587","-10,549","6,876",-,✅強勢-注意追高,持有-設停利
3491,昇達科,428.5,-1.04,28.7↘,33↘,3,-987,-113,-,💡超賣-觀察反彈,觀察進場點
3008,大立光,2220,0,26.5↘,36.1→,-77,-190,-73,AAPL,➡️中性-觀察,中性觀望
3443,創意,1470,-0.68,38.3↘,37.8↘,-26,246,15,NVDA/ASIC,➡️中性-觀察,中性觀望
3661,世芯-KY,3250,6.04,43.4↗,55.1↗,320,-487,219,NVDA/ASIC,➡️中性-觀察,中性觀望
2301,光寶科,195,3.45,79.4↗,86.7↗,"4,905","6,015","5,375",NVDA,✅中性偏多,持有/加碼
4967,十銓,126,-3.08,58.1↘,52.4↘,-58,-172,-270,MU/WDC,➡️中性-觀察,中性觀望
2344,華邦電,54,0,90.7↗,85.9→,"10,721","56,012","8,325",MU/WDC,⚠️超買-注意回檔,減碼/觀望
3711,日月光投控,221,8.87,91.6↗,87.6↗,"3,310","24,644","4,329",-,⚠️超買-注意回檔,減碼/觀望
2882,國泰金,64.8,0,18.2↘,32→,"3,029","-2,939","2,752",-,💡超賣-觀察反彈,觀察進場點
2891,中信金,42,0.24,19↘,40.9↗,"1,810","-16,277",151,-,⚠️偏空-觀望,觀望/停損
2884,玉山金,30.2,0.67,17.3↘,19.6↗,-630,"-171,167","-2,837",-,💡超賣-觀察反彈,觀察進場點
2880,華南金,29.55,0.34,49.5↘,45.8↗,"3,424","14,573","1,560",-,➡️中性-觀察,中性觀望
50,元大台灣50,64.4,1.66,89.1↗,71.8↗,"-4,417","-223,829","5,219",-,➡️中性-觀察,中性觀望
878,國泰永續高股息,21.76,0.46,79.1↗,75.7↗,"13,162","22,732","25,836",-,✅偏多-續強,持有/加碼
6208,富邦台50,150.95,1.68,87.9↗,73.1↗,564,"-3,285","1,209",-,➡️中性-觀察,中性觀望
