代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,K值(日),D值(日),J值(日),RSI6(日),RSI12(日),RSI6(週),RSI12(週),RSI6(月),RSI12(月),DIF(日),MACD(日),OSC(日),ADX(日),#NAME?,#NAME?,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買賣超張數,美股連動,美股Nasdaq,美股SPX,技術面評分,KD狀態,RSI狀態,法人動向,10/31預判,操作建議,風險等級
2317,鴻海,市,10月30日,262,2,0.77,108446,28367,260,262.5,265,256.5,3.27,20,2.49,92.2,87.2,102,85.4,76.5,90.7,84,84.9,75.8,10.9,7.63,6.53,33.6,47.1,12.4,40787,46168,-5382,1502,219,1283,1462,2665,-1203,-5302,AAPL,-1.57,-0.99,1.5,超買,超買,外資大賣,⚠️ 超買-注意回檔,減碼/設停利,高
2330,台積電,市,10月30日,1505,0,0,30058,45379,1505,1515,1520,1500,1.33,26.7,8.52,77.8,75.2,83,70.9,69.6,95.1,86.6,88.2,81.5,54.8,56.5,-3.43,45.4,46,18.7,16749,18662,-1913,173,344,-171,660,738,-78,-2162,NVDA/AAPL/AMD,-1.57,-0.99,3,偏高,超買,外資賣超,✅ 偏多-續強,持有/加碼,低
2308,台達電,市,10月30日,1010,-50,-4.72,23687,24174,1060,1070,1070,1005,6.13,52.5,10.9,59.4,68.3,41.6,44.2,56.6,89.6,88.1,93.3,87,55.7,60.2,-8.98,59.6,32.9,14,5170,13002,-7832,71,1424,-1353,1601,2009,-409,-9594,TSLA,-1.57,-0.99,4,中性,中性,外資大賣,➡️ 中性觀察,中性觀望,低
2454,聯發科,市,10月30日,1310,10,0.77,5817,7633,1300,1305,1325,1300,1.92,19.6,5.55,31.3,37,19.9,44.5,43.7,39.7,44.4,48.6,54.7,-17.5,-18.9,2.77,14.1,18.4,23.8,4287,3349,939,30,128,-98,148,70,78,919,QCOM,-1.57,-0.99,5.5,中性,中性,外資買超,➡️ 偏弱-等待,等待訊號,中
3231,緯創,市,10月30日,155,2.5,1.64,76209,11737,152.5,154,156.5,151,3.61,21.2,3.26,81.5,66.3,112,81.2,72.2,72.3,69,78,70.7,5.62,5.46,0.32,38.2,37.7,13,32667,18327,14339,486,663,-177,1604,1234,370,14532,AAPL/SMCI,-1.57,-0.99,3.5,超買,超買,外資大買,⚠️ 超買-注意回檔,減碼/設停利,高
3491,昇達科,櫃,10月30日,422.5,-6,-1.4,1660,701,428.5,432,433,417.5,3.62,54.7,11.28,22.3,35.6,-4.22,29.3,41,48.1,54.6,61.7,62.9,1.96,6.97,-10,26,15,22,483,295,188,1,464,-463,17,69,-52,-327,-,-1.57,-0.99,6.5,偏低,超賣,法人中性,💡 超賣-觀察反彈,觀察進場點,中
3008,大立光,市,10月30日,2210,-10,-0.45,555,1228,2220,2230,2250,2195,2.48,12.9,1.66,22,26.4,13.2,33.9,38.6,37,41.6,34.4,43.8,-35.1,-27.8,-14.6,14.1,19.4,27.4,235,417,-182,1,1,0,11,10,0,-182,AAPL,-1.57,-0.99,5.8,偏低,偏低,法人中性,💡 超賣-觀察反彈,觀察進場點,中
3443,創意,市,10月30日,1440,-30,-2.04,3036,4366,1470,1480,1480,1415,4.42,53.2,17.86,28.4,47.9,-10.7,33.4,46.3,54,57.1,65.2,57.6,48.5,59,-20.9,31.2,30.2,26.5,1200,832,367,1,114,-113,64,134,-70,185,NVDA/AMD,-1.57,-0.99,5.8,偏低,偏低,法人中性,💡 超賣-觀察反彈,觀察進場點,中
3661,世芯-KY,市,10月30日,3355,105,3.23,2715,8999,3250,3315,3380,3195,5.69,42.3,7.73,59.9,45.6,88.5,63.2,51.9,46.6,49.5,53.4,55.5,-114,-136,43.7,20.8,26.4,25.7,897,835,62,217,10,207,118,54,63,333,NVDA/AMD,-1.57,-0.99,4.7,中性,偏高,法人中性,➡️ 中性觀察,中性觀望,低
2301,光寶科,市,10月30日,181,-14,-7.18,106014,18962,195,185,186,175.5,5.38,28.8,4.91,71.4,67,80.3,55.7,58.3,79.3,77,89.6,78.9,6.66,5.56,2.18,31.3,32.3,19.8,22275,40362,-18087,1393,3105,-1712,2095,4375,-2281,-22080,AAPL,-1.57,-0.99,3.5,偏高,中性,外資大賣,✅ 偏多-續強,持有/加碼,低
