代號,名稱,成交,漲跌幅,K值(日),D值(日),RSI6(日),外資買賣超張數,投信買賣超張數,美股連動,技術面評分,10/31預判,操作建議,風險等級
"=""2317""",鴻海,262.0,0.77,92.2,87.2,85.4,-5382.0,1283.0,AAPL,1.5,⚠️ 超買-注意回檔,減碼/設停利,高
"=""2330""",台積電,1505.0,0.0,77.8,75.2,70.9,-1913.0,-171.0,NVDA/AAPL/AMD,3.0,✅ 偏多-續強,持有/加碼,低
"=""2308""",台達電,1010.0,-4.72,59.4,68.3,44.2,-7832.0,-1353.0,TSLA,4.0,➡️ 中性觀察,中性觀望,低
"=""2454""",聯發科,1310.0,0.77,31.3,37.0,44.5,939.0,-98.0,QCOM,5.5,➡️ 偏弱-等待,等待訊號,中
"=""3231""",緯創,155.0,1.64,81.5,66.3,81.2,14339.0,-177.0,AAPL/SMCI,3.5,⚠️ 超買-注意回檔,減碼/設停利,高
"=""3491""",昇達科,422.5,-1.4,22.3,35.6,29.3,188.0,-463.0,-,6.5,💡 超賣-觀察反彈,觀察進場點,中
"=""3008""",大立光,2210.0,-0.45,22.0,26.4,33.9,-182.0,0.0,AAPL,5.8,💡 超賣-觀察反彈,觀察進場點,中
"=""3443""",創意,1440.0,-2.04,28.4,47.9,33.4,367.0,-113.0,NVDA/AMD,5.8,💡 超賣-觀察反彈,觀察進場點,中
"=""3661""",世芯-KY,3355.0,3.23,59.9,45.6,63.2,62.0,207.0,NVDA/AMD,4.7,➡️ 中性觀察,中性觀望,低
"=""2301""",光寶科,181.0,-7.18,71.4,67.0,55.7,-18087.0,-1712.0,AAPL,3.5,✅ 偏多-續強,持有/加碼,低
"=""4967""",十銓,128.0,1.59,46.0,63.5,56.6,-147.0,0.0,MU,5.0,➡️ 中性觀察,中性觀望,低
"=""2344""",華邦電,55.2,2.22,89.3,86.1,87.5,-2422.0,-346.0,MU,1.5,⚠️ 超買-注意回檔,減碼/設停利,高
"=""3711""",日月光投控,225.0,1.81,92.2,88.8,89.0,8340.0,-652.0,NVDA/AMD,3.5,⚠️ 超買-注意回檔,減碼/設停利,高
"=""2882""",國泰金,64.6,-0.31,18.6,23.6,28.4,2113.0,-3178.0,-,8.5,💡 超賣-觀察反彈,觀察進場點,中
"=""2891""",中信金,41.95,-0.12,17.3,24.3,39.5,-701.0,-4513.0,-,6.3,💡 超賣-觀察反彈,觀察進場點,中
"=""2884""",玉山金,29.8,-1.32,11.6,20.8,16.8,-40246.0,-2951.0,-,6.5,💡 超賣-觀察反彈,觀察進場點,中
"=""2880""",華南金,29.3,-0.85,37.2,55.4,33.0,965.0,-50.0,-,5.8,➡️ 偏弱-等待,等待訊號,中
"=""0050""",元大台灣50,64.4,0.0,88.3,86.8,71.8,-25853.0,0.0,-,1.5,⚠️ 超買-注意回檔,減碼/設停利,高
"=""00878""",國泰永續高股息,21.75,-0.05,79.5,74.9,74.0,-2386.0,0.0,-,2.5,✅ 偏多-續強,持有/加碼,低
"=""006208""",富邦台50,150.9,-0.03,88.4,86.3,72.7,-296.0,-65.0,-,2.5,⚠️ 超買-注意回檔,減碼/設停利,高
