"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","262","+2","+0.77","10/30","-5,382","-3,611","+16,627","+29,271","+156,847","+152,183","+863,538","+1,005,919","+64,129","-499,987","-1,569,515","+404,928"
="2330","台積電","1505","0","0","10/30","-1,913","+4,296","-4,002","-11,514","-40,608","-68,031","-20,258","+328,170","-13,952","+763,444","-783,721","+37,782"
="2308","台達電","1010","-50","-4.72","10/30","-7,832","-11,684","-12,776","-7,840","-6,752","-12,233","-43,792","+25,133","+561","+1,196","-117,762","-17,969"
="2454","聯發科","1310","+10","+0.77","10/30","+939","-1,458","-2,703","-5,431","-5,561","-18,318","-32,896","-17,557","-22,488","-45,032","+1,529","-27,313"
="3231","緯創","155","+2.5","+1.64","10/30","+14,339","+18,927","+16,086","+4,821","-67,260","-50,964","+31,863","+117,941","+43,042","-46,399","-29,299","+17,311"
="3491","昇達科","422.5","-6","-1.4","10/30","+188","+191","-277","-514","+349","+2,045","+3,718","+82","+1,121","+5,798","+8,428","+1,365"
="3008","大立光","2210","-10","-0.45","10/30","-182","-259","-457","-649","-514","-594","-1,098","-2,800","-2,333","-5,123","-21,417","-1,160"
="3443","創意","1440","-30","-2.04","10/30","+367","+342","+459","-49","+1,933","+7,007","+7,208","+6,134","+7,397","-7,450","+28,772","+7,400"
="3661","世芯-KY","3355","+105","+3.23","10/30","+62","+382","+210","+61","-815","-1,155","-3,874","-976","+3,738","+427","+4,062","-5,237"
="2301","光寶科","181","-14","-7.18","10/30","-18,087","-13,182","-19,106","-12,487","-20,428","-41,551","-53,643","+29,603","+93,555","-360,533","-366,803","+73,580"
="4967","十銓","128","+2","+1.59","10/30","-147","-205","-402","-351","+2,128","+9,091","+8,396","+9,077","+7,823","+5,101","","+8,541"
="2344","華邦電","55.2","+1.2","+2.22","10/30","-2,422","+8,299","+532","+42,528","+120,516","+97,661","+424,048","+513,219","+386,348","-88,144","+312,417","+419,476"
="3711","日月光投控","225","+4","+1.81","10/30","+8,340","+11,650","+17,335","+27,494","+62,733","+86,695","+90,078","+106,795","+66,938","+172,924","","+58,472"
="2882","國泰金","64.6","-0.2","-0.31","10/30","+2,113","+5,142","-4,769","-1,383","+4,931","+31,713","+76,772","-1,001,003","-1,034,001","-292,213","-979,057","-1,095,215"
="2891","中信金","41.95","-0.05","-0.12","10/30","-701","+1,110","-23,883","-12,705","-18,066","-37,744","-66,074","+42,723","+233,002","-1,392,437","-1,648,943","+9,425"
="2884","玉山金","29.8","-0.4","-1.32","10/30","-40,246","-40,876","-113,027","-218,199","-212,371","-208,327","-147,251","+249,645","+506,321","+204,457","-2,505,737","+408,607"
="2880","華南金","29.3","-0.25","-0.85","10/30","+965","+4,389","+5,591","+10,100","+24,000","+33,024","+59,551","+152,602","-6,820","-8,618","+57,863","+140,855"
="0050","元大台灣50","64.4","0","0","10/30","-25,853","-30,270","-77,117","-188,669","-448,906","-764,839","-1,155,076","-1,649,102","-2,251,195","-2,072,960","-2,500,723","-2,157,572"
="00878","國泰永續高股息","21.75","-0.01","-0.05","10/30","-2,386","+10,776","+10,093","+19,640","+56,678","+108,266","+253,364","+202,270","-513,896","-1,569,381","","-148,263"
="006208","富邦台50","150.9","-0.05","-0.03","10/30","-296","+268","-481","-2,130","-9,458","-11,166","+16,107","+126,527","+12,161","-117,922","-185,253","+70,380"
