"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度"
="2317","鴻海","10/30","262","+2","+0.77","年","4.44","4","4.5","2","4","4.2","4","5.2","5.3","5.4","5.8"
="2330","台積電","10/30","1505","0","0","季","11.05","6","7","8","12.5","10","10.5","11","11.5","15","19"
="2308","台達電","10/30","1010","-50","-4.72","年","5.927","5","5","5","5","5","5.5","5.5","9.84","6.43","7"
="2454","聯發科","10/30","1310","+10","+0.77","半年","34.5","11","9.5","10","9","10.5","37","73","76.01","55.01","54"
="3231","緯創","10/30","155","+2.5","+1.64","年","2.048","1.197","1.184","1.169","1.488","2.042","2.2","2.2","2.599","2.599","3.799"
="3491","昇達科","10/30","422.5","-6","-1.4","年","3.984","4.3","4","3.85","3.397","3.996","2.5","4","3.957","3.351","6.489"
="3008","大立光","10/30","2210","-10","-0.45","半年","78.67","63.5","63.5","72.5","68","79","91.5","109.7","72.5","81","85.5"
="3443","創意","10/30","1440","-30","-2.04","年","7.75","3","3.5","5","5","5","5","7","14","14","16"
="3661","世芯-KY","10/30","3355","+105","+3.23","年","9.653","0.474","0","1.067","1.53","3.451","6.689","11.35","13.06","22.42","36.48"
="2301","光寶科","10/30","181","-14","-7.18","季","3.756","2.186","2.92","2.92","2.92","3.2","5.4","4","5","4.506","4.507"
="4967","十銓","10/30","128","+2","+1.59","年","1.044","0","0","1","2","0.928","0.862","0","1","1.651","3"
="2344","華邦電","10/30","55.2","+1.2","+2.22","半年","0.5","0.1","0.6","1","1","0.1","0.2","1","1","0","0"
="3711","日月光投控","10/30","225","+4","+1.81","年","4.684","","","2.499","2.499","1.998","4.191","6.996","8.793","5.202","5.296"
="2882","國泰金","10/30","64.6","-0.2","-0.31","年","2.24","2","2","2.5","1.5","2","2.5","3.5","0.9","2","3.5"
="2891","中信金","10/30","41.95","-0.05","-0.12","年","1.229","0.81","1","1.08","1","1","1.05","1.25","1","1.8","2.3"
="2884","玉山金","10/30","29.8","-0.4","-1.32","年","0.69","0.43","0.491","0.613","0.71","0.791","0.61","0.67","0.189","1.2","1.2"
="2880","華南金","10/30","29.3","-0.25","-0.85","年","0.702","0.63","0.7","0.5","0.545","0.56","0.265","0.78","0.59","1.2","1.25"
="0050","元大台灣50","10/30","64.4","0","0","半年","3.271","0.85","2.4","2.9","3","3.6","3.4","5","4.5","4","3.06"
="00878","國泰永續高股息","10/30","21.75","-0.01","-0.05","季","1.138","","","","","0.05","0.98","1.18","1.24","2.01","1.37"
="006208","富邦台50","10/30","150.9","-0.05","-0.03","半年","1.788","0.043","2.65","2.65","1.799","1.62","1.955","2.278","2.213","1.683","0.989"
