代號,名稱,市場,股價日期,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,K值(日),D值(日),J值(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),ADX(日),ADXR(日),5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,外資買賣超張數,投信買賣超張數,合計買賣超張數,投信5日累計,投信10日累計,投信1月累計,外資5日累計,外資10日累計,外資1月累計,美股連動標的,主要美股影響,美股Nasdaq,美股S&P500,KD狀態,RSI狀態,技術面評分,外資動向,投信動向,籌碼面評分,11/3預測,預測理由,操作建議,風險等級,推薦評等,目標價區間,綜合評分,投資評等,投資觀點,報告日期,數據日期,分析師
"=""2317""",鴻海,市,10/31,257.5,-4.5,-1.72,63120.0,16335.0,262.0,261.0,262.0,257.0,1.91,19.6,2.45,87.8,87.4,88.8,73.0,70.7,11.4,8.39,6.09,35.3,31.2,255.2,246.2,232.8,215.6,188.1,180.9,-8051.0,-2175.0,-11153.0,-267.0,-4082.0,-10960.0,24325.0,92857.0,132396.0,AAPL,蘋果-0.38%,+0.61%,+0.26%,超買,超買,1.5,大賣,大賣,3,高檔震盪回檔,K值87.8極度超買,不追高，設停利,高,⚠️⚠️⚠️,$244.6-$254.9,2.4,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""2330""",台積電,市,10/31,1500.0,-5.0,-0.33,33839.0,51074.0,1505.0,1515.0,1525.0,1500.0,1.66,26.6,8.49,75.9,75.5,76.9,67.0,68.0,53.9,56.0,-4.12,45.2,46.7,1493.0,1478.0,1448.0,1289.0,1172.0,1094.0,-7726.0,292.0,-4376.0,253.0,4308.0,6293.0,-10749.0,-41351.0,-84205.0,NVDA/AAPL,輝達-0.16%,+0.61%,+0.26%,偏高,中性,4.0,大賣,中性,3,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$1470.0-$1500.0,3.4,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""2308""",台達電,市,10/31,995.0,-15.0,-1.49,21050.0,21028.0,1010.0,1000.0,1015.0,990.0,2.48,51.7,10.74,42.6,59.7,8.41,39.3,53.3,49.8,58.1,-16.6,57.6,55.4,1042.0,1027.0,1000.0,827.9,631.4,509.3,-4438.0,-1409.0,-6934.0,-2120.0,-3523.0,-3313.0,-12017.0,-12493.0,-17977.0,TSLA,特斯拉+3.74%,+0.61%,+0.26%,中性,中性,5.0,賣超,大賣,4,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$975.1-$995.0,4.4,C,觀望,2025-11-03,2025-10-31,AI專業經理人
"=""2454""",聯發科,市,10/31,1310.0,0.0,0.0,7731.0,10087.0,1310.0,1300.0,1325.0,1290.0,2.67,19.6,5.55,31.1,35.1,23.3,44.5,43.7,-17.4,-18.6,2.47,14.4,18.5,1314.0,1320.0,1318.0,1372.0,1348.0,1372.0,-1040.0,-104.0,-733.0,-12.0,-1392.0,-3341.0,-2971.0,-7452.0,-15781.0,AMD,AMD+0.50%,+0.61%,+0.26%,中性,中性,5.0,賣超,中性,4,震盪觀察,無明顯方向,觀望,中,⭐⭐,$1296.9-$1323.1,4.4,C,觀望,2025-11-03,2025-10-31,AI專業經理人
"=""3231""",緯創,市,10/31,150.5,-4.5,-2.9,59060.0,8968.0,155.0,155.5,155.5,149.0,4.19,20.6,3.16,76.3,69.7,89.5,60.9,62.9,5.64,5.5,0.28,38.4,41.6,150.5,146.0,146.4,127.8,122.4,114.9,-8386.0,-3984.0,-13635.0,-117.0,10430.0,20974.0,5272.0,-56487.0,-74345.0,AMZN,亞馬遜+9.58%,+0.61%,+0.26%,偏高,中性,4.0,大賣,大賣,3,強力反彈,AMZN+9.58%超級利多,積極進場$151-153,中,⭐⭐⭐⭐⭐,$155-$158,3.4,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""3491""",昇達科,櫃,10/31,440.0,17.5,4.14,2705.0,1191.0,422.5,429.5,452.0,425.5,6.27,57.0,11.75,29.3,33.5,20.9,49.3,49.5,1.53,5.88,-8.71,24.3,36.4,434.1,444.2,447.2,413.2,376.0,376.1,498.0,0.0,680.0,-964.0,-1009.0,-1458.0,191.0,430.0,2345.0,-,-,+0.61%,+0.26%,偏低,中性,6.0,中性,中性,5,震盪觀察,無明顯方向,觀望,中,⭐⭐,$435.6-$444.4,5.4,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""3008""",大立光,市,10/31,2215.0,5.0,0.23,475.0,1058.0,2210.0,2230.0,2255.0,2215.0,1.81,13.0,1.66,20.5,24.4,12.6,36.3,39.5,-35.3,-29.3,-12.1,14.2,14.8,2223.0,2237.0,2298.0,2343.0,2327.0,2407.0,116.0,1.0,130.0,2.0,-1.0,-38.0,-483.0,-351.0,-572.0,-,-,+0.61%,+0.26%,偏低,中性,6.0,中性,中性,5,震盪觀察,無明顯方向,觀望,中,⭐⭐,$2192.8-$2237.2,5.4,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""3443""",創意,市,10/31,1530.0,90.0,6.25,7122.0,10895.0,1440.0,1475.0,1575.0,1470.0,7.29,56.6,18.98,31.9,42.5,10.6,53.1,55.5,46.0,56.4,-20.9,30.5,26.3,1504.0,1550.0,1493.0,1357.0,1268.0,1245.0,89.0,100.0,407.0,-1010.0,-898.0,-484.0,-225.0,1901.0,6711.0,NVDA,輝達-0.16%,+0.61%,+0.26%,中性,中性,5.0,中性,中性,5,獲利了結壓力,昨日大漲6.25%,觀察回檔再進,中高,⚠️⚠️,$1484.1-$1560.6,5.0,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""3661""",世芯-KY,市,10/31,3495.0,140.0,4.17,3075.0,10711.0,3355.0,3500.0,3535.0,3415.0,3.58,44.0,8.05,70.7,54.0,104.0,71.4,57.6,-85.2,-126.0,81.3,20.3,19.4,3246.0,3228.0,3265.0,3653.0,3390.0,3080.0,-128.0,381.0,260.0,373.0,278.0,-726.0,-140.0,-869.0,-1304.0,NVDA,輝達-0.16%,+0.61%,+0.26%,偏高,超買,2.5,中性,買超,5,震盪觀察,無明顯方向,觀望,中,⭐⭐,$3460.1-$3529.9,4.0,C,觀望,2025-11-03,2025-10-31,AI專業經理人
"=""2301""",光寶科,市,10/31,179.5,-1.5,-0.83,45567.0,8077.0,181.0,179.0,181.5,173.5,4.42,28.6,4.87,64.8,66.3,61.8,53.2,56.9,6.33,5.72,1.23,30.5,33.9,185.2,176.0,172.3,153.4,131.8,116.8,-7594.0,-1226.0,-7203.0,-969.0,-9199.0,-11819.0,-23192.0,-20502.0,-47740.0,AAPL,蘋果-0.38%,+0.61%,+0.26%,中性,中性,5.0,大賣,大賣,3,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$175.9-$179.5,3.8,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""4967""",十銓,市,10/31,135.0,7.0,5.47,3831.0,506.0,128.0,129.0,135.0,128.5,5.08,56.5,2.99,58.2,61.7,51.2,68.5,71.5,11.3,11.6,-0.77,58.6,49.0,131.2,129.7,119.3,91.17,82.41,82.33,-261.0,0.0,-178.0,57.0,280.0,422.0,-754.0,520.0,8669.0,-,-,+0.61%,+0.26%,中性,中性,5.0,中性,中性,5,獲利了結壓力,昨日大漲5.47%,觀察回檔再進,中高,⚠️⚠️,$130.9-$137.7,5.0,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""2344""",華邦電,市,10/31,54.2,-1.0,-1.81,57762.0,3132.0,55.2,55.2,55.2,53.5,3.08,,2.78,85.9,86.0,85.6,78.5,77.5,5.94,5.32,1.23,63.3,62.8,53.66,49.5,44.93,30.48,24.41,20.51,-6317.0,-2842.0,-895.0,-5228.0,-2234.0,25283.0,21867.0,48803.0,116805.0,NVDA,輝達-0.16%,+0.61%,+0.26%,超買,超買,1.5,大賣,大賣,3,高檔震盪回檔,K值85.9極度超買,不追高，設停利,高,⚠️⚠️⚠️,$51.5-$53.7,2.4,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""3711""",日月光投控,市,10/31,247.5,22.5,10.0,54453.0,13230.0,225.0,225.5,247.5,225.0,10.0,31.4,3.66,94.8,90.8,103.0,93.7,87.4,14.9,10.2,9.41,45.5,38.1,219.8,207.9,190.6,168.5,157.5,156.8,10381.0,-260.0,8972.0,-1860.0,99.0,-4227.0,32214.0,57355.0,96071.0,NVDA/AMD,輝達-0.16%,+0.61%,+0.26%,超買,超買,1.5,大買,中性,7,高檔震盪回檔,K值94.8極度超買,不追高，設停利,高,⚠️⚠️⚠️,$235.1-$245.0,4.8,C,觀望,2025-11-03,2025-10-31,AI專業經理人
"=""2882""",國泰金,市,10/31,64.0,-0.6,-0.93,17342.0,1113.0,64.6,65.2,65.2,64.0,1.86,11.1,1.36,12.4,19.9,-2.63,20.2,36.4,-0.04,0.17,-0.42,18.9,20.9,64.78,65.15,65.33,64.61,64.01,64.39,-6148.0,-560.0,-5890.0,-3409.0,-9403.0,-21315.0,-9129.0,-2806.0,19313.0,-,-,+0.61%,+0.26%,超賣,超賣,8.5,大賣,賣超,3,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$62.7-$64.0,5.2,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""2891""",中信金,市,10/31,41.85,-0.1,-0.24,27209.0,1142.0,41.95,42.2,42.2,41.85,0.83,11.6,1.9,13.8,20.8,-0.16,36.6,40.9,-0.16,-0.1,-0.13,9.17,12.2,42.07,42.16,42.35,42.52,42.56,40.75,-3891.0,2340.0,-1288.0,-7025.0,-35400.0,-62258.0,-14381.0,-18349.0,-42865.0,-,-,+0.61%,+0.26%,超賣,中性,7.0,賣超,大買,4,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$41.0-$41.9,5.2,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""2884""",玉山金,市,10/31,29.75,-0.05,-0.17,95362.0,2831.0,29.8,29.7,29.9,29.55,1.17,15.9,1.92,9.86,17.1,-4.69,16.4,22.8,-0.83,-0.53,-0.59,42.0,30.0,30.01,31.26,32.04,33.07,32.55,30.33,-3635.0,1451.0,-2317.0,-11255.0,-21201.0,-31883.0,-228562.0,-199307.0,-216686.0,-,-,+0.61%,+0.26%,超賣,超賣,8.5,賣超,大買,4,續弱整理,外資持續賣超,觀望，等止跌,中高,⚠️⚠️,$29.2-$29.8,5.8,B,中性,2025-11-03,2025-10-31,AI專業經理人
"=""2880""",華南金,市,10/31,29.2,-0.1,-0.34,9426.0,276.0,29.3,29.65,29.7,29.15,1.88,17.2,1.87,26.7,45.9,-11.5,29.1,42.4,0.1,0.15,-0.1,13.5,17.8,29.45,29.6,29.48,29.08,28.34,27.66,2023.0,-58.0,1459.0,-1150.0,-3505.0,-1426.0,8691.0,22813.0,35185.0,-,-,+0.61%,+0.26%,偏低,超賣,7.5,買超,中性,6,超賣反彈,K26.7超賣+外資買超,分批進場,中,⭐⭐⭐⭐,$29.5-$30.1,6.6,A,推薦,2025-11-03,2025-10-31,AI專業經理人
"=""0050""",元大台灣50,市,10/31,64.75,0.35,0.54,55957.0,3617.0,64.4,64.6,64.8,64.4,0.62,,1.0108,91.7,88.4,98.2,74.6,72.7,1.83,1.77,0.12,37.7,37.8,64.14,63.41,62.12,56.76,81.23,134.4,-6054.0,-152.0,-16028.0,8948.0,15854.0,29239.0,-88976.0,-439622.0,-753865.0,-,-,+0.61%,+0.26%,超買,超買,1.5,大賣,中性,3,高檔震盪回檔,K值91.7極度超買,不追高，設停利,高,⚠️⚠️⚠️,$61.5-$64.1,2.4,D,不建議,2025-11-03,2025-10-31,AI專業經理人
"=""00878""",國泰永續高股息,市,10/31,21.72,-0.03,-0.14,27283.0,593.0,21.75,21.75,21.75,21.69,0.28,,0.9982,77.1,75.6,80.1,68.3,66.8,0.16,0.15,0.03,25.4,25.5,21.72,21.6,21.46,21.08,20.98,21.37,466.0,0.0,3220.0,560.0,560.0,560.0,20277.0,48997.0,99448.0,-,-,+0.61%,+0.26%,偏高,中性,4.0,中性,中性,5,震盪觀察,無明顯方向,觀望,中,⭐⭐,$21.5-$21.9,4.6,C,觀望,2025-11-03,2025-10-31,AI專業經理人
"=""006208""",富邦台50,市,10/31,151.8,0.9,0.6,3745.0,567.0,150.9,151.1,151.9,150.95,0.63,,1.0102,91.8,88.1,99.2,75.6,73.2,4.64,4.56,0.17,45.3,46.5,150.3,148.4,145.2,132.7,122.3,115.7,157.0,-200.0,-176.0,-445.0,-445.0,-256.0,-547.0,-9001.0,-11172.0,-,-,+0.61%,+0.26%,超買,超買,1.5,中性,中性,5,高檔震盪回檔,K值91.8極度超買,不追高，設停利,高,⚠️⚠️⚠️,$144.2-$150.3,3.6,D,不建議,2025-11-03,2025-10-31,AI專業經理人
