"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","257.5","-4.5","-1.72","10/31","-2,175","-893","+1","-267","-4,082","-10,960","+21,892","+94,128","-650","+91,745","+211,789","+96,155"
="2330","台積電","1500","-5","-0.33","10/31","+292","+121","+342","+253","+4,308","+6,293","-1,061","-3,959","+27,569","+62,842","+135,028","+17,308"
="2308","台達電","995","-15","-1.49","10/31","-1,409","-2,762","-2,560","-2,120","-3,523","-3,313","-325","+12,463","+7,190","+2,387","+40,148","+8,579"
="2454","聯發科","1310","0","0","10/31","-104","-202","-413","-12","-1,392","-3,341","-7,718","-61,777","-58,811","+9,996","+42,467","-56,242"
="3231","緯創","150.5","-4.5","-2.9","10/31","-3,984","-4,161","-2,778","-117","+10,430","+20,974","-16,098","+27,590","+70,607","+133,058","+104,061","+81,404"
="3491","昇達科","440","+17.5","+4.14","10/31","0","-463","-562","-964","-1,009","-1,458","-1,027","-3,387","-1,315","+2,924","-419","-1,792"
="3008","大立光","2215","+5","+0.23","10/31","+1","+1","+1","+2","-1","-38","-451","-720","-1,075","-212","-1,612","-2,393"
="3443","創意","1530","+90","+6.25","10/31","+100","-13","-114","-1,010","-898","-484","-490","-1,876","-298","-10,097","+4,582","-2,787"
="3661","世芯-KY","3495","+140","+4.17","10/31","+381","+588","+421","+373","+278","-726","-2,393","+275","+2,423","-4,435","+5,429","+1,010"
="2301","光寶科","179.5","-1.5","-0.83","10/31","-1,226","-2,938","-2,351","-969","-9,199","-11,819","+12,530","-2,592","-19,332","+48,258","+193,190","-528"
="4967","十銓","135","+7","+5.47","10/31","0","0","0","+57","+280","+422","+422","+422","+422","+340","","+422"
="2344","華邦電","54.2","-1","-1.81","10/31","-2,842","-3,188","-5,272","-5,228","-2,234","+25,283","+169,714","+178,829","+173,684","+179,326","+180,628","+179,857"
="3711","日月光投控","247.5","+22.5","+10","10/31","-260","-912","-1,304","-1,860","+99","-4,227","-8,559","-103,653","-154,545","+160,894","","-112,937"
="2882","國泰金","64","-0.6","-0.93","10/31","-560","-3,739","-3,753","-3,409","-9,403","-21,315","+29,510","+1,458,749","+1,473,322","+1,664,600","+1,740,912","+1,460,771"
="2891","中信金","41.85","-0.1","-0.24","10/31","+2,340","-2,173","-2,007","-7,025","-35,400","-62,258","+28,850","+809,358","+1,066,940","+2,735,457","+2,918,069","+995,698"
="2884","玉山金","29.75","-0.05","-0.17","10/31","+1,451","-1,500","-4,957","-11,255","-21,201","-31,883","-37,142","-21,066","-131,363","+282,203","+325,087","+60,752"
="2880","華南金","29.2","-0.1","-0.34","10/31","-58","-108","-90","-1,150","-3,505","-1,426","+33,625","-114,906","+198,134","+480,966","+518,723","-15,751"
="0050","元大台灣50","64.75","+0.35","+0.54","10/31","-152","-152","+1,248","+8,948","+15,854","+29,239","-16,190","+4,273","+38,267","+98,809","+139,050","+25,352"
="00878","國泰永續高股息","21.72","-0.03","-0.14","10/31","0","0","+560","+560","+560","+560","+7,170","+7,217","+15,060","+25,316","","+11,030"
="006208","富邦台50","151.8","+0.9","+0.6","10/31","-200","-265","-265","-445","-445","-256","-729","+4,248","+8,845","+9,756","+9,756","+8,446"
