"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","257.5","-4.5","-1.72","10/31","-8,051","-13,433","-11,663","+24,325","+92,857","+132,396","+844,908","+975,959","+56,077","-495,950","-1,577,567","+396,876"
="2330","台積電","1500","-5","-0.33","10/31","-7,726","-9,639","-3,430","-10,749","-41,351","-84,205","-24,192","+294,732","-21,678","+757,889","-791,447","+30,056"
="2308","台達電","995","-15","-1.49","10/31","-4,438","-12,270","-16,122","-12,017","-12,493","-17,977","-50,326","+18,446","-3,877","-2,999","-122,199","-22,407"
="2454","聯發科","1310","0","0","10/31","-1,040","-102","-2,498","-2,971","-7,452","-15,781","-31,882","-12,349","-23,528","-45,241","+489","-28,353"
="3231","緯創","150.5","-4.5","-2.9","10/31","-8,386","+5,954","+10,541","+5,272","-56,487","-74,345","+21,194","+98,161","+34,657","-54,767","-37,684","+8,926"
="3491","昇達科","440","+17.5","+4.14","10/31","+498","+686","+689","+191","+430","+2,345","+3,611","+22","+1,619","+7,178","+8,926","+1,863"
="3008","大立光","2215","+5","+0.23","10/31","+116","-67","-144","-483","-351","-572","-967","-2,606","-2,217","-5,034","-21,301","-1,045"
="3443","創意","1530","+90","+6.25","10/31","+89","+456","+431","-225","+1,901","+6,711","+6,865","+6,446","+7,486","-7,544","+28,861","+7,489"
="3661","世芯-KY","3495","+140","+4.17","10/31","-128","-66","+254","-140","-869","-1,304","-4,066","-1,802","+3,610","+52","+3,934","-5,365"
="2301","光寶科","179.5","-1.5","-0.83","10/31","-7,594","-25,681","-20,776","-23,192","-20,502","-47,740","-55,812","+21,849","+85,961","-370,066","-374,397","+65,986"
="4967","十銓","135","+7","+5.47","10/31","-261","-408","-466","-754","+520","+8,669","+7,985","+8,633","+7,562","+4,811","","+8,280"
="2344","華邦電","54.2","-1","-1.81","10/31","-6,317","-8,739","+1,982","+21,867","+48,803","+116,805","+417,961","+500,887","+380,031","-94,930","+306,100","+413,159"
="3711","日月光投控","247.5","+22.5","+10","10/31","+10,381","+18,721","+22,030","+32,214","+57,355","+96,071","+122,447","+115,112","+77,319","+183,327","","+68,853"
="2882","國泰金","64","-0.6","-0.93","10/31","-6,148","-4,036","-1,007","-9,129","-2,806","+19,313","+74,181","-1,001,186","-1,040,149","-297,097","-985,206","-1,101,363"
="2891","中信金","41.85","-0.1","-0.24","10/31","-3,891","-4,592","-2,782","-14,381","-18,349","-42,865","-74,775","-10,848","+229,111","-1,406,776","-1,652,835","+5,533"
="2884","玉山金","29.75","-0.05","-0.17","10/31","-3,635","-43,881","-44,511","-228,562","-199,307","-216,686","-153,517","+250,517","+502,686","+203,054","-2,509,372","+404,971"
="2880","華南金","29.2","-0.1","-0.34","10/31","+2,023","+2,988","+6,411","+8,691","+22,813","+35,185","+62,523","+155,610","-4,797","-8,777","+59,885","+142,878"
="0050","元大台灣50","64.75","+0.35","+0.54","10/31","-6,054","-31,907","-36,324","-88,976","-439,622","-753,865","-1,109,939","-1,654,932","-2,257,249","-2,075,445","-2,506,778","-2,163,626"
="00878","國泰永續高股息","21.72","-0.03","-0.14","10/31","+466","-1,921","+11,242","+20,277","+48,997","+99,448","+261,305","+219,655","-513,431","-1,563,694","","-147,797"
="006208","富邦台50","151.8","+0.9","+0.6","10/31","+157","-139","+425","-547","-9,001","-11,172","+16,244","+125,441","+12,318","-117,729","-185,096","+70,536"
