代號,名稱,11/3收盤,漲跌幅,RSI(日),K值(日),D值(日),MACD_DIF,MACD_OSC,5日均線,20日均線,60日均線,外資當日,外資5日,投信當日,投信5日,布林上軌,布林下軌,布林%b,技術面狀態,關鍵支撐,關鍵壓力,11/4預測漲跌,11/4預測區間_低,11/4預測區間_高,11/4操作建議,積極度
2317,鴻海,251.5,-2.33,59.2,76.1,83.6,11.2,4.56,256.2,234.4,216.7,-2782,5793,-3316,-4154,267.4,201.5,0.76,高檔震盪,245,260,續跌,245,255,暫時觀望,★
2330,台積電,1510.0,0.67,70.8,78.4,76.4,52.8,-5.2,1499.0,1457.0,1295.0,3528,-8200,497,1051,1533.0,1381.0,0.85,強勢整理,1480,1530,小漲,1500,1525,續抱為主,★★★★
2308,台達電,983.0,-1.21,35.5,28.7,49.4,43.8,-22.9,1025.0,1006.0,833.8,-3396,-20610,-826,-2896,1086.0,926.3,0.36,超賣反彈,960,1010,反彈,985,1005,反彈可布局,★★★
2454,聯發科,1300.0,-0.76,39.1,29.6,33.3,-17.7,1.54,1307.0,1319.0,1371.0,-2324,-6067,-223,-777,1352.0,1285.0,0.22,低檔整理,1280,1330,平盤,1290,1315,暫不進場,★
3231,緯創,143.5,-4.65,41.5,57.1,65.5,5.06,-0.69,149.9,146.2,128.1,-9409,-1709,-9775,-10638,157.8,134.7,0.38,超賣區,138,152,反彈,142,148,反彈佈局點,★★★★★
3443,創意,1580.0,3.27,60.8,39.9,41.7,48.3,-12.9,1500.0,1505.0,1361.0,251,799,389,-308,1674.0,1337.0,0.72,反彈中,1520,1620,續漲,1570,1610,持有續抱,★★★★
3661,世芯-KY,3450.0,-1.29,65.7,75.0,61.0,-63.5,99.6,3323.0,3268.0,3648.0,-360,-279,98,513,3577.0,2959.0,0.79,高檔整理,3350,3550,整理,3400,3480,暫時觀望,★★
2344,華邦電,56.6,4.43,83.4,88.4,86.8,6.1,1.24,54.8,46.07,31.13,11116,5332,-2695,-7986,57.83,34.31,0.95,超買過熱,54,59,震盪,55,58,減碼為主,★
3711,日月光投控,246.0,-0.61,90.6,93.8,91.8,17.0,11.0,228.5,194.7,170.1,3867,31583,424,-1048,242.6,146.8,1.04,超買過熱,235,255,回檔,240,248,獲利了結,★
4967,十銓,140.5,4.07,75.0,72.1,65.2,11.5,-0.26,131.9,121.9,92.27,-100,-764,-1,-1,150.7,92.99,0.82,強勁上漲,135,145,整理,138,143,持有觀察,★★
