"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","251.5","-6","-2.33","97,190","11/03","26,508","29,289","-2,782","412","3,728","-3,316","1,887","2,707","-820","28,806","35,724","-6,918","－－－"
="2330","台積電","1510","+10","+0.67","30,913","11/03","14,372","10,844","+3,528","667","170","+497","1,559","775","+783","16,598","11,790","+4,808","＋＋＋"
="2308","台達電","983","-12","-1.21","16,545","11/03","4,031","7,426","-3,396","76","902","-826","1,165","858","+308","5,272","9,186","-3,914","－－＋"
="2454","聯發科","1300","-10","-0.76","11,818","11/03","4,963","7,287","-2,324","194","418","-223","250","241","+9","5,408","7,945","-2,538","－－＋"
="3231","緯創","143.5","-7","-4.65","81,148","11/03","18,083","27,493","-9,409","360","10,135","-9,775","757","1,101","-344","19,200","38,729","-19,529","－－－"
="3491","昇達科","430.5","-9.5","-2.16","1,448","11/03","428","412","+16","0","34","-34","81","100","-19","509","546","-37","＋－－"
="3008","大立光","2245","+30","+1.35","459","11/03","236","252","-16","3","3","0","22","7","+16","261","262","-1","－－＋"
="3443","創意","1580","+50","+3.27","4,702","11/03","1,604","1,353","+251","389","0","+389","123","67","+56","2,117","1,421","+697","＋＋＋"
="3661","世芯-KY","3450","-45","-1.29","1,450","11/03","274","635","-360","99","1","+98","73","38","+35","446","674","-228","－＋＋"
="2301","光寶科","180","+0.5","+0.28","29,037","11/03","11,065","10,370","+696","44","780","-736","447","993","-546","11,556","12,142","-586","＋－－"
="4967","十銓","140.5","+5.5","+4.07","5,395","11/03","174","275","-100","0","1","-1","162","30","+132","336","306","+30","－－＋"
="2344","華邦電","56.6","+2.4","+4.43","68,488","11/03","17,136","6,020","+11,116","54","2,749","-2,695","2,238","7,635","-5,397","19,429","16,404","+3,024","＋－－"
="3711","日月光投控","246","-1.5","-0.61","40,988","11/03","20,051","16,184","+3,867","512","88","+424","908","670","+238","21,471","16,942","+4,529","＋＋＋"
="2882","國泰金","63.9","-0.1","-0.16","13,710","11/03","8,230","9,354","-1,124","128","37","+91","687","169","+518","9,045","9,560","-515","－＋＋"
="2891","中信金","42.05","+0.2","+0.48","17,951","11/03","12,572","8,326","+4,246","1,244","2,640","-1,396","1,026","988","+38","14,842","11,954","+2,888","＋－＋"
="2884","玉山金","30.15","+0.4","+1.34","60,324","11/03","35,801","29,676","+6,125","540","1,387","-847","889","636","+253","37,230","31,698","+5,531","＋－＋"
="2880","華南金","29.4","+0.2","+0.68","6,453","11/03","4,599","3,666","+933","131","145","-14","357","510","-153","5,087","4,321","+766","＋－－"
="0050","元大台灣50","64.15","-0.6","-0.93","140,157","11/03","435","57,189","-56,754","0","1,600","-1,600","9,160","55,201","-46,041","9,595","113,990","-104,395","－－－"
="00878","國泰永續高股息","21.69","-0.03","-0.14","58,562","11/03","890","11,403","-10,513","0","0","0","5,369","17,606","-12,237","6,259","29,010","-22,750","－・－"
="006208","富邦台50","150.2","-1.6","-1.05","9,582","11/03","42","4,046","-4,004","0","0","0","762","3,746","-2,984","804","7,792","-6,988","－・－"
