代號,名稱,成交,漲跌價,漲跌幅,成交張數,K值(日),D值(日),RSI6(日),RSI12(日),外資買賣超張數,5日買賣超張數,投信買賣超張數,融資增減,融券增減,券資比(%),融資融券警示,技術面綜合評分,操作建議,對應美股
2330,台積電,1505.0,-5.0,-0.33,"33,795",78.2,77.0,66.2,67.8,"+2,907","+3,004",+940,-326,+1,2.29,健康,100,🔥 強力買進⭐⭐⭐⭐⭐,"NVDA, AMD"
2891,中信金,42.4,0.35,0.83,"29,539",25.7,21.4,59.2,51.8,"+3,757","+5,221","-1,472",-55,-9,2.48,健康,100,🔥 強力買進⭐⭐⭐⭐⭐,
3661,世芯-KY,3445.0,-5.0,-0.14,"1,719",77.2,66.4,65.0,55.0,+25,-81,+94,-22,-3,1.44,健康,91,🔥 強力買進⭐⭐⭐⭐⭐,NVDA
2344,華邦電,53.3,-3.3,-5.83,"40,675",82.1,85.2,60.5,68.1,"+3,455","+16,553","-2,294","-5,080","-5,672",23.0,🚀軋空進行中 | 💔融資大減(恐慌),91,🚀 軋空行情！積極買進⭐⭐⭐⭐⭐,記憶體
2454,聯發科,1315.0,15.0,1.15,"6,296",37.7,34.7,50.1,46.1,"+2,866","-1,956",+33,-104,-18,2.66,健康,91,🔥 強力買進⭐⭐⭐⭐⭐,"AMD, QCOM"
3443,創意,1635.0,55.0,3.48,"8,101",51.5,44.9,67.8,63.9,+244,+926,+355,+143,+39,3.8,健康,86,🔥 強力買進⭐⭐⭐⭐⭐,NVDA (ASIC)
2882,國泰金,64.6,0.7,1.1,"12,223",20.5,18.4,44.5,45.2,"+2,591",+461,+449,-50,+4,7.66,健康,83,🔥 強力買進⭐⭐⭐⭐⭐,
2880,華南金,29.6,0.2,0.68,"8,385",37.8,39.4,56.4,54.8,"+2,449","+9,793",+197,-22,0,10.4,健康,78,✅ 積極買進⭐⭐⭐⭐,
3711,日月光投控,239.0,-7.0,-2.85,"38,238",89.1,90.9,76.4,77.4,"+6,114","+32,012","+1,224",-336,-119,18.7,⚠️高券資比,75,✅ 積極買進⭐⭐⭐⭐,"NVDA, AMD"
2884,玉山金,30.3,0.15,0.5,"53,164",17.4,16.4,35.7,32.6,"+11,527","-26,860",-418,-802,+6,0.52,健康,71,✅ 積極買進⭐⭐⭐⭐,
006208,富邦台50,149.75,-0.45,-0.3,"5,161",81.3,85.6,58.1,65.0,-778,"-4,358",0,+8,-2,3.5,健康,66,✅ 建議買進⭐⭐⭐,
3008,大立光,2215.0,-30.0,-1.34,304,24.6,25.3,39.6,40.9,-14,-174,+1,+8,0,1.1,健康,61,✅ 建議買進⭐⭐⭐,
0050,元大台灣50,63.95,-0.2,-0.31,"82,568",81.9,86.0,58.1,65.0,"-24,559","-117,637",-290,-173,+23,22.8,⚠️超高券資比,58,➡️ 可持有/觀望⭐⭐,
2308,台達電,975.0,-8.0,-0.81,"17,518",19.2,39.3,33.0,49.0,"-3,314","-22,832",+87,+985,+4,11.8,健康,58,➡️ 可持有/觀望⭐⭐,TSLA
3231,緯創,139.0,-4.5,-3.14,"52,505",38.1,56.3,33.3,45.8,"+2,404","+3,536","-5,804","-3,006",+16,3.0,💔融資大減(恐慌),56,➡️ 可持有/觀望⭐⭐,AMZN (AI伺服器)
3491,昇達科,420.5,-10.0,-2.32,902,20.5,27.9,34.8,41.8,-341,+364,0,+74,-16,5.37,健康,53,➡️ 可持有/觀望⭐⭐,
00878,國泰永續高股息,21.57,-0.12,-0.55,"68,775",59.1,69.3,44.7,55.7,"-28,368","-27,639",0,+160,+6,0.67,健康,51,➡️ 可持有/觀望⭐⭐,
4967,十銓,126.5,-14.0,-9.96,"16,199",49.9,60.1,46.1,56.7,"-2,408","-2,974",-1,-936,+93,15.6,⚠️高券資比,51,➡️ 可持有/觀望⭐⭐,記憶體
6669,緯穎,4300.0,-15.0,-0.35,879,85.3,85.4,76.1,76.3,+29,+15,+71,-33,-1,7.85,健康,50,➡️ 可持有/觀望⭐⭐,"AMZN, MSFT"
2301,光寶科,170.0,-10.0,-5.56,"33,297",45.6,57.8,38.2,47.9,"-3,621","-23,701",-899,-462,0,1.86,健康,44,⚠️ 觀望為主,
2408,南亞科,131.5,-5.5,-4.01,"150,824",80.0,86.0,68.6,74.1,"-8,864","-15,637",+75,"-2,536",-372,16.1,⚠️高券資比,28,❌ 建議減碼,
2317,鴻海,244.0,-7.5,-2.98,"90,514",59.5,75.6,46.1,56.1,"+4,662","-9,783",-110,"-3,739",+121,7.26,💔融資大減(恐慌),23,❌ 建議減碼,"AAPL, TSLA"
