"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","244","-7.5","-2.98","94,779","11/04","27,135","22,473","+4,662","306","416","-110","1,048","1,898","-850","28,489","24,787","+3,702","＋－－"
="2330","台積電","1505","-5","-0.33","35,335","11/04","17,937","15,030","+2,907","1,017","78","+940","1,215","1,288","-73","20,170","16,396","+3,773","＋＋－"
="2308","台達電","975","-8","-0.81","18,821","11/04","5,644","8,958","-3,314","504","417","+87","1,838","629","+1,208","7,986","10,005","-2,019","－＋＋"
="2454","聯發科","1315","+15","+1.15","6,525","11/04","5,160","2,294","+2,866","53","20","+33","102","82","+20","5,315","2,396","+2,919","＋＋＋"
="3231","緯創","139","-4.5","-3.14","53,773","11/04","20,904","18,500","+2,404","131","5,935","-5,804","614","1,210","-596","21,649","25,645","-3,996","＋－－"
="3491","昇達科","420.5","-10","-2.32","945","11/04","133","474","-341","0","0","0","59","30","+30","192","504","-311","－・＋"
="6669","緯穎","4300","-15","-0.35","934","11/04","367","337","+29","73","2","+71","12","21","-10","451","361","+90","＋＋－"
="3008","大立光","2215","-30","-1.34","336","11/04","126","140","-14","4","3","+1","13","27","-13","143","170","-27","－＋－"
="3443","創意","1635","+55","+3.48","8,511","11/04","2,382","2,138","+244","355","0","+355","432","362","+70","3,169","2,499","+669","＋＋＋"
="3661","世芯-KY","3445","-5","-0.14","1,823","11/04","512","487","+25","95","1","+94","85","107","-22","693","595","+98","＋＋－"
="2301","光寶科","170","-10","-5.56","34,225","11/04","8,096","11,717","-3,621","151","1,050","-899","640","2,988","-2,348","8,887","15,755","-6,869","－－－"
="4967","十銓","126.5","-14","-9.96","16,402","11/04","2,271","4,679","-2,408","0","1","-1","88","188","-101","2,359","4,868","-2,510","－－－"
="2344","華邦電","53.3","-3.3","-5.83","41,116","11/04","9,513","6,058","+3,455","23","2,317","-2,294","5,161","1,980","+3,181","14,697","10,355","+4,342","＋－＋"
="3711","日月光投控","239","-7","-2.85","38,613","11/04","23,872","17,757","+6,114","1,272","48","+1,224","705","523","+182","25,848","18,328","+7,520","＋＋＋"
="2408","南亞科","131.5","-5.5","-4.01","152,508","11/04","36,561","45,425","-8,864","165","90","+75","2,205","1,634","+571","38,930","47,149","-8,218","－＋＋"
="2882","國泰金","64.6","+0.7","+1.1","12,299","11/04","9,162","6,571","+2,591","511","62","+449","555","488","+66","10,228","7,122","+3,106","＋＋＋"
="2891","中信金","42.4","+0.35","+0.83","29,665","11/04","19,273","15,516","+3,757","708","2,180","-1,472","444","784","-340","20,425","18,480","+1,946","＋－－"
="2884","玉山金","30.3","+0.15","+0.5","53,657","11/04","33,998","22,470","+11,527","376","794","-418","368","1,093","-724","34,742","24,357","+10,385","＋－－"
="2880","華南金","29.6","+0.2","+0.68","8,441","11/04","7,466","5,018","+2,449","268","71","+197","341","686","-345","8,075","5,775","+2,300","＋＋－"
="0050","元大台灣50","63.95","-0.2","-0.31","88,131","11/04","2,452","27,011","-24,559","0","290","-290","13,933","20,907","-6,974","16,385","48,208","-31,823","－－－"
="00878","國泰永續高股息","21.57","-0.12","-0.55","70,651","11/04","228","28,596","-28,368","0","0","0","12,479","15,338","-2,859","12,707","43,934","-31,227","－・－"
="006208","富邦台50","149.75","-0.45","-0.3","5,871","11/04","179","958","-778","0","0","0","2,341","1,850","+490","2,520","2,808","-288","－・＋"
