"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","244","-7.5","-2.98","95,832","11/04","+121","+50","-74","+209","+734","+1,243","+1,934","+1,299","-189","+1,970"
="2330","台積電","1505","-5","-0.33","35,923","11/04","+1","+14","+14","+6","-34","+54","-82","-816","-56","-63"
="2308","台達電","975","-8","-0.81","18,976","11/04","+4","-15","-30","-165","-182","-151","+176","+743","+669","+484"
="2454","聯發科","1315","+15","+1.15","6,554","11/04","-18","-16","-7","-19","-11","-15","+49","+45","-57","+164"
="3231","緯創","139","-4.5","-3.14","54,223","11/04","+16","-79","-215","-60","-194","-875","-70","-4,607","-676","-47"
="3491","昇達科","420.5","-10","-2.32","945","11/04","-16","-34","+36","-93","+67","+62","+85","-132","-38","-9"
="6669","緯穎","4300","-15","-0.35","934","11/04","-1","-6","-6","+1","+10","+32","+58","+15","+49","-34"
="3008","大立光","2215","-30","-1.34","336","11/04","0","0","0","+1","+1","+1","-14","+1","+9","-10"
="3443","創意","1635","+55","+3.48","8,511","11/04","+39","+45","+60","+42","+17","+65","+69","-37","+55","-46"
="3661","世芯-KY","3445","-5","-0.14","1,823","11/04","-3","-8","+6","+27","+5","+29","-396","-43","-18","-322"
="2301","光寶科","170","-10","-5.56","34,225","11/04","0","-1","-31","-444","+64","-274","-1,089","-189","+330","+354"
="4967","十銓","126.5","-14","-9.96","16,402","11/04","+93","+159","+165","+61","-326","+959","+926","+892","-260","-55"
="2344","華邦電","53.3","-3.3","-5.83","41,116","11/04","-5,672","-483","-2,631","-1,731","-11,698","-2,234","+24,014","+24,789","+26,206","+25,833"
="3711","日月光投控","239","-7","-2.85","38,818","11/04","-119","-151","+213","+333","+327","+792","+887","+957","+842","+485"
="2408","南亞科","131.5","-5.5","-4.01","152,508","11/04","-372","-339","-1,041","+72","+1,397","+6,920","+11,362","+4,374","+18,233","+15,117"
="2882","國泰金","64.6","+0.7","+1.1","12,299","11/04","+4","+6","-15","-27","-184","-871","-785","-2,026","-901","-755"
="2891","中信金","42.4","+0.35","+0.83","29,665","11/04","-9","-7","-6","-8","+23","-42","-381","-935","-123","-226"
="2884","玉山金","30.3","+0.15","+0.5","53,657","11/04","+6","+12","+1","-9","-124","-131","-168","-29","-477","-85"
="2880","華南金","29.6","+0.2","+0.68","8,441","11/04","0","0","-1","-1","-5","-3","-36","-45","-60","-18"
="0050","元大台灣50","63.95","-0.2","-0.31","88,131","11/04","+23","-1","+27","+107","+116","+384","+1,444","+1,136","+1,628","+1,621"
="00878","國泰永續高股息","21.57","-0.12","-0.55","70,651","11/04","+6","+5","+4","+4","-4","-139","-51","-107","0","-19"
="006208","富邦台50","149.75","-0.45","-0.3","5,871","11/04","-2","-2","-1","-12","-22","-16","-4","-22","-61","-2"
