"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","244","-7.5","-2.98","95,832","11/04","-3,739","-2,549","-5,751","-1,141","-11,132","-1,057","-200","-8,839","-30,622","-45,572"
="2330","台積電","1505","-5","-0.33","35,923","11/04","-326","-567","+28","-534","-996","+1,864","+806","-5,252","-16,049","-9,844"
="2308","台達電","975","-8","-0.81","18,976","11/04","+985","+1,112","+1,040","+1,871","+2,097","+2,233","+4,673","+5,496","+4,190","+5,649"
="2454","聯發科","1315","+15","+1.15","6,554","11/04","-104","-533","-325","+132","+445","+177","+171","+645","+1,075","+1,817"
="3231","緯創","139","-4.5","-3.14","54,223","11/04","-3,006","-4,630","-5,926","-214","+4,864","-12,432","+17,440","+11,112","-26,835","-28,201"
="3491","昇達科","420.5","-10","-2.32","945","11/04","+74","+157","+23","+123","+297","-54","-131","+652","-571","+53"
="6669","緯穎","4300","-15","-0.35","934","11/04","-33","-107","-30","-169","-44","-3","-244","-674","-981","-403"
="3008","大立光","2215","-30","-1.34","336","11/04","+8","+44","+42","+33","+24","+61","+107","+143","-462","-466"
="3443","創意","1635","+55","+3.48","8,511","11/04","+143","-74","+282","+274","+483","+558","+2,189","+2,342","+1,189","+873"
="3661","世芯-KY","3445","-5","-0.14","1,823","11/04","-22","-47","-184","-85","-9","+109","+420","+1,136","-135","+1,160"
="2301","光寶科","170","-10","-5.56","34,225","11/04","-462","-1,815","-1,109","-2,558","+3,562","+3,737","+14,950","+16,840","+3,869","+5,636"
="4967","十銓","126.5","-14","-9.96","16,402","11/04","-936","-960","-958","-1,464","-1,702","-237","+582","+1,326","-1,832","-1,060"
="2344","華邦電","53.3","-3.3","-5.83","41,116","11/04","-5,080","-10,285","-10,759","-19,722","-28,593","-35,796","+65,289","+63,168","+57,445","+56,661"
="3711","日月光投控","239","-7","-2.85","38,818","11/04","-336","-438","-639","+335","+503","-952","+946","+1,466","-1,884","-809"
="2408","南亞科","131.5","-5.5","-4.01","152,508","11/04","-2,536","+9,166","+11,220","+17,698","+27,754","+49,146","+69,662","+81,405","+93,032","+88,303"
="2882","國泰金","64.6","+0.7","+1.1","12,299","11/04","-50","-12","+65","+219","+366","+58","-675","-7,074","-5,475","-5,175"
="2891","中信金","42.4","+0.35","+0.83","29,665","11/04","-55","-55","-78","-281","-257","-13","-1,226","-9,655","-20,144","-14,754"
="2884","玉山金","30.3","+0.15","+0.5","53,657","11/04","-802","-978","-653","+412","+6,610","+14,796","+13,891","+13,669","+11,077","+11,331"
="2880","華南金","29.6","+0.2","+0.68","8,441","11/04","-22","-26","-15","-45","-58","-81","-405","-474","-2,374","-2,060"
="0050","元大台灣50","63.95","-0.2","-0.31","88,131","11/04","-173","+39","-60","-563","+306","+1,140","+765","+4,894","+6,679","+7,075"
="00878","國泰永續高股息","21.57","-0.12","-0.55","70,651","11/04","+160","+375","+466","+679","+758","+149","-4,540","-5,522","-2,513","-4,046"
="006208","富邦台50","149.75","-0.45","-0.3","5,871","11/04","+8","+23","+29","-12","-11","+17","-81","-1,288","-611","-656"
