代號,名稱,11/5收盤,漲跌幅,K值,D值,RSI6,RSI12,MACD_DIF,MACD_OSC,5日均線,20日均線,60日均線,外資當日,外資5日,投信當日,投信5日,布林狀態,技術面評分,法人動向,美股連動,11/6預測方向,11/6預測區間_低,11/6預測區間_高,關鍵支撐,關鍵壓力,短期策略,中期策略,風險等級,推薦評等
2330,台積電,1460,-2.99%,61.4,71.8,38.9,54.2,46,-13.6,1496,1467,1306,-30801,-34006,540,1051,弱勢,3.5,外資大賣,NVDA/AMD/AAPL,震盪偏弱,1450,1480,1435,1505,等待反彈後減碼,長期持有核心部位,中高,⭐⭐⭐
2317,鴻海,247,1.23%,51.6,67.6,51.3,58.3,9.67,0.63,252.4,236.4,218.5,-13217,-24770,589,589,超跌反彈,5.5,外資賣/投信買,AAPL/TSLA,短線反彈,244,252,239,260,反彈減碼,逢低分批布局,高,⭐⭐
2454,聯發科,1330,1.14%,52.9,40.8,59,50.3,-15.7,3.96,1313,1321,1371,933,1373,68,68,黃金交叉訊號,7,法人買超,AMD/QCOM,震盪偏多,1320,1345,1300,1360,持有觀察,逢低加碼,中,⭐⭐⭐⭐
3231,緯創,137.5,-1.08%,32.9,48.5,30.9,44,3.16,-3.21,145.1,144.9,128.6,718,-333,-6805,-10638,弱勢整理,4,外資買/投信大賣,AMZN/AI伺服器,續弱整理,135,142,132,148,觀望為主,等待明確轉強訊號,高,⭐⭐
2344,華邦電,56,5.07%,84.2,84.9,68.9,71.9,5.8,0.36,55.06,47.8,32.39,7353,13185,39,39,超買,2,法人大買,記憶體,高檔震盪,54,58,53,60,獲利了結,短線波段操作,高,⭐⭐
3443,創意,1605,-1.83%,55.8,48.5,60.7,60.2,53.9,-1.07,1558,1530,1373,-625,327,20,926,中性偏強,6.5,法人中性,NVDA/ASIC,震盪整理,1570,1620,1550,1650,持有觀察,AI題材長期看好,中,⭐⭐⭐⭐
3661,世芯-KY,3340,-3.05%,72,68.3,51.5,49.6,-40.5,94.8,3417,3278,3636,-210,-611,-86,513,高檔整理,5,外資賣/投信買,NVDA/ASIC,震盪偏弱,3300,3400,3200,3500,減碼觀望,AI長期趨勢看好,中高,⭐⭐⭐
2308,台達電,967,-0.82%,20.7,33.1,30.4,47.2,31.4,-32.6,986,1011,845.4,-711,-19690,168,466,超賣反彈,5.5,外資賣/投信買,TSLA/儲能,反彈修復,970,990,950,1010,觀察反彈力道,中長期看好,中,⭐⭐⭐
3711,日月光投控,235,-1.67%,83.8,88.5,69,73.1,18.2,8.59,238.5,201.9,173.1,6279,34982,1080,1080,超買回檔,4,法人大買,NVDA/AMD,高檔震盪,230,240,225,250,獲利了結,長期持有,中高,⭐⭐⭐
4967,十銓,134,5.93%,53.8,58,56.8,62,10.2,-2.06,132.8,126,94.18,528,-2388,0,0,反彈,5.5,法人中性,記憶體,震盪整理,130,140,126,145,短線獲利了結,波段操作,高,⭐⭐
2408,南亞科,138,4.94%,80.3,84.1,75.7,77.2,16.1,2.86,134.7,111.9,75.96,-8947,-24726,741,741,超買,3,外資賣/投信買,記憶體,震盪回檔,132,142,128,145,減碼,短線操作,高,⭐⭐
2301,光寶科,169,-0.59%,35.5,50.4,36.9,47.1,4.22,-2.36,175.9,172.6,155.3,802,-27804,-1074,-969,弱勢,4,法人賣超,AAPL,續弱,165,172,160,180,觀望,等待止跌,中,⭐⭐
6669,緯穎,4165,-3.14%,72.2,81,53.9,65.2,256,17.8,4289,3925,3403,-290,-242,68,68,高檔回檔,5.5,法人中性,AMZN/MSFT,震盪,4100,4250,4000,4400,持有觀察,AI伺服器長期看好,中,⭐⭐⭐⭐
3491,昇達科,422,0.36%,22.6,26.1,36.7,42.6,-2.3,-9.61,427.1,443.3,417.4,-64,297,0,0,弱勢反彈,5,法人中性,記憶體,震盪偏弱,415,430,408,445,觀望,等待明確訊號,中,⭐⭐
3008,大立光,2200,-0.68%,26.8,25.8,35.4,39.1,-35.2,-7.37,2217,2276,2334,-78,-174,21,2,弱勢,4.5,法人中性,AAPL,弱勢整理,2180,2230,2150,2250,觀望,等待轉強,中,⭐⭐
2882,國泰金,64.1,-0.77%,20.3,19.1,35.1,40.5,-0.23,-0.45,64.24,65.2,64.68,-4764,-7333,283,283,超賣,6,外資賣/投信買,金融,反彈修復,63.5,65,63,66,觀察反彈,逢低分批,中,⭐⭐⭐
2891,中信金,42.25,-0.35%,28.6,23.8,52.7,49,-0.13,-0.03,42.1,42.27,42.49,-1667,1744,700,700,超賣反彈,6.5,外資賣/投信買,金融,震盪偏多,41.9,42.8,41.5,43,逢低布局,長期持有,中,⭐⭐⭐⭐
2884,玉山金,30.3,0.00%,20.1,17.6,35.7,32.6,-0.84,-0.3,30.06,31.63,32.94,0,-26229,0,0,超賣,6,法人賣超,金融,震盪,30,30.8,29.5,31,觀望,等待止跌,中,⭐⭐
2880,華南金,29.7,0.34%,47.4,42.1,61.3,57.4,0.07,-0.08,29.44,29.52,29.07,175,6544,1227,1227,多頭,7.5,法人大買,金融,偏多,29.5,30.1,29.2,30.5,積極布局,中長期看好,中,⭐⭐⭐⭐⭐
50,元大台灣50,63.15,-1.25%,69.6,80.6,44.6,57.9,1.56,-0.33,64.08,62.82,57.37,-101789,-215009,1164,1164,弱勢,3.5,外資大賣,台股大盤,震盪偏弱,62.5,64,62,65,減碼,被動投資持有,中,⭐⭐
878,國泰永續高股息,21.46,-0.51%,52.5,63.7,34,49.1,0.12,-0.04,21.64,21.51,21.09,-44206,-85008,0,0,弱勢,4,外資大賣,高股息,震盪偏弱,21.3,21.6,21.2,21.8,持有為主,定期定額,低,⭐⭐⭐
6208,富邦台50,147.55,-1.47%,67.7,79.6,43.3,57,3.94,-0.92,150,146.9,134.1,-5264,-10186,202,202,弱勢,3.5,外資賣,台股大盤,震盪偏弱,146,149,145,152,減碼,被動投資持有,中,⭐⭐
