股票代號,股票名稱,收盤價,漲跌幅,推薦評等,11/6預測方向,建議進場價_低,建議進場價_高,目標價_低,目標價_高,停損價,短期策略,中期策略,風險等級,技術評分,法人態度,關鍵理由
2880,華南金,29.7,+0.34%,⭐⭐⭐⭐⭐,偏多,29.2,29.5,30.0,30.5,28.8,積極布局,中長期看好,中,7.5,法人大買,KD黃金交叉+法人大買1479張
2891,中信金,42.25,-0.35%,⭐⭐⭐⭐⭐,震盪偏多,41.8,42.2,42.5,43.0,41.3,逢低布局,長期持有,中,6.5,投信買超,超賣反彈+投信連買700張
2454,聯發科,1330,+1.14%,⭐⭐⭐⭐⭐,震盪偏多,1310,1320,1340,1360,1280,持有觀察,逢低加碼,中,7.0,法人買超,KD黃金交叉+法人買1098張
2330,台積電,1460,-2.99%,⭐⭐⭐⭐⭐,震盪偏弱,1450,1460,1480,1500,1430,等待反彈減碼,長期核心持有,中高,3.5,外資大賣,長期核心+1450支撐測試
2308,台達電,967,-0.82%,⭐⭐⭐⭐,反彈修復,960,975,990,1020,945,觀察反彈力道,中長期看好,中,5.5,投信買超,超賣反彈+特斯拉利多
3443,創意,1605,-1.83%,⭐⭐⭐⭐,震盪整理,1570,1590,1620,1680,1550,持有觀察,AI長期看好,中,6.5,法人中性,AI題材+技術面中性偏強
6669,緯穎,4165,-3.14%,⭐⭐⭐⭐,震盪,4100,4150,4200,4400,4000,持有觀察,AI伺服器看好,中,5.5,法人中性,AI伺服器長期需求強
2882,國泰金,64.1,-0.77%,⭐⭐⭐,反彈修復,63.5,64.5,65.0,66.0,63.0,觀察反彈,逢低分批,中,6.0,投信買超,超賣反彈+K值20超低
3711,日月光投控,235,-1.67%,⭐⭐⭐,高檔震盪,230,235,240,245,225,獲利了結,長期持有,中高,4.0,法人大買,法人大買7599張但超買
3661,世芯-KY,3340,-3.05%,⭐⭐⭐,震盪偏弱,3300,3350,3400,3500,3200,減碼觀望,AI長期看好,中高,5.0,外資賣/投信買,高檔整理+AI題材
2317,鴻海,247,+1.23%,⭐⭐,短線反彈,244,247,250,252,239,反彈減碼,逢低分批,高,5.5,外資賣/投信買,短線反彈但外資續賣
3231,緯創,137.5,-1.08%,⭐⭐,續弱整理,135,138,140,142,132,觀望為主,等待轉強,高,4.0,投信大賣,投信大賣6805張需觀察
2344,華邦電,56,+5.07%,⭐⭐,高檔震盪,54,55,57,58,53,獲利了結,短線操作,高,2.0,法人大買,K值84超買需獲利了結
4967,十銓,134,+5.93%,⭐⭐,震盪整理,130,133,138,140,126,短線獲利,波段操作,高,5.5,法人中性,連日大漲+技術面過熱
2408,南亞科,138,+4.94%,⭐⭐,震盪回檔,132,136,140,142,128,減碼,短線操作,高,3.0,外資賣/投信買,K值80超買+波動劇烈
2301,光寶科,169,-0.59%,⭐⭐,續弱,165,168,172,175,160,觀望,等待止跌,中,4.0,法人賣超,技術面弱+外資5日賣27804張
3491,昇達科,422,+0.36%,⭐⭐,震盪偏弱,415,420,425,430,408,觀望,等待訊號,中,5.0,法人中性,技術面弱勢整理中
3008,大立光,2200,-0.68%,⭐⭐,弱勢整理,2180,2210,2230,2250,2150,觀望,等待轉強,中,4.5,法人中性,完全空頭均線排列
0050,元大台灣50,63.15,-1.25%,⭐⭐,震盪偏弱,62.5,63.0,63.5,64.0,62.0,減碼,被動持有,中,3.5,外資大賣,外資5日大賣21萬張
00878,國泰永續高股息,21.46,-0.51%,⭐⭐⭐,震盪偏弱,21.3,21.5,21.6,21.8,21.2,持有為主,定期定額,低,4.0,外資大賣,高股息ETF定期定額佳
006208,富邦台50,147.55,-1.47%,⭐⭐,震盪偏弱,146,148,149,152,145,減碼,被動持有,中,3.5,外資賣,追蹤大盤指數被動投資
