"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","247","+3","+1.23","114,664","11/05","252.4↘","250↗","242.2↗","236.4↗","221.8↗","218.5↗","197.5↗","190.3↗","178.7↗","181.2↗"
="2330","台積電","1460","-45","-2.99","63,423","11/05","1496↘","1485↘","1481↗","1467↗","1332↗","1306↗","1224↗","1185↗","1107↗","1099↗"
="2308","台達電","967","-8","-0.82","18,127","11/05","986↘","1016↘","1016↘","1011↗","883.1↗","845.4↗","699.7↗","646.5↗","538.6↗","516.5↗"
="2454","聯發科","1330","+15","+1.14","7,083","11/05","1313↗","1314↘","1320↗","1321↗","1370↘","1371↘","1357↗","1347↘","1379↘","1373↗"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/05","145.1↘","145.9↘","143.8↘","144.9↘","130.7↗","128.6↗","125↗","123.1↗","115.7↗","115.1↗"
="3491","昇達科","422","+1.5","+0.36","961","11/05","427.1↘","434.7↘","440.3↘","443.3↘","431.9↗","417.4↗","385.5↗","377.7↗","389.6↗","377.5↗"
="6669","緯穎","4165","-135","-3.14","2,071","11/05","4289↗","4186↗","4083↗","3925↗","3440↗","3403↗","3068↗","2958↗","2590↗","2551↗"
="3008","大立光","2200","-15","-0.68","508","11/05","2217↘","2236↘","2233↘","2276↘","2324↘","2334↘","2334↘","2326↘","2387↘","2405↘"
="3443","創意","1605","-30","-1.83","4,903","11/05","1558↗","1562↘","1551↗","1530↗","1409↗","1373↗","1307↗","1280↗","1244↗","1249↗"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/05","3417↗","3284↘","3246↗","3278↗","3559↘","3636↘","3530↗","3409↗","3166↗","3092↗"
="2301","光寶科","169","-1","-0.59","20,471","11/05","175.9↘","178.3↗","173.9↗","172.6↘","159.8↗","155.3↗","139.6↗","133.6↗","120.6↗","117.6↗"
="4967","十銓","134","+7.5","+5.93","15,598","11/05","132.8↗","131.4↗","130.2↗","126↗","98.64↗","94.18↗","85.89↗","83.9↗","82.57↗","82.83↗"
="2344","華邦電","56","+2.7","+5.07","47,931","11/05","55.06↗","52.6↗","49.66↗","47.8↗","35.23↗","32.39↗","26.84↗","25.35↗","21.94↗","20.96↗"
="3711","日月光投控","235","-4","-1.67","33,505","11/05","238.5↗","220.8↗","211.2↗","201.9↗","178.2↗","173.1↗","163.5↗","159.9↗","157.8↗","157.8↗"
="2408","南亞科","138","+6.5","+4.94","244,968","11/05","134.7↗","127.6↗","118.2↗","111.9↗","81.96↗","75.96↗","64.75↗","61.79↗","51.33↗","48.24↗"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/05","64.24↘","64.79↘","65.09↘","65.2↘","64.82↘","64.68↗","64.23↘","64.17↗","63.58↘","64.33↘"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/05","42.1↗","42.11↘","42.23↘","42.27↘","42.4↘","42.49↘","42.74↘","42.6↗","41.26↗","40.81↗"
="2884","玉山金","30.3","0","0","0","11/05","30.06↗","30.6↘","31.25↘","31.63↘","32.76↘","32.94↘","32.99↘","32.56↗","30.98↗","30.36↗"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/05","29.44↗","29.56↗","29.61↗","29.52↗","29.2↗","29.07↗","28.67↗","28.38↗","28.01↗","27.71↗"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/05","64.08↘","63.7↘","63.34↗","62.82↗","58.28↗","57.37↗","58.32↘","78.55↘","120.6↘","132.8↘"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/05","21.64↘","21.64↘","21.55↗","21.51↗","21.12↗","21.09↗","21.07↗","20.99↗","21.17↘","21.35↘"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/05","150↘","149.2↘","148.2↗","146.9↗","136.2↗","134.1↗","126.7↗","123.4↗","116.8↗","116.1↗"
