"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","247","+3","+1.23","114,664","11/04","+121","+50","-74","+209","+734","+1,243","+1,934","+1,299","-189","+1,970"
="2330","台積電","1460","-45","-2.99","63,423","11/04","+1","+14","+14","+6","-34","+54","-82","-816","-56","-63"
="2308","台達電","967","-8","-0.82","18,127","11/04","+4","-15","-30","-165","-182","-151","+176","+743","+669","+484"
="2454","聯發科","1330","+15","+1.14","7,083","11/04","-18","-16","-7","-19","-11","-15","+49","+45","-57","+164"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/04","+16","-79","-215","-60","-194","-875","-70","-4,607","-676","-47"
="3491","昇達科","422","+1.5","+0.36","961","11/04","-16","-34","+36","-93","+67","+62","+85","-132","-38","-9"
="6669","緯穎","4165","-135","-3.14","2,071","11/04","-1","-6","-6","+1","+10","+32","+58","+15","+49","-34"
="3008","大立光","2200","-15","-0.68","508","11/04","0","0","0","+1","+1","+1","-14","+1","+9","-10"
="3443","創意","1605","-30","-1.83","4,903","11/04","+39","+45","+60","+42","+17","+65","+69","-37","+55","-46"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/04","-3","-8","+6","+27","+5","+29","-396","-43","-18","-322"
="2301","光寶科","169","-1","-0.59","20,471","11/04","0","-1","-31","-444","+64","-274","-1,089","-189","+330","+354"
="4967","十銓","134","+7.5","+5.93","15,598","11/04","+93","+159","+165","+61","-326","+959","+926","+892","-260","-55"
="2344","華邦電","56","+2.7","+5.07","47,931","11/04","-5,672","-483","-2,631","-1,731","-11,698","-2,234","+24,014","+24,789","+26,206","+25,833"
="3711","日月光投控","235","-4","-1.67","33,505","11/04","-119","-151","+213","+333","+327","+792","+887","+957","+842","+485"
="2408","南亞科","138","+6.5","+4.94","244,968","11/04","-372","-339","-1,041","+72","+1,397","+6,920","+11,362","+4,374","+18,233","+15,117"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/04","+4","+6","-15","-27","-184","-871","-785","-2,026","-901","-755"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/04","-9","-7","-6","-8","+23","-42","-381","-935","-123","-226"
="2884","玉山金","30.3","0","0","0","11/04","+6","+12","+1","-9","-124","-131","-168","-29","-477","-85"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/04","0","0","-1","-1","-5","-3","-36","-45","-60","-18"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/04","+23","-1","+27","+107","+116","+384","+1,444","+1,136","+1,628","+1,621"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/04","+6","+5","+4","+4","-4","-139","-51","-107","0","-19"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/04","-2","-2","-1","-12","-22","-16","-4","-22","-61","-2"
