"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日融資增減佔發行量％","2日融資增減佔發行量％","3日融資增減佔發行量％","5日融資增減佔發行量％","10日融資增減佔發行量％","1個月融資增減佔發行量％","3個月融資增減佔發行量％","半年融資增減佔發行量％","1年融資增減佔發行量％","今年融資增減佔發行量％"
="2317","鴻海","247","+3","+1.23","114,664","11/04","-0.03","-0.02","-0.04","-0.01","-0.08","-0.01","0","-0.06","-0.22","-0.33"
="2330","台積電","1460","-45","-2.99","63,423","11/04","0","0","0","0","0","+0.01","0","-0.02","-0.06","-0.04"
="2308","台達電","967","-8","-0.82","18,127","11/04","+0.04","+0.04","+0.04","+0.07","+0.08","+0.09","+0.18","+0.21","+0.16","+0.22"
="2454","聯發科","1330","+15","+1.14","7,083","11/04","-0.01","-0.03","-0.02","+0.01","+0.03","+0.01","+0.01","+0.04","+0.07","+0.11"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/04","-0.09","-0.15","-0.19","-0.01","+0.15","-0.39","+0.55","+0.35","-0.84","-0.89"
="3491","昇達科","422","+1.5","+0.36","961","11/04","+0.11","+0.23","+0.03","+0.18","+0.44","-0.08","-0.2","+0.97","-0.85","+0.08"
="6669","緯穎","4165","-135","-3.14","2,071","11/04","-0.02","-0.06","-0.02","-0.09","-0.02","0","-0.13","-0.36","-0.53","-0.22"
="3008","大立光","2200","-15","-0.68","508","11/04","+0.01","+0.03","+0.03","+0.02","+0.02","+0.05","+0.08","+0.11","-0.35","-0.35"
="3443","創意","1605","-30","-1.83","4,903","11/04","+0.11","-0.06","+0.21","+0.2","+0.36","+0.42","+1.63","+1.75","+0.89","+0.65"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/04","-0.03","-0.06","-0.23","-0.11","-0.01","+0.13","+0.52","+1.4","-0.17","+1.43"
="2301","光寶科","169","-1","-0.59","20,471","11/04","-0.02","-0.08","-0.05","-0.11","+0.15","+0.16","+0.65","+0.73","+0.17","+0.24"
="4967","十銓","134","+7.5","+5.93","15,598","11/04","-1.1","-1.13","-1.13","-1.72","-2","-0.28","+0.69","+1.56","-2.16","-1.25"
="2344","華邦電","56","+2.7","+5.07","47,931","11/04","-0.11","-0.23","-0.24","-0.44","-0.64","-0.8","+1.45","+1.4","+1.28","+1.26"
="3711","日月光投控","235","-4","-1.67","33,505","11/04","-0.01","-0.01","-0.01","+0.01","+0.01","-0.02","+0.02","+0.03","-0.04","-0.02"
="2408","南亞科","138","+6.5","+4.94","244,968","11/04","-0.08","+0.3","+0.36","+0.57","+0.9","+1.59","+2.25","+2.63","+3","+2.85"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/04","0","0","0","0","0","0","0","-0.05","-0.04","-0.04"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/04","0","0","0","0","0","0","-0.01","-0.05","-0.1","-0.08"
="2884","玉山金","30.3","0","0","0","11/04","0","-0.01","0","0","+0.04","+0.09","+0.09","+0.08","+0.07","+0.07"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/04","0","0","0","0","0","0","0","0","-0.02","-0.01"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/04","0","0","0","0","0","+0.01","+0.01","+0.04","+0.05","+0.05"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/04","0","0","0","0","0","0","-0.02","-0.03","-0.01","-0.02"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/04","0","0","0","0","0","0","0","-0.07","-0.03","-0.03"
