"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","247","+3","+1.23","114,664","11/04","-6.65","-4.63","-9.88","-2.13","-17.5","-1.97","-0.38","-14.4","-36.9","-46.5"
="2330","台積電","1460","-45","-2.99","63,423","11/04","-1.96","-3.36","+0.17","-3.17","-5.75","+12.9","+5.2","-24.3","-49.6","-37.6"
="2308","台達電","967","-8","-0.82","18,127","11/04","+15.2","+17.5","+16.2","+33.4","+39","+42.6","+167","+278","+128","+310"
="2454","聯發科","1330","+15","+1.14","7,083","11/04","-1.66","-7.95","-5","+2.18","+7.77","+2.95","+2.85","+11.7","+21.1","+41.7"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/04","-5.02","-7.53","-9.44","-0.38","+9.36","-18","+44.3","+24.3","-32.1","-33.2"
="3491","昇達科","422","+1.5","+0.36","961","11/04","+1.77","+3.82","+0.54","+2.97","+7.48","-1.25","-2.98","+18","-11.8","+1.26"
="6669","緯穎","4165","-135","-3.14","2,071","11/04","-2.2","-6.81","-2.01","-10.3","-2.92","-0.2","-14.3","-31.5","-40.1","-21.6"
="3008","大立光","2200","-15","-0.68","508","11/04","+0.99","+5.67","+5.4","+4.19","+3.02","+8.04","+15","+21.1","-36","-36.2"
="3443","創意","1605","-30","-1.83","4,903","11/04","+3.54","-1.74","+7.22","+7","+13","+15.4","+110","+127","+39.6","+26.3"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/04","-0.42","-0.9","-3.42","-1.61","-0.17","+2.14","+8.8","+28","-2.53","+28.8"
="2301","光寶科","169","-1","-0.59","20,471","11/04","-1.81","-6.75","-4.24","-9.26","+16.6","+17.5","+148","+205","+18.2","+29"
="4967","十銓","134","+7.5","+5.93","15,598","11/04","-12.5","-12.7","-12.7","-18.2","-20.6","-3.48","+9.72","+25.3","-21.8","-13.9"
="2344","華邦電","56","+2.7","+5.07","47,931","11/04","-4.19","-8.14","-8.48","-14.5","-19.8","-23.6","+128","+119","+97.9","+95.3"
="3711","日月光投控","235","-4","-1.67","33,505","11/04","-5.6","-7.18","-10.1","+6.29","+9.76","-14.4","+20.1","+35","-25","-12.5"
="2408","南亞科","138","+6.5","+4.94","244,968","11/04","-2.11","+8.44","+10.5","+17.7","+30.9","+71.7","+145","+224","+377","+300"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/04","-0.81","-0.2","+1.08","+3.73","+6.39","+0.96","-9.97","-53.7","-47.3","-45.9"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/04","-1.03","-1.03","-1.45","-5.05","-4.64","-0.25","-18.8","-64.6","-79.2","-73.6"
="2884","玉山金","30.3","0","0","0","11/04","-4.68","-5.65","-3.84","+2.59","+68","+961","+568","+513","+211","+226"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/04","-4.75","-5.57","-3.29","-9.26","-11.6","-15.5","-47.9","-51.8","-84.3","-82.4"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/04","-2.11","+0.49","-0.74","-6.55","+3.96","+16.5","+10.5","+156","+493","+738"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/04","+3.26","+7.99","+10.1","+15.5","+17.6","+3.03","-47.3","-52.1","-33.2","-44.4"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/04","+2.39","+7.19","+9.24","-3.38","-3.11","+5.21","-19.1","-79","-64","-65.7"
