代號,名稱,11/6收盤,漲跌幅,K值,D值,RSI6,MACD_DIF,MACD_OSC,布林%b,5日線,20日線,60日線,外資當日,外資5日,投信當日,投信5日,券資比,技術評分,籌碼評分,綜合評分,趨勢,技術訊號,籌碼訊號,11/7預測,操作策略,風險等級,關鍵支撐,關鍵壓力,目標區間,推薦評等,評分數值
2891,中信金,42.55,0.71%,37.5,28.3,62.6,-0.1,0,0.76,42.2,42.3,42.5,"15,262","17,706","-3,360","-3,189",2.50%,6.5,6,6.2,偏多,KD多頭 | RSI健康 | MACD多頭,🔥外資大買 | 外資持續買超,偏多震盪,持有為主,低-中,41.4,43.1,43.0-44.7,⭐⭐⭐⭐,6.2
3711,日月光投控,234,-0.43%,78.3,85.1,67,18.2,6.8,0.79,240.3,204.9,174.6,"2,640","29,282",-844,"1,550",13.10%,6,5,5.5,偏多,RSI健康 | MACD多頭 | 站穩月線,🔥外資大買 | 外資持續買超,偏多震盪,持有為主,低-中,200.8,245.1,236.3-245.7,⭐⭐⭐⭐,5.5
2344,華邦電,59,5.36%,89.4,86.4,75.8,6,0.6,0.93,55.8,48.6,33.1,"4,901","20,508","-2,320","-10,112",21.20%,5,5,5,偏多,⚠️KD超買 | ⚠️RSI超買 | MACD多頭,🔥外資大買 | 外資持續買超,高檔震盪,獲利了結,高,47.6,56.9,57.8-60.2,⭐⭐,5
3443,創意,1735,8.10%,67.7,54.9,74.6,64,15.3,1.06,1617,1547,1381,228,187,154,"1,080",4.00%,6.5,3,4.8,中性,KD多頭 | ⚠️RSI超買 | MACD多頭,外資買超 | 籌碼健康,區間整理,持有觀察,中,1516.1,1649.3,1700.3-1769.7,⭐⭐⭐,4.8
2408,南亞科,148,7.25%,85.7,84.7,82.8,16.7,3.2,0.94,137.4,114.8,77.7,"3,242","-9,807","1,532","-2,730",16.20%,5,3.5,4.2,中性,⚠️KD超買 | ⚠️RSI超買 | MACD多頭,🔥外資大買 | 外資持續賣超,高檔震盪,獲利了結,高,112.5,140.1,145.0-151.0,⭐⭐,4.2
2880,華南金,29.6,-0.34%,50.1,44.8,54,0.1,-0.1,0.56,29.5,29.6,29.1,120,"5,699",414,"1,766",10.30%,4.5,4,4.2,中性,KD多頭 | RSI健康 | 站穩月線,外資買超 | 外資持續買超,區間整理,持有觀察,中,28.9,30.1,29.0-30.2,⭐⭐⭐,4.2
6669,緯穎,4320,3.72%,76.8,79.6,67.1,251,6.7,0.78,4293,3966,3427,-155,-632,44,284,7.20%,7.5,0,3.8,中性,RSI健康 | MACD多頭 | ✨完美多頭排列,-,整理偏弱,觀望為主,高,3886.7,4378.9,4233.6-4406.4,⭐⭐,3.8
3231,緯創,142,3.27%,35.5,44.2,45.3,2.7,-3.4,0.4,142.5,144.2,128.9,"2,897","-11,776",-929,"-27,592",3.50%,3.5,4,3.8,中性,RSI健康 | DMI多頭,🔥外資大買 | 外資持續賣超,區間整理,持有觀察,中,139.7,147.1,139.2-144.8,⭐⭐⭐,3.8
3491,昇達科,435,3.08%,34.7,29,51.2,-2.2,-7.5,0.38,429.6,442.5,419,328,437,9,-25,3.50%,4,3,3.5,中性,KD多頭 | RSI健康,外資買超 | 籌碼健康,區間整理,持有觀察,中,421,451.4,426.3-443.7,⭐⭐⭐,3.5
2882,國泰金,64.7,0.94%,26.9,21.7,50.3,-0.2,-0.3,0.33,64.3,65.2,64.7,"1,626","-7,819",493,756,7.70%,4,3,3.5,中性,KD多頭 | RSI健康,🔥外資大買 | 外資持續賣超,區間整理,持有觀察,中,63,66.5,63.4-66.0,⭐⭐⭐,3.5
2330,台積電,1465,0.34%,45.7,63.1,42,41.8,-17.7,0.47,1488,1468,1310,"-2,097","-34,190",459,"2,725",1.70%,3.5,3.5,3.5,中性,RSI健康 | DMI多頭,⚠️外資大賣 | 外資持續賣超,區間整理,持有觀察,中,1438.6,1517.8,1435.7-1494.3,⭐⭐⭐,3.5
2317,鴻海,248,0.40%,47.5,60.9,53.1,9.2,-0.3,0.66,249.6,237.4,219.4,"1,113","-18,276",-819,"-6,005",5.90%,4,3,3.5,中性,RSI健康 | 站穩月線 | DMI多頭,🔥外資大買 | 外資持續賣超,區間整理,持有觀察,中,232.7,254.6,243.0-253.0,⭐⭐⭐,3.5
3661,世芯-KY,3670,9.88%,81.3,72.6,72.8,-14.9,117,1.04,3480,3288,3633,546,-127,287,803,2.50%,3.5,3,3.2,偏弱,⚠️KD超買 | ⚠️RSI超買 | MACD多頭,外資買超 | 籌碼健康,高檔震盪,獲利了結,高,3222.2,3549.6,3596.6-3743.4,⭐⭐,3.2
4967,十銓,138,2.99%,61.5,59.2,61.7,10.1,-1.8,0.84,134.8,128,95.3,"-1,127","-3,369",0,-2,12.70%,6,0,3,偏弱,KD多頭 | RSI健康 | ✨完美多頭排列,⚠️外資大賣,整理偏弱,觀望為主,高,125.4,137.5,135.2-140.8,⭐⭐,3
2884,玉山金,29.95,-1.16%,21.1,18.8,28.8,-0.8,-0.2,0.2,30.1,31.5,32.9,"-41,975","-27,958","1,115","1,301",0.70%,2.5,3.5,3,偏弱,KD多頭 | RSI超賣,⚠️外資大賣 | 外資持續賣超,整理偏弱,觀望為主,高,29.5,32.1,29.4-30.5,⭐⭐,3
3008,大立光,2210,0.45%,32.7,28.1,40.4,-35.5,-6.2,0.34,2217,2261,2330,-72,-64,5,27,0.90%,4,2,3,偏弱,KD多頭 | RSI健康,籌碼健康,整理偏弱,觀望為主,高,2172.7,2306.2,2165.8-2254.2,⭐⭐,3
2301,光寶科,169,0.00%,28.7,43.1,36.9,3.5,-3.1,0.4,173.5,172.4,155.9,"-2,102","-11,819",-240,"-4,175",1.90%,3.5,2,2.8,偏弱,RSI健康 | DMI多頭,⚠️外資大賣 | 外資持續賣超,整理偏弱,觀望為主,高,169,177,165.6-172.4,⭐⭐,2.8
2454,聯發科,1290,-3.01%,40.8,40.8,37.6,-15.9,2.9,0.04,1309,1319,1370,"-3,216","-2,781",36,-238,2.50%,3.5,2,2.8,偏弱,RSI健康 | MACD多頭 | 布林超賣,⚠️外資大賣 | 籌碼健康,整理偏弱,觀望為主,高,1282.8,1345.4,1264.2-1315.8,⭐⭐,2.8
50,元大台灣50,63.3,0.24%,59.5,73.5,47.4,1.4,-0.5,0.59,63.9,62.9,57.5,"-18,000","-207,156","-9,800","-10,678",19.00%,4,0,2,偏弱,RSI健康 | 站穩月線 | DMI多頭,⚠️外資大賣 | 外資持續賣超,整理偏弱,觀望為主,高,61.6,65.1,62.0-64.6,⭐⭐,2
2308,台達電,978,1.14%,24.1,30.1,38.4,27.6,-32.3,0.22,979.6,1011,851.1,"-1,244","-13,102",444,"-1,616",12.10%,3.5,0,1.8,弱勢,RSI健康 | DMI多頭,⚠️外資大賣 | 外資持續賣超,整理偏弱,觀望為主,高,960,1031.2,958.4-997.6,⭐⭐,1.8
