"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","248","+1","+0.4","11/06","53.1↗","59↗","74↘","74.4↘","76.6↘","71.2↘","76.7↗","72↗","86.4↗","70.8↗"
="2330","台積電","1465","+5","+0.34","11/06","42↗","55.3↗","78.5↘","78.6↘","82↘","78↘","84.4↗","80.9↗","91.4↗","88.8↗"
="2308","台達電","978","+11","+1.14","11/06","38.4↗","49.9↗","75.8↘","81.1↘","89.7↘","84.7↘","91.2↗","86.6↗","97.1↗","91.8↗"
="2454","聯發科","1290","-40","-3.01","11/06","37.6↘","40.9↘","35.4↘","42.2↘","45.3↘","53.4↘","59↘","61↘","66.3↘","64.3↘"
="3231","緯創","142","+4.5","+3.27","11/06","45.3↗","50.3↗","56.9↘","59.7↘","66↘","64.3↘","79.3↗","76.8↗","91.5↗","80.8↗"
="3491","昇達科","435","+13","+3.08","11/06","51.2↗","49↗","54.4↘","57.8↘","64.9↘","64.8↘","80.2↘","77.9↘","85.3↗","81.7↗"
="6669","緯穎","4320","+155","+3.72","11/06","67.1↗","70.6↗","82.2↘","77.6↘","85.7↘","77.3↘","76.4↗","73.4↗","94.9↗",""
="3008","大立光","2210","+10","+0.45","11/06","40.4↗","41↗","36.9↘","41.6↘","34.3↘","43.8↘","39.5↘","44.2↘","44.6↘","51.2↘"
="3443","創意","1735","+130","+8.1","11/06","74.6↗","68.7↗","77.2↗","71.9↗","77.7↗","65.6↗","65.8↗","64↗","80.1↗","80↗"
="3661","世芯-KY","3670","+330","+9.88","11/06","72.8↗","62.4↗","57.9↗","55.2↗","60.1↗","59↗","69.3↗","68.6↗","94.4↗","93.5"
="2301","光寶科","169","0","0","11/06","36.9→","47.1→","60.3↘","66.4↘","76.6↘","71.8↘","81.5↘","77.5↘","84.8↗","76.6↗"
="4967","十銓","138","+4","+2.99","11/06","61.7↗","64.6↗","94↗","86.3↗","84.8↗","71.3↗","70.8↗","66.4↗","85↗",""
="2344","華邦電","59","+3","+5.36","11/06","75.8↗","75.4↗","96↗","91.7↗","91.1↗","81.9↗","83.8↗","73.9↗","70.9↗","62.5↗"
="3711","日月光投控","234","-1","-0.43","11/06","67↘","72↘","79.8↘","77.4↘","77.7↘","72.4↘","83.9↗","77.5↗","89.6↗",""
="2408","南亞科","148","+10","+7.25","11/06","82.8↗","81↗","94.2↗","88.3↗","92.3↗","82.9↗","81.9↗","71.4↗","68.8↗","64.4↗"
="2882","國泰金","64.7","+0.6","+0.94","11/06","50.3↗","47.6↗","49.6↗","51.2↗","58.3↗","58.8↗","65.2↘","61.6↘","59.6↘","48↘"
="2891","中信金","42.55","+0.3","+0.71","11/06","62.6↗","54.4↗","53.2↗","53.1↗","64↗","66.4↗","75.3↘","71.3↘","79.5↗","62↗"
="2884","玉山金","29.95","-0.35","-1.16","11/06","28.8↘","29.6↘","22.3↗","36.4↗","46.2↗","53.1↗","54.2↘","56.3↘","69.5↗","62.6↗"
="2880","華南金","29.6","-0.1","-0.34","11/06","54↘","54↘","59.4↗","59.2↗","69↗","66.8↗","79.8→","72.3→","71.6↗","42.4↗"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","47.4↗","58.8↗","53.7↘","32.9↘","24.6↘","29.1↘","29.2↗","37.2↗","40↘","46↘"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","46.6↗","54↗","61.8↘","57↘","54.1↘","52.9↘","58.2↗","62.7↗","72.3",""
="006208","富邦台50","148.4","+0.85","+0.58","11/06","49.3↗","59.1↗","78.7↘","79.4↘","80.8↘","76.9↘","84.2↗","79.3↗","87.8↗","85.8↗"
