"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","248","+1","+0.4","65,794","11/06","+79","-286","-165","-360","+97","+1,092","+1,112","+1,049","-436","+1,684"
="2330","台積電","1465","+5","+0.34","29,955","11/06","+1","-57","-56","-43","-66","-22","-197","-1,824","-145","-120"
="2308","台達電","978","+11","+1.14","10,520","11/06","+22","-34","-30","-64","-192","-171","+173","+681","+560","+450"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","-5","-6","-24","-13","-19","-20","+54","+30","-77","+158"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","+136","+209","+225","-6","+155","-678","+276","-3,326","-269","+162"
="3491","昇達科","435","+13","+3.08","1,299","11/06","-62","-82","-98","-46","-328","-5","+48","-131","-94","-91"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","0","-3","-4","-9","-2","+28","+52","-21","+53","-37"
="3008","大立光","2210","+10","+0.45","427","11/06","0","-1","-1","-1","-2","-6","-6","-1","+6","-11"
="3443","創意","1735","+130","+8.1","9,030","11/06","+48","+29","+68","+89","-27","+93","+100","-11","+67","-17"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","+73","+60","+57","+66","+67","+84","-298","-24","-44","-262"
="2301","光寶科","169","0","0","16,548","11/06","-32","+4","+4","-27","+7","-243","-198","-166","+323","+358"
="4967","十銓","138","+4","+2.99","23,145","11/06","+12","-118","-25","+47","-278","+698","+811","+715","-530","-173"
="2344","華邦電","59","+3","+5.36","40,871","11/06","-1,381","-3,080","-8,752","-5,711","-6,491","-12,427","+20,257","+21,700","+23,161","+22,753"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","-44","-251","-370","-38","+183","+520","+607","+702","+618","+234"
="2408","南亞科","148","+10","+7.25","276,959","11/06","+1,662","+2,064","+1,692","+1,023","+3,008","+9,468","+13,842","+5,946","+20,211","+17,181"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","+8","+2","+6","-13","-191","-860","-771","-1,540","-898","-753"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","+5","-3","-12","-9","+28","-38","-396","-1,129","-131","-229"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","+37","+37","+43","+38","-86","-91","-140","+35","-780","-48"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","+1","+1","+1","0","-4","-2","+47","-26","-59","-17"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","-7","-168","-145","-141","-17","+156","+1,234","+964","+1,444","+1,453"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","+1","-4","+2","0","-9","-141","-30","-94","-2","-23"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","-2","-2","-4","-3","-13","-22","-12","-10","-49","-4"
