"代號","名稱","成交","漲跌價","漲跌幅","資券週別","更新日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","248","-9.5","-3.69","25W45","11/06","19,090","14,195","242","+4,653","59,669","1.71","0.43","1,205","974","5","-236","3,524","0.1","0.03","115","0.03","5.91"
="2330","台積電","1465","-35","-2.33","25W45","11/06","4,964","2,942","111","+1,911","18,798","0.29","0.07","84","43","2","-43","317","0","0","16","0.01","1.69"
="2308","台達電","978","-17","-1.71","25W45","11/06","3,031","2,339","26","+666","7,027","1.08","0.27","184","135","0","-49","851","0.13","0.03","14","0.02","12.1"
="2454","聯發科","1290","-20","-1.53","25W45","11/06","823","1,235","12","-424","6,283","1.57","0.39","50","28","0","-22","158","0.04","0.01","5","0.01","2.51"
="3231","緯創","142","-8.5","-5.65","25W45","11/06","11,329","17,947","85","-6,703","54,749","6.89","1.72","588","718","0","+130","1,916","0.24","0.06","152","0.06","3.5"
="3491","昇達科","435","-5","-1.14","25W45","11/06","370","325","7","+38","4,147","24.8","6.2","22","43","137","-116","147","0.87","0.22","6","0.13","3.54"
="6669","緯穎","4320","-45","-1.03","25W45","11/06","377","404","0","-27","1,545","3.33","0.83","12","3","0","-9","112","0.24","0.06","3","0.05","7.25"
="3008","大立光","2210","-5","-0.23","25W45","11/06","105","34","1","+70","846","2.54","0.63","1","0","0","-1","8","0.02","0.01","0","0","0.95"
="3443","創意","1735","+205","+13.4","25W45","11/06","3,036","2,547","8","+481","4,743","14.2","3.54","32","108","2","+74","188","0.56","0.14","22","0.08","3.96"
="3661","世芯-KY","3670","+175","+5.01","25W45","11/06","1,006","871","6","+129","5,370","27.3","6.64","31","83","0","+52","135","0.69","0.17","2","0.02","2.51"
="2301","光寶科","169","-10.5","-5.85","25W45","11/06","4,765","6,683","72","-1,990","24,897","4.3","1.07","245","250","2","+3","471","0.08","0.02","47","0.05","1.89"
="4967","十銓","138","+3","+2.22","25W45","11/06","4,876","5,294","4","-422","7,108","33.5","8.37","501","585","43","+41","905","4.26","1.07","731","1.21","12.7"
="2344","華邦電","59","+4.8","+8.86","25W45","11/06","14,270","29,255","43","-15,028","111,388","9.9","2.48","9,581","6,513","495","-3,563","23,669","2.1","0.53","12,801","6.45","21.2"
="3711","日月光投控","234","-13.5","-5.45","25W45","11/06","4,037","3,947","3","+87","6,184","0.56","0.14","536","145","11","-402","808","0.07","0.02","31","0.02","13.1"
="2408","南亞科","148","+15.5","+11.7","25W45","11/06","73,968","52,447","242","+21,279","129,817","16.8","4.19","6,722","8,463","16","+1,725","21,038","2.72","0.68","1,667","0.2","16.2"
="2882","國泰金","64.7","+0.7","+1.09","25W45","11/06","282","283","11","-12","6,094","0.17","0.04","12","20","0","+8","469","0.01","0","0","0","7.7"
="2891","中信金","42.55","+0.7","+1.67","25W45","11/06","360","671","20","-331","5,010","0.1","0.03","22","12","0","-10","128","0","0","0","0","2.55"
="2884","玉山金","29.95","+0.2","+0.67","25W45","11/06","1,761","2,323","354","-916","16,398","0.41","0.1","66","126","11","+49","122","0","0","6","0","0.74"
="2880","華南金","29.6","+0.4","+1.37","25W45","11/06","22","34","0","-12","455","0.01","0","0","1","0","+1","47","0","0","0","0","10.3"
="0050","元大台灣50","63.3","-1.45","-2.24","25W45","11/06","2,592","1,815","29","+748","8,743","0.25","0.06","264","95","0","-169","1,665","0.05","0.01","123","0.02","19"
="00878","國泰永續高股息","21.55","-0.17","-0.78","25W45","11/06","1,005","318","24","+663","5,355","0.1","0.03","7","8","0","+1","30","0","0","6","0","0.56"
="006208","富邦台50","148.4","-3.4","-2.24","25W45","11/06","140","110","11","+19","339","0.07","0.02","5","1","0","-4","10","0","0","4","0.01","2.95"
