"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","248","+1","+0.4","65,794","11/06","+784","+7,202","+3,463","+1,451","+1,790","+7,897","+7,946","-1,102","-22,554","-38,370"
="2330","台積電","1465","+5","+0.34","29,955","11/06","+108","+2,478","+2,152","+2,506","+1,433","+3,647","+3,074","-2,729","-13,816","-7,366"
="2308","台達電","978","+11","+1.14","10,520","11/06","+173","-446","+539","+594","+1,891","+1,599","+4,373","+5,261","+3,894","+5,203"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","+276","+109","+5","-216","+225","+301","+446","+714","+1,188","+1,926"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","-399","-2,073","-5,079","-7,999","+620","-9,284","+17,424","+10,344","-30,343","-30,274"
="3491","昇達科","435","+13","+3.08","1,299","11/06","-119","-119","-45","-96","+91","-202","-110","+518","-674","-66"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","+65","+80","+47","+50","+34","+8","-153","-845","-940","-323"
="3008","大立光","2210","+10","+0.45","427","11/06","+5","+26","+34","+68","+79","+142","+113","+188","-466","-440"
="3443","創意","1735","+130","+8.1","9,030","11/06","+444","+555","+698","+837","+831","+1,423","+2,758","+2,945","+1,819","+1,428"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","+154","+176","+154","-8","-148","+312","+649","+1,315","+86","+1,336"
="2301","光寶科","169","0","0","16,548","11/06","-50","-175","-637","-1,284","+2,364","+2,361","+7,653","+16,582","+4,128","+5,461"
="4967","十銓","138","+4","+2.99","23,145","11/06","+446","+538","-398","-420","-1,168","-1,713","+1,146","+1,875","-1,348","-522"
="2344","華邦電","59","+3","+5.36","40,871","11/06","-3,416","-4,743","-9,823","-15,502","-26,047","-49,365","+58,838","+58,096","+51,612","+51,918"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","+433","+525","+189","-114","+1,184","+432","+1,504","+1,984","-1,791","-284"
="2408","南亞科","148","+10","+7.25","276,959","11/06","+6,677","+12,113","+9,577","+23,333","+33,247","+55,792","+81,806","+92,253","+104,996","+100,416"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","-64","0","-50","+65","+703","+36","-515","-5,852","-6,034","-5,175"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","-238","-276","-331","-354","-588","-341","-1,376","-8,204","-19,897","-15,030"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","+63","+62","-740","-591","+6,832","+14,823","+14,007","+13,066","+11,090","+11,393"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","+7","+14","-8","-1","-33","-65","-495","-379","-2,273","-2,046"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","-17","+709","+536","+649","+582","+2,243","+2,322","+5,370","+7,461","+7,784"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","-92","+288","+448","+754","+1,269","+551","-4,265","-5,362","-3,657","-3,758"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","-6","-4","+4","+25","-23","-4","-63","-1,573","-611","-660"
