代號,名稱,收盤價,漲跌幅,本益比,股價淨值比,RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),5日均線,20日均線,60日均線,外資買賣超張數,投信買賣超張數,外資5日累計,技術面評分,籌碼面評分,綜合評分,投資建議,短期策略_2週,中期策略_1月,風險控管,反彈潛力
2344,華邦電,58.1,-1.53,,2.76,70.2↘,72.4↘,5.99↗,5.75↗,0.49↘,56.6↗,49.46↗,33.76↗,"5,879",-120,"32,704",7,8.5,7.6,🔥 強力推薦 ⭐⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,停損: 46.99 | 目標: 66.81,★
2880,華南金,29.75,0.51,17.5,1.91,62.1↗,58.1↗,0.09↗,0.1↘,-0.03↗,29.61↗,29.58↗,29.08↗,"2,189",373,"5,865",8,6.5,7.4,✅ 積極買進 ⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,停損: 28.1 | 目標: 34.21,★
4967,十銓,137,-0.72,57.3,3.04,59.6↘,63.4↘,9.85↘,10.7↘,-1.79↗,135.2↗,129.4↗,96.38↗,"1,454",0,"-1,654",8,6,7.2,✅ 積極買進 ⭐⭐⭐⭐,積極進場/加碼,長期持有/波段操作,停損: 122.93 | 目標: 157.55,★
3711,日月光投控,228.5,-2.35,29,3.38,56.5↘,66↘,17.4↘,15.3↗,4.22↘,236.5↘,207.6↗,175.8↗,996,23,"19,897",7,6.5,6.8,✅ 積極買進 ⭐⭐⭐⭐,分批進場,中期持有,停損: 197.22 | 目標: 262.77,★
3661,世芯-KY,3565,-2.86,44.9,8.22,62.4↘,57.3↘,2.89↗,-58.1↗,122↗,3494↗,3294↗,3628↘,-82,103,-81,7,5,6.2,📈 建議買進 ⭐⭐⭐,分批進場,中期持有,停損: 3129.3 | 目標: 4099.75,★
3443,創意,1720,-0.86,66.7,19.69,71.1↘,66.9↘,69.9↗,59.1↗,21.7↗,1655↗,1559↗,1390↗,-539,11,-441,7,5,6.2,📈 建議買進 ⭐⭐⭐,持有為主,中期持有,停損: 1481.05 | 目標: 1978.0,★
6669,緯穎,4075,-5.67,21.5,8.33,43.5↘,55.8↘,233↘,245↘,-23.7↘,4235↘,3998↗,3442↗,-540,52,"-1,000",7,5,6.2,📈 建議買進 ⭐⭐⭐,分批進場,中期持有,停損: 3798.1 | 目標: 4686.25,★
2317,鴻海,244,-1.61,18.6,2.32,45.1↘,54.8↘,8.45↘,9.14↘,-1.37↘,246.9↘,238.3↗,220.2↗,515,-427,"-9,709",7,4.5,6,📈 建議買進 ⭐⭐⭐,分批進場,中期持有,停損: 226.38 | 目標: 280.6,★
2408,南亞科,147,-0.68,,2.89,80↘,79.6↘,17.1↗,15.5↗,3.23↗,140.3↗,117.6↗,79.41↗,"-26,591",533,"-44,477",7,2,5,➡️ 持有觀察 ⭐⭐,持有為主,持續觀察,停損: 111.72 | 目標: 169.05,★
3008,大立光,2205,-0.23,12.7,1.62,38.6↘,40.3↘,-35↗,-32.9↘,-4.31↗,2215↘,2247↘,2327↘,56,2,-123,5,5,5,➡️ 持有觀察 ⭐⭐,持有為主,持續觀察,停損: 2134.65 | 目標: 2535.75,★★★★
