"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","244","-4","-1.61","50,319","11/07","271.1↗","-10","238.3↗","+2.39","205.5↗","+18.7","65.6↘","0.59↘","0.28↘"
="2330","台積電","1460","-5","-0.34","23,552","11/07","1523↘","-4.16","1471↗","-0.73","1418↗","+2.95","105↘","0.4↘","0.07↘"
="2308","台達電","965","-13","-1.33","9,673","11/07","1072↗","-9.94","1010↘","-4.47","948.8↘","+1.71","123↗","0.13↘","0.12↗"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","1356↗","-7.06","1316↘","-4.22","1275↘","-1.2","80.5↗","-0.19↘","0.06↗"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","154.3↘","-10.9","143.6↘","-4.23","132.8↘","+3.5","21.5↘","0.22↘","0.15↗"
="3491","昇達科","431","-4","-0.92","828","11/07","470.2↘","-8.34","440.8↘","-2.22","411.4↘","+4.76","58.8↘","0.33↘","0.13↘"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","4576↘","-11","3998↗","+1.93","3419↗","+19.2","1157↘","0.57↘","0.29↘"
="3008","大立光","2205","-5","-0.23","496","11/07","2368↘","-6.89","2247↘","-1.87","2126↗","+3.72","242↘","0.33↘","0.11↘"
="3443","創意","1720","-15","-0.86","4,858","11/07","1739↗","-1.1","1559↗","+10.3","1378↘","+24.8","361↗","0.95↘","0.23↗"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","3663↗","-2.67","3294↗","+8.23","2925↘","+21.9","738↗","0.87↘","0.22↗"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","190.1↘","-12.4","172.2↘","-3.3","154.3↘","+7.91","35.8↗","0.34↘","0.21↗"
="4967","十銓","137","-1","-0.72","22,208","11/07","141.6↘","-3.23","129.4↗","+5.85","117.3↗","+16.8","24.3↘","0.81↘","0.19↘"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","61.59↗","-5.67","49.46↗","+17.5","37.32↗","+55.7","24.3↗","0.86↘","0.49↘"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","256.1↗","-10.8","207.6↗","+10","159.1↗","+43.6","97↘","0.72↘","0.47↘"
="2408","南亞科","147","-1","-0.68","233,103","11/07","156.1↗","-5.81","117.6↗","+25","79.12↗","+85.8","77↗","0.88↘","0.65↘"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","66.67↗","-4.76","65.08↘","-2.44","63.5↘","0","3.18↗","0↘","0.05↗"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","42.79↘","-2.08","42.25↘","-0.83","41.71↘","+0.44","1.08↗","0.17↘","0.03↗"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","33.96↘","-12.8","31.33↘","-5.52","28.7↘","+3.14","5.26↗","0.17↘","0.17↗"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","29.97↗","-0.74","29.58↗","+0.59","29.18↗","+1.96","0.8↘","0.72↗","0.03↘"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","65.17↘","-4.03","62.96↗","-0.66","60.76↗","+2.95","4.42↘","0.41↘","0.07↘"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","21.85↗","-2.39","21.51↘","-0.82","21.16↘","+0.8","0.69↗","0.24↘","0.03↗"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","152.8↘","-4.31","147.3↗","-0.71","141.8↗","+3.17","11.1↘","0.41↘","0.08↘"
