"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","244","-4","-1.61","50,319","11/07","+1.19","+3.51","-6.4","-5.16","+6.19","+49.4","+45.7","+46.8","-19.1","+93.8"
="2330","台積電","1460","-5","-0.34","23,552","11/07","+3.47","+3.8","-12.3","-8.89","-15.2","+1.23","-30.4","-84.7","-32.6","-24.9"
="2308","台達電","965","-13","-1.33","9,673","11/07","+0.82","+3.5","-3.05","-4.67","-17.2","-14.7","+17.5","+468","+215","+114"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","+3.16","0","-0.61","-9.44","-1.21","-9.44","+59.8","+140","-28.8",""
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","-4.44","+2.87","+7.26","+2.52","+4.93","-20.9","+6.58","-65.5","-16","+4.39"
="3491","昇達科","431","-4","-0.92","828","11/07","+6.8","-24.9","-31.4","-40.3","-67.4","-6.55","+72.5","-46.2","-40.5","-34"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","+8.93","+8.93","+6.09","+0.83","+7.02","+56.4","+87.7","+7.02","+96.8","-18.1"
="3008","大立光","2205","-5","-0.23","496","11/07","0","0","-11.1","-11.1","-11.1","-33.3","","-11.1","+300","-57.9"
="3443","創意","1720","-15","-0.86","4,858","11/07","-2.66","+30.7","+15.1","+60.5","+6.4","+69.4","+56.4","-7.11","+47.6","-10.7"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","-28.1","+56.5","+29.3","+16.9","+44.8","+79.6","-77.6","-25.4","-40.5","-75.6"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","+0.64","-5.77","+1.5","+1.28","-40.8","-33.8","-16.8","-28.4","+231","+319"
="4967","十銓","137","-1","-0.72","22,208","11/07","-1.55","-0.22","-12.9","+3.12","-22.1","+3.97","+936","+725","-40","-17.3"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","-2.8","-8.16","-14","-15.5","-23.9","-20.4","+845","+1,083","+1,843","+2,412"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","-3.47","-8.45","-26.3","-35.5","+17.5","+153","+239","+875","+258","+35.9"
="2408","南亞科","147","-1","-0.68","233,103","11/07","-1.87","+6.55","+8.81","+6.9","+14.4","+80.2","+183","+34.3","+3,052","+435"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","-5.76","-4.12","-5.35","-4.12","-86.9","-66.8","-64.1","-77.5","-67.5","-63.8"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","-1.56","+2.44","-3.82","-8.7","+7.69","-21.7","-76","-88.7","-55.2","-64.7"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","-15.6","+21.2","+21.2","+41.1","-50.5","-51.6","-60.1","-9.65","-89.1","-39.4"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","0","+2.17","+2.17","+2.17","0","-4.08","","-36.5","-55.7","-26.6"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","+1.08","+0.66","-8.18","-8.23","-1.81","+11.2","+259","+84.5","+622","+694"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","-23.3","-20.7","-32.4","-20.7","-39.5","-47.7","-46.5","-80.5","-34.3","-56.6"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","0","-16.7","-16.7","-28.6","-56.5","-67.7","-56.5","-44.4","-70.6","-28.6"
