"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","244","-4","-1.61","11/07","1,425","2,493","20","-1,088","58,581","1.68","0.42","110","153","1","+42","3,566","0.1","0.03","12","0.02","6.09"
="2330","台積電","1460","-5","-0.34","11/07","409","417","90","-98","18,700","0.29","0.07","10","21","0","+11","328","0.01","0","1","0","1.75"
="2308","台達電","965","-13","-1.33","11/07","168","197","4","-33","6,994","1.08","0.27","16","23","0","+7","858","0.13","0.03","7","0.07","12.3"
="2454","聯發科","1260","-30","-2.33","11/07","261","114","3","+144","6,427","1.6","0.4","1","6","0","+5","163","0.04","0.01","0","0","2.54"
="3231","緯創","137.5","-4.5","-3.17","11/07","1,709","1,704","10","-5","54,744","6.89","1.72","148","63","0","-85","1,831","0.23","0.06","5","0.01","3.34"
="3491","昇達科","431","-4","-0.92","11/07","73","55","0","+18","4,165","24.9","6.22","4","22","8","+10","157","0.93","0.23","1","0.12","3.77"
="6669","緯穎","4075","-245","-5.67","11/07","235","249","1","-15","1,530","3.29","0.82","9","19","0","+10","122","0.26","0.07","0","0","7.97"
="3008","大立光","2205","-5","-0.23","11/07","59","26","0","+33","879","2.63","0.66","0","0","0","0","8","0.02","0.01","0","0","0.91"
="3443","創意","1720","-15","-0.86","11/07","513","355","0","+158","4,901","14.6","3.66","19","14","0","-5","183","0.55","0.14","2","0.04","3.73"
="3661","世芯-KY","3565","-105","-2.86","11/07","196","288","1","-93","5,277","26.8","6.53","43","5","0","-38","97","0.49","0.12","1","0.03","1.84"
="2301","光寶科","166.5","-2.5","-1.48","11/07","313","382","6","-75","24,822","4.29","1.07","19","22","0","+3","474","0.08","0.02","1","0.01","1.91"
="4967","十銓","137","-1","-0.72","11/07","1,576","1,047","0","+529","7,637","36","8.99","88","74","0","-14","891","4.19","1.05","26","0.12","11.7"
="2344","華邦電","58.1","-0.9","-1.53","11/07","229","3,563","3,038","-6,372","105,016","9.33","2.33","436","22","248","-662","23,007","2.05","0.51","848","3.71","21.9"
="3711","日月光投控","228.5","-5.5","-2.35","11/07","271","483","4","-216","5,968","0.54","0.13","44","16","0","-28","780","0.07","0.02","1","0","13.1"
="2408","南亞科","147","-1","-0.68","11/07","16,413","10,786","1,638","+3,989","133,806","17.3","4.32","1,067","686","12","-393","20,645","2.67","0.67","399","0.17","15.4"
="2882","國泰金","63.5","-1.2","-1.85","11/07","310","48","0","+262","6,356","0.17","0.04","27","0","0","-27","442","0.01","0","0","0","6.95"
="2891","中信金","41.9","-0.65","-1.53","11/07","302","46","0","+256","5,266","0.11","0.03","3","1","0","-2","126","0","0","0","0","2.39"
="2884","玉山金","29.6","-0.35","-1.17","11/07","692","259","265","+168","16,566","0.41","0.1","22","3","0","-19","103","0","0","4","0.01","0.62"
="2880","華南金","29.75","+0.15","+0.51","11/07","0","2","0","-2","453","0.01","0","0","0","0","0","47","0","0","0","0","10.4"
="0050","元大台灣50","62.55","-0.75","-1.18","11/07","842","314","33","+495","9,238","0.26","0.07","36","54","0","+18","1,683","0.05","0.01","0","0","18.2"
="00878","國泰永續高股息","21.33","-0.22","-1.02","11/07","303","229","4","+70","5,425","0.1","0.03","7","0","0","-7","23","0","0","4","0.01","0.42"
="006208","富邦台50","146.25","-2.15","-1.45","11/07","18","18","2","-2","337","0.07","0.02","2","2","0","0","10","0","0","0","0","2.97"
