"代號","名稱","成交","漲跌價","漲跌幅","資券週別","更新日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","244","-13.5","-5.24","25W45","11/07","20,515","16,688","262","+3,565","58,581","1.68","0.42","1,315","1,127","6","-194","3,566","0.1","0.03","127","0.03","6.09"
="2330","台積電","1460","-40","-2.67","25W45","11/07","5,373","3,359","201","+1,813","18,700","0.29","0.07","94","64","2","-32","328","0.01","0","17","0.01","1.75"
="2308","台達電","965","-30","-3.02","25W45","11/07","3,199","2,536","30","+633","6,994","1.08","0.27","200","158","0","-42","858","0.13","0.03","21","0.03","12.3"
="2454","聯發科","1260","-50","-3.82","25W45","11/07","1,084","1,349","15","-280","6,427","1.6","0.4","51","34","0","-17","163","0.04","0.01","5","0.01","2.54"
="3231","緯創","137.5","-13","-8.64","25W45","11/07","13,038","19,651","95","-6,708","54,744","6.89","1.72","736","781","0","+45","1,831","0.23","0.06","157","0.05","3.34"
="3491","昇達科","431","-9","-2.05","25W45","11/07","443","380","7","+56","4,165","24.9","6.22","26","65","145","-106","157","0.93","0.23","7","0.13","3.77"
="6669","緯穎","4075","-290","-6.64","25W45","11/07","612","653","1","-42","1,530","3.29","0.82","21","22","0","+1","122","0.26","0.07","3","0.04","7.97"
="3008","大立光","2205","-10","-0.45","25W45","11/07","164","60","1","+103","879","2.63","0.66","1","0","0","-1","8","0.02","0.01","0","0","0.91"
="3443","創意","1720","+190","+12.4","25W45","11/07","3,549","2,902","8","+639","4,901","14.6","3.66","51","122","2","+69","183","0.55","0.14","24","0.07","3.73"
="3661","世芯-KY","3565","+70","+2","25W45","11/07","1,202","1,159","7","+36","5,277","26.8","6.53","74","88","0","+14","97","0.49","0.12","3","0.02","1.84"
="2301","光寶科","166.5","-13","-7.24","25W45","11/07","5,078","7,065","78","-2,065","24,822","4.29","1.07","264","272","2","+6","474","0.08","0.02","48","0.04","1.91"
="4967","十銓","137","+2","+1.48","25W45","11/07","6,452","6,341","4","+107","7,637","36","8.99","589","659","43","+27","891","4.19","1.05","757","0.91","11.7"
="2344","華邦電","58.1","+3.9","+7.2","25W45","11/07","14,499","32,818","3,081","-21,400","105,016","9.33","2.33","10,017","6,535","743","-4,225","23,007","2.05","0.51","13,649","6.17","21.9"
="3711","日月光投控","228.5","-19","-7.68","25W45","11/07","4,308","4,430","7","-129","5,968","0.54","0.13","580","161","11","-430","780","0.07","0.02","32","0.02","13.1"
="2408","南亞科","147","+14.5","+10.9","25W45","11/07","90,381","63,233","1,880","+25,268","133,806","17.3","4.32","7,789","9,149","28","+1,332","20,645","2.67","0.67","2,066","0.19","15.4"
="2882","國泰金","63.5","-0.5","-0.78","25W45","11/07","592","331","11","+250","6,356","0.17","0.04","39","20","0","-19","442","0.01","0","0","0","6.95"
="2891","中信金","41.9","+0.05","+0.12","25W45","11/07","662","717","20","-75","5,266","0.11","0.03","25","13","0","-12","126","0","0","0","0","2.39"
="2884","玉山金","29.6","-0.15","-0.5","25W45","11/07","2,453","2,582","619","-748","16,566","0.41","0.1","88","129","11","+30","103","0","0","10","0","0.62"
="2880","華南金","29.75","+0.55","+1.88","25W45","11/07","22","36","0","-14","453","0.01","0","0","1","0","+1","47","0","0","0","0","10.4"
="0050","元大台灣50","62.55","-2.2","-3.4","25W45","11/07","3,434","2,129","62","+1,243","9,238","0.26","0.07","300","149","0","-151","1,683","0.05","0.01","123","0.02","18.2"
="00878","國泰永續高股息","21.33","-0.39","-1.8","25W45","11/07","1,308","547","28","+733","5,425","0.1","0.03","14","8","0","-6","23","0","0","10","0","0.42"
="006208","富邦台50","146.25","-5.55","-3.66","25W45","11/07","158","128","13","+17","337","0.07","0.02","7","3","0","-4","10","0","0","4","0.01","2.97"
