"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","244","-4","-1.61","50,319","11/07","-1,088","-304","+6,114","+3,565","+5,268","+7,512","+6,751","-2,056","-24,497","-39,458"
="2330","台積電","1460","-5","-0.34","23,552","11/07","-98","+10","+2,380","+1,813","+1,683","+3,342","+3,132","-2,330","-13,925","-7,464"
="2308","台達電","965","-13","-1.33","9,673","11/07","-33","+140","-479","+633","+1,785","+1,607","+4,251","+5,228","+3,844","+5,170"
="2454","聯發科","1260","-30","-2.33","8,573","11/07","+144","+420","+253","-280","+316","+619","+579","+1,103","+1,259","+2,070"
="3231","緯創","137.5","-4.5","-3.17","40,659","11/07","-5","-404","-2,078","-6,708","-1,009","-2,653","+16,579","+11,517","-31,576","-30,279"
="3491","昇達科","431","-4","-0.92","828","11/07","+18","-101","-101","+56","+124","-94","-69","+533","-695","-48"
="6669","緯穎","4075","-245","-5.67","2,614","11/07","-15","+50","+65","-42","-13","-70","-253","-760","-1,032","-338"
="3008","大立光","2205","-5","-0.23","496","11/07","+33","+38","+59","+103","+109","+141","+144","+216","-431","-407"
="3443","創意","1720","-15","-0.86","4,858","11/07","+158","+602","+713","+639","+1,267","+1,252","+2,543","+3,119","+2,027","+1,586"
="3661","世芯-KY","3565","-105","-2.86","3,015","11/07","-93","+61","+83","+36","-101","+219","+624","+941","-21","+1,243"
="2301","光寶科","166.5","-2.5","-1.48","12,088","11/07","-75","-125","-250","-2,065","+1,937","+3,926","+9,940","+16,409","+4,039","+5,386"
="4967","十銓","137","-1","-0.72","22,208","11/07","+529","+975","+1,067","+107","-395","-3,232","+1,740","+2,373","-835","+7"
="2344","華邦電","58.1","-0.9","-1.53","22,850","11/07","-6,372","-9,788","-11,115","-21,400","-31,087","-51,988","+51,705","+51,781","+45,498","+45,546"
="3711","日月光投控","228.5","-5.5","-2.35","20,331","11/07","-216","+217","+309","-129","+720","+188","+1,219","+1,778","-2,081","-500"
="2408","南亞科","147","-1","-0.68","233,103","11/07","+3,989","+10,666","+16,102","+25,268","+38,822","+59,984","+85,126","+95,434","+109,378","+104,405"
="2882","國泰金","63.5","-1.2","-1.85","14,973","11/07","+262","+198","+262","+250","+788","+18","-207","-5,923","-5,867","-4,913"
="2891","中信金","41.9","-0.65","-1.53","19,687","11/07","+256","+18","-20","-75","-422","-17","-1,076","-7,806","-19,960","-14,774"
="2884","玉山金","29.6","-0.35","-1.17","77,359","11/07","+168","+231","+230","-748","+7,132","+15,022","+14,240","+13,174","+11,274","+11,561"
="2880","華南金","29.75","+0.15","+0.51","6,676","11/07","-2","+5","+12","-14","-30","-49","-610","-391","-2,227","-2,048"
="0050","元大台灣50","62.55","-0.75","-1.18","111,188","11/07","+495","+478","+1,204","+1,243","+693","+2,531","+3,153","+5,669","+7,978","+8,279"
="00878","國泰永續高股息","21.33","-0.22","-1.02","74,602","11/07","+70","-22","+358","+733","+1,246","+689","-5,492","-5,090","-3,816","-3,688"
="006208","富邦台50","146.25","-2.15","-1.45","7,526","11/07","-2","-8","-6","+17","-34","-5","-58","-1,553","-875","-662"
