代號,名稱,收盤價,漲跌幅,綜合評分,投資建議,短期策略_2週,反彈潛力,連動美股
2344,華邦電,58.1,-1.53,7.6,🔥 強力推薦 ⭐⭐⭐⭐⭐,積極進場/加碼,★,-
2880,華南金,29.75,0.51,7.4,✅ 積極買進 ⭐⭐⭐⭐,積極進場/加碼,★,-
4967,十銓,137.0,-0.72,7.2,✅ 積極買進 ⭐⭐⭐⭐,積極進場/加碼,★,-
3711,日月光投控,228.5,-2.35,6.8,✅ 積極買進 ⭐⭐⭐⭐,分批進場,★,-
3661,世芯-KY,3565.0,-2.86,6.2,📈 建議買進 ⭐⭐⭐,分批進場,★,-
3443,創意,1720.0,-0.86,6.2,📈 建議買進 ⭐⭐⭐,持有為主,★,-
6669,緯穎,4075.0,-5.67,6.2,📈 建議買進 ⭐⭐⭐,分批進場,★,-
2317,鴻海,244.0,-1.61,6.0,📈 建議買進 ⭐⭐⭐,分批進場,★,-
2408,南亞科,147.0,-0.68,5.0,➡️ 持有觀察 ⭐⭐,持有為主,★,-
3008,大立光,2205.0,-0.23,5.0,➡️ 持有觀察 ⭐⭐,持有為主,★★★★,-
3491,昇達科,431.0,-0.92,5.0,➡️ 持有觀察 ⭐⭐,持有為主,★,-
2454,聯發科,1260.0,-2.33,4.7,➡️ 持有觀察 ⭐⭐,觀望等待,★★★★★,-
2891,中信金,41.9,-1.53,4.6,➡️ 持有觀察 ⭐⭐,觀望等待,★,-
2884,玉山金,29.6,-1.17,4.3,⚠️ 謹慎觀望 ⭐,觀望等待,★★★★★,-
2301,光寶科,166.5,-1.48,4.2,⚠️ 謹慎觀望 ⭐,觀望等待,★★,-
3231,緯創,137.5,-3.17,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★,-
2330,台積電,1460.0,-0.34,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★★,-
2308,台達電,965.0,-1.33,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★★,-
2882,國泰金,63.5,-1.85,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★,-
50,元大台灣50,62.55,-1.18,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★★,-
6208,富邦台50,146.25,-1.45,4.0,⚠️ 謹慎觀望 ⭐,觀望等待,★★★,-
878,國泰永續高股息,21.33,-1.02,3.9,⚠️ 謹慎觀望 ⭐,建議減碼,★★★★,-
