美股代碼,美股名稱,台股代碼,台股名稱,連動性,說明
NVDA,NVIDIA,2330,台積電,極高,AI晶片製造商，NVDA最大客戶
NVDA,NVIDIA,3443,創意,極高,ASIC設計，受惠AI晶片需求
NVDA,NVIDIA,3661,世芯-KY,極高,ASIC設計，AI晶片CoWoS
NVDA,NVIDIA,3711,日月光,高,AI晶片封測主力
NVDA,NVIDIA,2344,華邦電,中,HBM記憶體概念
AMD,AMD,2330,台積電,高,AMD晶片代工廠
AMD,AMD,2454,聯發科,中,同為晶片設計公司
AAPL,Apple,2317,鴻海,極高,iPhone最大組裝廠
AAPL,Apple,3008,大立光,極高,iPhone鏡頭供應商
AAPL,Apple,2301,光寶科,高,Apple供應鏈
TSLA,Tesla,2308,台達電,高,電動車充電設備供應商
TSLA,Tesla,2317,鴻海,中,電動車代工野心
MU,Micron,2344,華邦電,極高,記憶體產業領先指標
MU,Micron,2408,南亞科,極高,台灣DRAM廠
MU,Micron,4967,十銓,高,記憶體模組廠
AMZN,Amazon,3231,緯創,高,AWS伺服器供應商
AMZN,Amazon,6669,緯穎,高,AWS伺服器供應商
MSFT,Microsoft,6669,緯穎,中,Azure伺服器
QCOM,Qualcomm,2454,聯發科,高,同為手機晶片龍頭
