排名,代號,名稱,價格,修正後評分,美股連動,關鍵訊號,操作建議,推薦評等,進場區間,停損,目標,風險等級
1,2344,華邦電,63.9,8.5,MU+6.46%/WDC+6.91%,🚀軋空行情,🔥強力買進,⭐⭐⭐⭐⭐,62-64,56,70,高
2,3443,創意,1890,8.2,NVDA+5.79%,✨完美多排+AI,🔥強力買進,⭐⭐⭐⭐⭐,1850-1900,1700,2050,中
3,4967,十銓,149,8,MU+6.46%/WDC+6.91%,✨完美多排+記憶體,🔥強力買進,⭐⭐⭐⭐⭐,146-150,135,165,中高
4,2891,中信金,42.4,7.8,-,KD黃金交叉,✅積極買進,⭐⭐⭐⭐,41.5-42.5,40,45,低
5,2408,南亞科,161.5,7.5,MU+6.46%/WDC+6.91%,超買+記憶體,✅建議買進,⭐⭐⭐⭐,159-163,150,175,中高
6,2330,台積電,1475,7.2,NVDA+5.79%/AMD+4.47%,完美多排,✅建議買進,⭐⭐⭐⭐,1460-1480,1435,1550,中
7,3661,世芯,3715,7,NVDA+5.79%,AI題材,✅積極買進,⭐⭐⭐⭐,3650-3750,3500,3950,中
8,3711,日月光,228.5,6.4,NVDA+AMD,外資大買,✅建議買進,⭐⭐⭐,225-232,210,245,中
9,2880,華南金,29.65,6.1,-,金融反彈,✅建議買進,⭐⭐⭐,29.2-29.8,28.5,31,中
10,6669,緯穎,4295,5.9,AMZN+1.63%,AI伺服器,➡️持有觀察,⭐⭐⭐,4200-4300,4000,4500,中
