代號,名稱,成交,漲跌幅,RSI6(日),K值(日),D值(日),DIF(日),OSC(日),5日均線,20日均線,60日均線,外資買賣超張數,外資5日累計,投信買賣超張數,投信5日累計,券資比(%),技術面評分,籌碼面評分,綜合評分,趨勢,技術訊號,籌碼訊號,美股連動,11/11預測方向,目標區間,短期策略_2週,中期策略_1月,風險控管,反彈潛力,風險等級,推薦評等,關鍵支撐,關鍵壓力,投資觀點
3443,創意,1890,9.88,82.3,82.8,68.5,86.4,43.8,1717,1578,1402,129,-564,558,1159,4.65,7.5,6,6.9,中性,KD多頭 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,外資中性 | 外資累計中性 | 投信買超 | 籌碼健康,,震盪偏弱,1871.1-1843.1,持有觀察,中期持有,停損: 1682.66 | 目標: 1825.07,★,中,⭐⭐⭐⭐,1717,1807,積極推薦：中性格局，適合波段操作
2891,中信金,42.4,1.19,55.1,39.4,32.3,-0.09,0.04,42.3,42.24,42.46,4577,15214,387,-6236,2.72,6,8,6.8,中性,KD轉多 | RSI健康 | MACD黃金交叉 | 短中期多頭 | DMI多頭,外資買超 | 外資持續大買 | 投信買超 | 籌碼健康,,震盪偏弱,42.0-43.6,持有觀察,中期持有,停損: 41.45 | 目標: 43.19,★★,中,⭐⭐⭐⭐,42.3,42.76,積極推薦：中性格局，適合波段操作
4967,十銓,149,8.76,72.6,75.4,65.9,10.4,-0.57,136.9,131.2,97.66,-342,-1896,93,92,11.3,7.5,5,6.5,中性,KD多頭 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,外資中性 | 外資累計中性 | 投信中性,,震盪偏弱,147.5-146.9,持有觀察,中期持有,停損: 134.16 | 目標: 145.44,★,中,⭐⭐⭐⭐,136.9,144,積極推薦：中性格局，適合波段操作
2344,華邦電,63.9,9.98,81,93,89.3,6.33,0.93,58.06,50.48,34.52,930,22518,0,-4695,20.5,6.5,6.5,6.5,中性,⚠️KD超買 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,外資中性 | 外資持續大買 | 投信中性 | ⚠️高券資比,,震盪偏弱,63.3-65.1,持有觀察,中期持有,停損: 56.90 | 目標: 64.45,★★,中,⭐⭐⭐⭐,58.06,63.81,積極推薦：中性格局，適合波段操作
3711,日月光投控,228.5,0,56.5,64.5,75.1,16.6,2.08,233,210.1,177.2,4027,20056,553,1963,13.3,5.5,7.7,6.4,中性,RSI健康 | MACD多頭 | 站穩月線 | DMI強勢多頭,外資買超 | 外資持續大買 | 投信買超,,震盪偏弱,226.2-237.7,持有觀察,中期持有,停損: 205.90 | 目標: 235.33,★★,中,⭐⭐⭐⭐,210.1,233,積極推薦：中性格局，適合波段操作
2880,華南金,29.65,-0.34,54.4,62.2,53.7,0.09,-0.02,29.66,29.6,29.09,-1416,3516,201,2412,9.77,6.7,5.2,6.1,中性,KD多頭 | RSI健康 | MACD多頭 | 站穩月線 | 布林中性,外資賣超 | 外資持續買超 | 投信中性,,震盪偏弱,29.4-30.3,持有觀察,中期持有,停損: 29.01 | 目標: 29.96,★★,中,⭐⭐⭐⭐,29.6,29.66,積極推薦：中性格局，適合波段操作
6669,緯穎,4295,5.4,59,64.5,70,227,-29.5,4231,4044,3459,209,-747,164,431,7.61,6.5,5,5.9,中性,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭,外資中性 | 外資累計中性 | 投信中性,,震盪偏弱,4252.1-4650.2,持有觀察,逢低分批,停損: 4146.38 | 目標: 4604.59,★,中,⭐⭐⭐,4231,4559,中性持有：中性整理中，觀察後續發展
2330,台積電,1475,1.03,50.1,31.4,45.8,34.5,-21.6,1473,1472,1320,-3911,-37156,206,2244,1.7,7.2,3.7,5.8,中性,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林中性,外資賣超 | 外資持續大賣 | 投信中性 | 籌碼健康,,震盪偏弱,1460.2-1553.5,持有觀察,持續觀察,停損: 1443.54 | 目標: 1538.23,★,中,⭐⭐⭐,1473,1523,中性持有：中性整理中，觀察後續發展
3661,世芯-KY,3715,4.21,69.8,87.3,79.5,24.4,132,3547,3304,3622,-194,86,100,527,2.23,6,5.5,5.8,中性,KD多頭 | RSI偏強 | MACD轉多 | 短中期多頭 | DMI多頭 | 布林強勢,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,,震盪偏弱,3677.8-3780.1,持有觀察,逢低分批,停損: 3476.06 | 目標: 3743.06,★,中,⭐⭐⭐,3547,3706,中性持有：中性整理中，觀察後續發展
2408,南亞科,161.5,9.86,87.4,89.1,85.9,18.1,4.18,145.2,120.7,81.31,8675,-32486,157,3853,16.9,6.5,4.5,5.7,中性,⚠️KD超買 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,🔥外資大買 | 外資持續大賣 | 投信中性 | ⚠️高券資比,,震盪偏弱,159.9-165.9,持有觀察,持續觀察,停損: 142.30 | 目標: 164.23,★,中,⭐⭐⭐,145.2,162.6,中性持有：中性整理中，觀察後續發展
