代號,名稱,成交,漲跌價,漲跌幅,K值(日),D值(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),#NAME?,#NAME?,ADX(日),布林%b,布林上軌,布林下軌,5日均線,20日均線,60日均線,外資買賣超張數,投信買賣超張數,自營買賣超張數,合計買賣超張數,外資5日累計,外資10日累計,外資1月累計,投信5日累計,投信10日累計,投信1月累計,融資增減,融券增減,券資比(%),融資餘額,融券餘額,技術面評分,技術訊號,籌碼面評分,籌碼訊號,綜合評分,趨勢,美股連動,11/11預測方向,短期策略_2週,中期策略_1月,風險等級,推薦評等,評分數值,修正後評分,美股加分,修正後趨勢,修正後建議,修正後評等,原評分,評分變化
2344,華邦電,63.9,5.8,9.98,93,89.3,81,78.4,6.33,5.87,0.93,46.2,16,58,1,63.81,37.15,58.06,50.48,34.52,930,0,4113,5043,22518,27849,131202,-4695,-12681,-6754,-242,-1492,20.5,104774,21515,6.5,⚠️KD超買 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,6.5,外資中性 | 外資持續大買 | 投信中性 | ⚠️高券資比,6.5,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,9.2,4,強勢多頭,🔥 強力買進,⭐⭐⭐⭐⭐,6.5,2.7
50,元大台灣50,63.35,0.8,1.28,42.4,56.3,50.9,57.8,1.18,1.51,-0.66,36.8,29.6,30.1,0.57,65.18,60.93,63.26,63.05,57.89,,,,,,,,,,,,,,,,7.2,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林中性,0,-,4.3,偏弱,,續弱整理,暫不進場,等待明確訊號,中高,⭐⭐,2,5.24,2,中性,➡️ 持有觀察,⭐⭐,4.3,0.94
2317,鴻海,249.5,5.5,2.25,41.5,49.8,56,59.2,8.01,8.91,-1.8,30.4,23.3,29.8,0.65,271.9,207.5,246.5,239.7,221,-2117,642,1558,83,-9044,-3251,97924,-300,-4453,-15379,3108,5,5.79,61689,3571,6.5,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭,4.5,外資賣超 | 外資持續賣超 | 投信買超,5.7,中性,,震盪偏弱,持有觀察,持續觀察,中,⭐⭐⭐,3,6.5,2,偏多,✅ 建議買進,⭐⭐⭐,5.7,0.8
2408,南亞科,161.5,14.5,9.86,89.1,85.9,87.4,84.1,18.1,16,4.18,43.4,12.9,55,0.99,162.6,78.87,145.2,120.7,81.31,8675,157,3834,12666,-32486,-36809,845,3853,1806,34821,10034,3656,16.9,143840,24301,6.5,⚠️KD超買 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,4.5,🔥外資大買 | 外資持續大賣 | 投信中性 | ⚠️高券資比,5.7,中性,,震盪偏弱,持有觀察,持續觀察,中,⭐⭐⭐,3,6.5,2,偏多,✅ 建議買進,⭐⭐⭐,5.7,0.8
6669,緯穎,4295,220,5.4,64.5,70,59,63.3,227,241,-29.5,31.3,16.6,38,0.74,4559,3529,4231,4044,3459,209,164,-10,363,-747,-777,-1264,431,643,1269,73,0,7.61,1603,122,6.5,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭,5,外資中性 | 外資累計中性 | 投信中性,5.9,中性,,震盪偏弱,持有觀察,逢低分批,中,⭐⭐⭐,3,6.675,2,偏多,✅ 建議買進,⭐⭐⭐,5.9,0.775
2330,台積電,1475,15,1.03,31.4,45.8,50.1,57.4,34.5,45.2,-21.6,35.8,23.6,37.5,0.52,1523,1422,1473,1472,1320,-3911,206,919,-2786,-37156,-45356,-101982,2244,3295,9509,110,-8,1.7,18810,320,7.2,RSI健康 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林中性,3.7,外資賣超 | 外資持續大賣 | 投信中性 | 籌碼健康,5.8,中性,,震盪偏弱,持有觀察,持續觀察,中,⭐⭐⭐,3,6.535,2,偏多,✅ 建議買進,⭐⭐⭐,5.8,0.735
4967,十銓,149,12,8.76,75.4,65.9,72.6,70.4,10.4,10.7,-0.57,34.1,16.4,49,1.2,144,118.4,136.9,131.2,97.66,-342,93,251,2,-1896,-2659,4178,92,91,513,1850,177,11.3,9487,1068,7.5,KD多頭 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,5,外資中性 | 外資累計中性 | 投信中性,6.5,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,7.125,2,偏多,✅ 積極買進,⭐⭐⭐⭐,6.5,0.625
3443,創意,1890,170,9.88,82.8,68.5,82.3,75,86.4,64.5,43.8,46.9,14.7,33.8,1.18,1807,1348,1717,1578,1402,129,558,123,810,-564,235,2892,1159,851,783,620,74,4.65,5521,257,7.5,KD多頭 | ⚠️RSI超買 | MACD多頭 | ✨完美多頭排列 | DMI強勢多頭 | 布林強勢,6,外資中性 | 外資累計中性 | 投信買超 | 籌碼健康,6.9,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,7.475,2,偏多,✅ 積極買進,⭐⭐⭐⭐,6.9,0.575
878,國泰永續高股息,21.34,0.01,0.05,34.3,47.3,31.2,43.6,0.06,0.11,-0.1,29,35.4,20.2,0.28,21.85,21.15,21.45,21.5,21.1,,,,,,,,,,,,,,,,2.5,MACD多頭,0,-,1.5,弱勢,,偏空觀望,觀望為主,不建議進場,高,⭐,1,1.125,0,弱勢,❌ 不建議,⭐,1.5,-0.375
2454,聯發科,1250,-10,-0.79,18.1,30.2,25.8,33.8,-21.3,-18.3,-6.06,13.4,25.2,16.7,-0.15,1358,1264,1289,1311,1366,-1498,-82,-89,-1670,-4548,-10615,-17313,69,-708,-2808,131,-1,2.47,6558,162,3,💡RSI超賣 | 🔵布林超賣,4,外資賣超 | 外資持續賣超 | 投信中性 | 籌碼健康,3.4,偏弱,,反彈修復,觀望為主,不建議進場,高,⭐,1,2.75,0,弱勢,❌ 不建議,⭐,3.4,-0.65
