"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","17,306","19,423","-2,117","671","29","+642","2,143","585","+1,558","20,120","20,037","+83","－＋＋"
="2330","台積電","1475","+15","+1.03","26,579","11/10","14,630","18,541","-3,911","259","53","+206","1,238","319","+919","16,128","18,913","-2,786","－＋＋"
="2308","台達電","982","+17","+1.76","11,544","11/10","5,642","6,734","-1,091","258","7","+251","379","129","+250","6,279","6,869","-590","－＋＋"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","2,596","4,095","-1,498","51","133","-82","99","189","-89","2,747","4,417","-1,670","－－－"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","14,993","17,536","-2,543","1,237","910","+327","1,799","187","+1,612","18,028","18,632","-604","－＋＋"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","174","348","-174","38","0","+38","63","26","+37","275","374","-99","－＋＋"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","1,596","1,387","+209","164","0","+164","170","180","-10","1,930","1,567","+363","＋＋－"
="3008","大立光","2245","+40","+1.81","421","11/10","255","202","+53","4","0","+4","18","6","+12","278","208","+69","＋＋＋"
="3443","創意","1890","+170","+9.88","7,066","11/10","1,690","1,561","+129","559","1","+558","364","241","+123","2,613","1,803","+810","＋＋＋"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","773","966","-194","100","0","+100","133","33","+100","1,005","999","+6","－＋＋"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","4,487","5,774","-1,287","233","56","+177","344","111","+233","5,063","5,941","-877","－＋＋"
="4967","十銓","149","+12","+8.76","37,275","11/10","7,983","8,325","-342","93","0","+93","318","68","+251","8,395","8,393","+2","－＋＋"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","3,028","2,099","+930","0","0","0","4,224","111","+4,113","7,253","2,209","+5,043","＋・＋"
="3711","日月光投控","228.5","0","0","22,657","11/10","15,129","11,102","+4,027","640","87","+553","860","160","+700","16,630","11,349","+5,281","＋＋＋"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","42,407","33,733","+8,675","163","6","+157","4,415","581","+3,834","46,985","34,319","+12,666","＋＋＋"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","10,301","9,731","+570","614","0","+614","647","612","+36","11,562","10,343","+1,219","＋＋＋"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","14,993","10,416","+4,577","926","539","+387","573","589","-17","16,492","11,544","+4,947","＋＋－"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","19,082","27,994","-8,912","217","1,336","-1,119","694","407","+287","19,993","29,737","-9,744","－－＋"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","5,422","6,838","-1,416","249","48","+201","412","107","+305","6,082","6,993","-910","－＋＋"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","1,283","27,937","-26,654","1,438","3,175","-1,737","14,421","15,918","-1,497","17,142","47,031","-29,889","－－－"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","374","2,904","-2,530","0","0","0","5,929","14,622","-8,693","6,303","17,526","-11,223","－・－"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","177","6,278","-6,101","0","0","0","2,930","1,560","+1,369","3,107","7,838","-4,732","－・＋"
