"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","249.5","+5.5","+2.25","51,629","11/10","+5","+47","+126","-118","+190","+1,300","+1,243","+1,252","-935","+1,731"
="2330","台積電","1475","+15","+1.03","26,579","11/10","-8","+3","+4","-53","-57","-18","-149","-1,801","-210","-117"
="2308","台達電","982","+17","+1.76","11,544","11/10","-21","-14","+8","-44","-250","-220","+99","+694","+566","+436"
="2454","聯發科","1250","-10","-0.79","5,623","11/10","-1","+4","-1","-20","-11","-19","+58","+96","-31","+162"
="3231","緯創","138.5","+1","+0.73","38,781","11/10","+15","-70","+66","+155","+98","-496","+50","-3,389","-1,015","+92"
="3491","昇達科","429.5","-1.5","-0.35","788","11/10","+10","+20","-42","-78","-355","+6","+80","-139","-116","-71"
="6669","緯穎","4295","+220","+5.4","3,458","11/10","0","+10","+10","+6","+8","+50","+19","+8","+57","-27"
="3008","大立光","2245","+40","+1.81","421","11/10","0","0","0","-1","-1","-4","+8","-1","+6","-11"
="3443","創意","1890","+170","+9.88","7,066","11/10","+74","+69","+117","+137","+95","+144","+161","+53","+137","+52"
="3661","世芯-KY","3715","+150","+4.21","2,599","11/10","+18","-20","+53","+37","+62","+50","-410","-111","-66","-282"
="2301","光寶科","169","+2.5","+1.5","12,470","11/10","+21","+24","-8","+28","-455","-138","-1","-157","+350","+382"
="4967","十銓","149","+12","+8.76","37,275","11/10","+177","+163","+175","+138","+60","+223","+972","+950","-216","-10"
="2344","華邦電","63.9","+5.8","+9.98","32,006","11/10","-1,492","-2,154","-3,535","-10,906","-6,427","-10,892","+19,133","+19,022","+19,707","+20,599"
="3711","日月光投控","228.5","0","0","22,657","11/10","+6","-22","-66","-392","+100","+459","+537","+713","+548","+212"
="2408","南亞科","161.5","+14.5","+9.86","180,212","11/10","+3,656","+3,263","+4,925","+4,955","+5,108","+10,926","+17,092","+8,522","+23,640","+20,444"
="2882","國泰金","63.8","+0.3","+0.47","14,149","11/10","-4","-31","-23","-25","-2,937","-228","-818","-1,758","-907","-784"
="2891","中信金","42.4","+0.5","+1.19","21,598","11/10","+9","+7","+12","-5","-4","-3","-391","-995","-127","-222"
="2884","玉山金","29.5","-0.1","-0.34","43,628","11/10","+42","+23","+60","+66","+92","-68","-117","+46","-761","-25"
="2880","華南金","29.65","-0.1","-0.34","8,296","11/10","0","0","+1","+1","0","-2","+47","-29","-59","-17"
="0050","元大台灣50","63.35","+0.8","+1.28","83,131","11/10","+24","+42","+35","-103","-14","+169","+1,091","+607","+1,473","+1,495"
="00878","國泰永續高股息","21.34","+0.01","+0.05","41,049","11/10","-2","-9","-8","-7","-9","-26","-4","-62","+10","-32"
="006208","富邦台50","148","+1.75","+1.2","10,842","11/10","-2","-2","-4","-6","-16","-23","-14","-9","-36","-6"
