"代號","名稱","成交","漲跌價","漲跌幅","資券日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","249.5","+5.5","+2.25","11/10","5,338","2,196","34","+3,108","61,689","1.77","0.44","67","72","0","+5","3,571","0.1","0.03","13","0.03","5.79"
="2330","台積電","1475","+15","+1.03","11/10","641","514","17","+110","18,810","0.29","0.07","18","10","0","-8","320","0","0","0","0","1.7"
="2308","台達電","982","+17","+1.76","11/10","374","345","5","+24","7,018","1.08","0.27","41","20","0","-21","837","0.13","0.03","2","0.02","11.9"
="2454","聯發科","1250","-10","-0.79","11/10","178","43","4","+131","6,558","1.64","0.41","5","4","0","-1","162","0.04","0.01","0","0","2.47"
="3231","緯創","138.5","+1","+0.73","11/10","2,382","844","12","+1,526","56,270","7.08","1.77","54","69","0","+15","1,846","0.23","0.06","19","0.05","3.28"
="3491","昇達科","429.5","-1.5","-0.35","11/10","39","62","1","-24","4,141","24.8","6.19","6","25","9","+10","167","0.99","0.25","1","0.13","4.03"
="6669","緯穎","4295","+220","+5.4","11/10","334","260","1","+73","1,603","3.45","0.86","6","7","1","0","122","0.26","0.07","0","0","7.61"
="3008","大立光","2245","+40","+1.81","11/10","8","30","0","-22","857","2.57","0.64","0","0","0","0","8","0.02","0.01","0","0","0.93"
="3443","創意","1890","+170","+9.88","11/10","1,308","688","0","+620","5,521","16.5","4.12","1","75","0","+74","257","0.77","0.19","1","0.01","4.65"
="3661","世芯-KY","3715","+150","+4.21","11/10","139","266","1","-128","5,149","26.1","6.37","3","24","3","+18","115","0.58","0.14","0","0","2.23"
="2301","光寶科","169","+2.5","+1.5","11/10","423","558","21","-156","24,666","4.26","1.06","14","35","0","+21","495","0.09","0.02","1","0.01","2.01"
="4967","十銓","149","+12","+8.76","11/10","3,579","1,728","1","+1,850","9,487","44.7","11.2","78","255","0","+177","1,068","5.03","1.26","40","0.11","11.3"
="2344","華邦電","63.9","+5.8","+9.98","11/10","2,339","2,564","17","-242","104,774","9.31","2.33","1,731","244","5","-1,492","21,515","1.91","0.48","837","2.62","20.5"
="3711","日月光投控","228.5","0","0","11/10","297","357","3","-63","5,905","0.53","0.13","22","28","0","+6","786","0.07","0.02","5","0.02","13.3"
="2408","南亞科","161.5","+14.5","+9.86","11/10","21,489","11,452","3","+10,034","143,840","18.6","4.64","1,194","4,853","3","+3,656","24,301","3.14","0.78","255","0.14","16.9"
="2882","國泰金","63.8","+0.3","+0.47","11/10","65","46","0","+19","6,375","0.17","0.04","7","3","0","-4","438","0.01","0","0","0","6.87"
="2891","中信金","42.4","+0.5","+1.19","11/10","57","351","2","-296","4,970","0.1","0.03","5","14","0","+9","135","0","0","0","0","2.72"
="2884","玉山金","29.5","-0.1","-0.34","11/10","434","130","0","+304","16,870","0.42","0.1","1","43","0","+42","145","0","0","1","0","0.86"
="2880","華南金","29.65","-0.1","-0.34","11/10","30","2","0","+28","481","0.01","0","0","0","0","0","47","0","0","0","0","9.77"
="0050","元大台灣50","63.35","+0.8","+1.28","11/10","272","300","37","-65","9,173","0.26","0.06","15","39","0","+24","1,707","0.05","0.01","17","0.02","18.6"
="00878","國泰永續高股息","21.34","+0.01","+0.05","11/10","204","41","19","+144","5,569","0.11","0.03","3","1","0","-2","21","0","0","0","0","0.38"
="006208","富邦台50","148","+1.75","+1.2","11/10","18","14","1","+3","340","0.07","0.02","2","0","0","-2","8","0","0","0","0","2.35"
