代號,名稱,11/11收盤,漲跌幅,PER,PBR,殖利率,RSI6,K值,D值,外資5日,投信5日,券資比,技術評分,籌碼評分,美股評分,綜合評分,趨勢,技術訊號,籌碼訊號,美股影響,11/12預測,短期策略_2週,中期策略_1月,操作建議,反彈潛力,推薦評等
3008,大立光,2215,-1.34,12.7,1.63,3.55,44.9,48.9,40.7,0,0,1.05,10,6,5,73.5,強勢多頭,RSI健康 | KD多頭 | MACD轉多,籌碼健康,-,續強,持有為主,長期看好,🔥 積極買進,,⭐⭐⭐⭐⭐
2454,聯發科,1240,-0.8,18.6,5.25,2.78,23.3,12.1,24.2,0,0,2.41,10,5,5,70,強勢多頭,💡RSI超賣 | KD超賣,,-,續強,超賣反彈-積極佈局,波段操作,🔥 積極買進,★★★★★,⭐⭐⭐⭐⭐
2891,中信金,43.35,2.24,12,1.97,2.84,71.2,57.6,40.7,0,0,3.67,10,5,5,70,強勢多頭,KD多頭 | MACD轉多,,-,續強,持有為主,長期看好,🔥 積極買進,,⭐⭐⭐⭐⭐
4967,十銓,140.5,-5.7,58.8,3.12,0.74,57,73.3,68.4,0,0,11.6,8,5,8,69.5,偏多,RSI健康 | KD多頭,,🟢美股助漲,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
6669,緯穎,4720,9.9,19.8,8.12,0.7,75,76.3,72.1,0,0,7.46,9,5,5,66,偏多,KD多頭 | MACD多頭,,-,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
2884,玉山金,30.15,2.2,16.1,1.94,2.29,47.1,28.4,20.6,0,0,0.69,8,6,5,65.5,偏多,RSI健康 | KD多頭,籌碼健康,-,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
2308,台達電,972,-1.02,50.5,10.49,0.61,40,28,27.7,0,0,12.2,8,5,5,62,偏多,RSI健康 | KD多頭,,-,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
2882,國泰金,64.8,1.57,11.2,1.37,3.46,56,31.2,23.3,0,0,6.95,8,5,5,62,偏多,RSI健康 | KD多頭,,-,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
3231,緯創,144.5,4.33,19.7,3.04,1.42,55.6,36.7,36.5,0,0,2.99,8,5,5,62,偏多,RSI健康 | KD多頭,,-,震盪偏多,持有為主,長期看好,✅ 建議買進,,⭐⭐⭐⭐
2301,光寶科,167.5,-0.89,26.7,4.55,2.24,37.5,18.3,26.4,0,0,1.92,7,6,5,61.5,偏多,KD超賣,籌碼健康,-,震盪偏多,持有為主,長期看好,✅ 建議買進,★★,⭐⭐⭐⭐
3491,昇達科,421.5,-1.86,54.6,11.26,0.95,37.5,38.5,36.8,0,0,4.54,7,5,5,58,中性,KD多頭,,-,區間震盪,觀察為主,等待轉強訊號,➡️ 持有觀察,,⭐⭐⭐
2880,華南金,29.8,0.51,17.5,1.91,2.36,62.7,70.6,59.4,0,0,9.69,7,5,5,58,中性,KD多頭,,-,區間震盪,觀察為主,等待轉強訊號,➡️ 持有觀察,,⭐⭐⭐
